classifier_name,dataset_name,accuracy
1d-SAX,ACSF1,0.17
ESAX,ACSF1,0.19
SAX,ACSF1,0.27
SAX-DR,ACSF1,0.33
SAX_VFD,ACSF1,0.34
SFA,ACSF1,0.32
SPARTAN,ACSF1,0.58
TFSAX,ACSF1,0.23
1d-SAX,Adiac,0.1457800511508951
ESAX,Adiac,0.0690537084398976
SAX,Adiac,0.1150895140664961
SAX-DR,Adiac,0.1176470588235294
SAX_VFD,Adiac,0.1713554987212276
SFA,Adiac,0.3631713554987212
SPARTAN,Adiac,0.5703324808184144
TFSAX,Adiac,0.1457800511508951
1d-SAX,AllGestureWiimoteX,0.3371428571428571
ESAX,AllGestureWiimoteX,0.3614285714285714
SAX,AllGestureWiimoteX,0.3642857142857142
SAX-DR,AllGestureWiimoteX,0.2942857142857142
SAX_VFD,AllGestureWiimoteX,0.1942857142857142
SFA,AllGestureWiimoteX,0.3142857142857143
SPARTAN,AllGestureWiimoteX,0.3757142857142857
TFSAX,AllGestureWiimoteX,0.3185714285714285
1d-SAX,AllGestureWiimoteY,0.4214285714285714
ESAX,AllGestureWiimoteY,0.41
SAX,AllGestureWiimoteY,0.4128571428571428
SAX-DR,AllGestureWiimoteY,0.3528571428571428
SAX_VFD,AllGestureWiimoteY,0.2057142857142857
SFA,AllGestureWiimoteY,0.3657142857142857
SPARTAN,AllGestureWiimoteY,0.4171428571428571
TFSAX,AllGestureWiimoteY,0.3857142857142857
1d-SAX,AllGestureWiimoteZ,0.3542857142857142
ESAX,AllGestureWiimoteZ,0.3557142857142857
SAX,AllGestureWiimoteZ,0.3542857142857142
SAX-DR,AllGestureWiimoteZ,0.2985714285714286
SAX_VFD,AllGestureWiimoteZ,0.2285714285714285
SFA,AllGestureWiimoteZ,0.3171428571428571
SPARTAN,AllGestureWiimoteZ,0.3485714285714286
TFSAX,AllGestureWiimoteZ,0.3328571428571428
1d-SAX,ArrowHead,0.5657142857142857
ESAX,ArrowHead,0.4057142857142857
SAX,ArrowHead,0.64
SAX-DR,ArrowHead,0.5371428571428571
SAX_VFD,ArrowHead,0.4628571428571428
SFA,ArrowHead,0.6571428571428571
SPARTAN,ArrowHead,0.8171428571428572
TFSAX,ArrowHead,0.4742857142857143
1d-SAX,BME,0.72
ESAX,BME,0.7066666666666667
SAX,BME,0.7466666666666667
SAX-DR,BME,0.7333333333333333
SAX_VFD,BME,0.7333333333333333
SFA,BME,0.7933333333333333
SPARTAN,BME,0.9066666666666666
TFSAX,BME,0.7133333333333334
1d-SAX,Beef,0.4333333333333333
ESAX,Beef,0.3666666666666666
SAX,Beef,0.3666666666666666
SAX-DR,Beef,0.4666666666666667
SAX_VFD,Beef,0.4
SFA,Beef,0.6
SPARTAN,Beef,0.6
TFSAX,Beef,0.5
1d-SAX,BeetleFly,0.6
ESAX,BeetleFly,0.75
SAX,BeetleFly,0.7
SAX-DR,BeetleFly,0.5
SAX_VFD,BeetleFly,0.6
SFA,BeetleFly,0.7
SPARTAN,BeetleFly,0.55
TFSAX,BeetleFly,0.6
1d-SAX,BirdChicken,0.6
ESAX,BirdChicken,0.7
SAX,BirdChicken,0.7
SAX-DR,BirdChicken,0.5
SAX_VFD,BirdChicken,0.75
SFA,BirdChicken,0.55
SPARTAN,BirdChicken,0.6
TFSAX,BirdChicken,0.5
1d-SAX,CBF,0.9266666666666666
ESAX,CBF,0.8066666666666666
SAX,CBF,0.8544444444444445
SAX-DR,CBF,0.69
SAX_VFD,CBF,0.7111111111111111
SFA,CBF,0.8311111111111111
SPARTAN,CBF,0.8777777777777778
TFSAX,CBF,0.8177777777777778
1d-SAX,Car,0.6
ESAX,Car,0.35
SAX,Car,0.6166666666666667
SAX-DR,Car,0.3666666666666666
SAX_VFD,Car,0.5333333333333333
SFA,Car,0.7833333333333333
SPARTAN,Car,0.7
TFSAX,Car,0.6166666666666667
1d-SAX,Chinatown,0.9154518950437318
ESAX,Chinatown,0.8979591836734694
SAX,Chinatown,0.6297376093294461
SAX-DR,Chinatown,0.4314868804664723
SAX_VFD,Chinatown,0.5714285714285714
SFA,Chinatown,0.912536443148688
SPARTAN,Chinatown,0.9096209912536444
TFSAX,Chinatown,0.9504373177842566
1d-SAX,ChlorineConcentration,0.48203125
ESAX,ChlorineConcentration,0.37421875
SAX,ChlorineConcentration,0.2947916666666667
SAX-DR,ChlorineConcentration,0.3869791666666666
SAX_VFD,ChlorineConcentration,0.44609375
SFA,ChlorineConcentration,0.4713541666666667
SPARTAN,ChlorineConcentration,0.5294270833333333
TFSAX,ChlorineConcentration,0.3549479166666666
1d-SAX,CinCECGTorso,0.7057971014492753
ESAX,CinCECGTorso,0.6101449275362318
SAX,CinCECGTorso,0.7050724637681159
SAX-DR,CinCECGTorso,0.7833333333333333
SAX_VFD,CinCECGTorso,0.5760869565217391
SFA,CinCECGTorso,0.7057971014492753
SPARTAN,CinCECGTorso,0.7847826086956522
TFSAX,CinCECGTorso,0.5550724637681159
1d-SAX,Coffee,0.5357142857142857
ESAX,Coffee,0.3928571428571428
SAX,Coffee,0.5714285714285714
SAX-DR,Coffee,0.5357142857142857
SAX_VFD,Coffee,0.8214285714285714
SFA,Coffee,0.8928571428571429
SPARTAN,Coffee,0.9642857142857144
TFSAX,Coffee,0.5357142857142857
1d-SAX,Computers,0.508
ESAX,Computers,0.512
SAX,Computers,0.464
SAX-DR,Computers,0.516
SAX_VFD,Computers,0.488
SFA,Computers,0.504
SPARTAN,Computers,0.496
TFSAX,Computers,0.512
1d-SAX,CricketX,0.4743589743589743
ESAX,CricketX,0.3948717948717948
SAX,CricketX,0.4487179487179487
SAX-DR,CricketX,0.3435897435897436
SAX_VFD,CricketX,0.2461538461538461
SFA,CricketX,0.4897435897435897
SPARTAN,CricketX,0.5384615384615384
TFSAX,CricketX,0.3512820512820512
1d-SAX,CricketY,0.4871794871794871
ESAX,CricketY,0.3897435897435897
SAX,CricketY,0.4743589743589743
SAX-DR,CricketY,0.3307692307692307
SAX_VFD,CricketY,0.2256410256410256
SFA,CricketY,0.4974358974358974
SPARTAN,CricketY,0.5025641025641026
TFSAX,CricketY,0.3717948717948718
1d-SAX,CricketZ,0.4564102564102564
ESAX,CricketZ,0.3974358974358974
SAX,CricketZ,0.4743589743589743
SAX-DR,CricketZ,0.3153846153846154
SAX_VFD,CricketZ,0.2769230769230769
SFA,CricketZ,0.5230769230769231
SPARTAN,CricketZ,0.4948717948717949
TFSAX,CricketZ,0.3512820512820512
1d-SAX,Crop,0.4791071428571428
ESAX,Crop,0.4792857142857142
SAX,Crop,0.4948809523809523
SAX-DR,Crop,0.4598809523809524
SAX_VFD,Crop,0.3125595238095238
SFA,Crop,0.5969047619047619
SPARTAN,Crop,0.6042261904761905
TFSAX,Crop,0.4982738095238095
1d-SAX,DiatomSizeReduction,0.7843137254901961
ESAX,DiatomSizeReduction,0.7908496732026143
SAX,DiatomSizeReduction,0.8104575163398693
SAX-DR,DiatomSizeReduction,0.7941176470588235
SAX_VFD,DiatomSizeReduction,0.7418300653594772
SFA,DiatomSizeReduction,0.8562091503267973
SPARTAN,DiatomSizeReduction,0.8006535947712419
TFSAX,DiatomSizeReduction,0.7647058823529411
1d-SAX,DistalPhalanxOutlineAgeGroup,0.697841726618705
ESAX,DistalPhalanxOutlineAgeGroup,0.6330935251798561
SAX,DistalPhalanxOutlineAgeGroup,0.4748201438848921
SAX-DR,DistalPhalanxOutlineAgeGroup,0.6690647482014388
SAX_VFD,DistalPhalanxOutlineAgeGroup,0.5683453237410072
SFA,DistalPhalanxOutlineAgeGroup,0.6187050359712231
SPARTAN,DistalPhalanxOutlineAgeGroup,0.6402877697841727
TFSAX,DistalPhalanxOutlineAgeGroup,0.4820143884892086
1d-SAX,DistalPhalanxOutlineCorrect,0.5869565217391305
ESAX,DistalPhalanxOutlineCorrect,0.644927536231884
SAX,DistalPhalanxOutlineCorrect,0.6630434782608695
SAX-DR,DistalPhalanxOutlineCorrect,0.5760869565217391
SAX_VFD,DistalPhalanxOutlineCorrect,0.6485507246376812
SFA,DistalPhalanxOutlineCorrect,0.6159420289855072
SPARTAN,DistalPhalanxOutlineCorrect,0.7355072463768116
TFSAX,DistalPhalanxOutlineCorrect,0.5507246376811594
