method,metric,dataset,acc
SAX,hist_euclidean,ACSF1,0.48
SAX,hist_euclidean,Adiac,0.2301790281329923
SAX,hist_euclidean,AllGestureWiimoteX,0.3014285714285714
SAX,hist_euclidean,AllGestureWiimoteY,0.29
SAX,hist_euclidean,AllGestureWiimoteZ,0.3114285714285714
SAX,hist_euclidean,ArrowHead,0.5428571428571428
SAX,hist_euclidean,Beef,0.4666666666666667
SAX,hist_euclidean,BeetleFly,0.6
SAX,hist_euclidean,BirdChicken,0.8
SAX,hist_euclidean,BME,0.7
SAX,hist_euclidean,Car,0.4666666666666667
SAX,hist_euclidean,CBF,0.7033333333333334
SAX,hist_euclidean,Chinatown,0.7580174927113703
SAX,hist_euclidean,ChlorineConcentration,0.64453125
SAX,hist_euclidean,CinCECGTorso,0.7275362318840579
SAX,hist_euclidean,Coffee,0.9285714285714286
SAX,hist_euclidean,Computers,0.712
SAX,hist_euclidean,CricketX,0.2102564102564102
SAX,hist_euclidean,CricketY,0.2435897435897435
SAX,hist_euclidean,CricketZ,0.2256410256410256
SAX,hist_euclidean,Crop,0.5108333333333334
SAX,hist_euclidean,DiatomSizeReduction,0.7581699346405228
SAX,hist_euclidean,DistalPhalanxOutlineAgeGroup,0.6330935251798561
SAX,hist_euclidean,DistalPhalanxOutlineCorrect,0.6521739130434783
SAX,hist_euclidean,DistalPhalanxTW,0.5611510791366906
SAX,hist_euclidean,DodgerLoopDay,0.2
SAX,hist_euclidean,DodgerLoopGame,0.5652173913043478
SAX,hist_euclidean,DodgerLoopWeekend,0.7028985507246377
SAX,hist_euclidean,Earthquakes,0.6690647482014388
SAX,hist_euclidean,ECG200,0.67
SAX,hist_euclidean,ECG5000,0.8304444444444444
SAX,hist_euclidean,ECGFiveDays,0.7305458768873403
SAX,hist_euclidean,ElectricDevices,0.6095188691479704
SAX,hist_euclidean,EOGHorizontalSignal,0.1022099447513812
SAX,hist_euclidean,EOGVerticalSignal,0.1022099447513812
SAX,hist_euclidean,EthanolLevel,0.268
