dataset,method,train_time,pred_time
DiatomSizeReduction,PAA,7.361173629760742e-06,4.05934901019327e-07
DiatomSizeReduction,DFT,4.26173210144043e-06,2.2961423287983812e-06
DiatomSizeReduction,PCA+Allocation,8.068978786468506e-05,5.159502715067147e-06
DiatomSizeReduction,PCA+Allocation_randomized,7.331371307373047e-05,3.1719020768707875e-06
InsectEPGSmallTrain,PAA,7.433049819048713e-06,5.869501565833647e-07
InsectEPGSmallTrain,DFT,2.4402842802159928e-05,2.120201846203172e-05
InsectEPGSmallTrain,PCA+Allocation,0.00016877230475930606,3.7735245792741277e-06
InsectEPGSmallTrain,PCA+Allocation_randomized,0.00017833709716796875,4.657301079317269e-06
Fungi,PAA,6.940629747178819e-06,5.857918852119036e-07
Fungi,DFT,6.781684027777777e-06,6.950029762842322e-06
Fungi,PCA+Allocation,6.287627749972873e-05,1.086983629452285e-06
Fungi,PCA+Allocation_randomized,6.031990051269531e-05,9.216288084624916e-07
BeetleFly,PAA,6.282329559326172e-06,5.161762237548828e-06
BeetleFly,DFT,3.039836883544922e-06,2.9921531677246095e-06
BeetleFly,PCA+Allocation,0.00011638402938842773,6.139278411865234e-06
BeetleFly,PCA+Allocation_randomized,0.00014044046401977538,6.306171417236328e-06
BirdChicken,PAA,6.306171417236328e-06,5.0425529479980465e-06
BirdChicken,DFT,2.9802322387695312e-06,2.455711364746094e-06
BirdChicken,PCA+Allocation,0.00011643171310424805,6.794929504394531e-06
BirdChicken,PCA+Allocation_randomized,0.00013952255249023439,6.0677528381347655e-06
Rock,PAA,9.72747802734375e-06,3.509521484375e-06
Rock,DFT,3.417730331420898e-05,3.543376922607422e-05
Rock,PCA+Allocation,0.0008068561553955078,1.1472702026367187e-05
Rock,PCA+Allocation_randomized,0.0007266759872436524,8.883476257324218e-06
DodgerLoopGame,PAA,6.508827209472656e-06,8.240990016771399e-07
DodgerLoopGame,DFT,2.586841583251953e-06,1.1869098829186482e-06
DodgerLoopGame,PCA+Allocation,6.886720657348633e-05,1.3890473738960598e-06
DodgerLoopGame,PCA+Allocation_randomized,6.653070449829102e-05,1.3510386149088542e-06
DodgerLoopWeekend,PAA,6.4730644226074215e-06,8.189159890879756e-07
DodgerLoopWeekend,DFT,2.133846282958984e-06,1.1661778325619905e-06
DodgerLoopWeekend,PCA+Allocation,6.848573684692383e-05,1.318212868510813e-06
DodgerLoopWeekend,PCA+Allocation_randomized,6.682872772216797e-05,1.3303065645521965e-06
ShapeletSim,PAA,6.568431854248047e-06,6.980366177029079e-07
ShapeletSim,DFT,3.2067298889160155e-06,2.2570292154947917e-06
ShapeletSim,PCA+Allocation,0.0001142263412475586,3.3431582980685764e-06
ShapeletSim,PCA+Allocation_randomized,0.00011354684829711914,4.975001017252604e-06
Chinatown,PAA,5.662441253662109e-06,2.8359994248815597e-07
Chinatown,DFT,1.0609626770019532e-06,1.5292153761616254e-07
Chinatown,PCA+Allocation,4.4012069702148436e-05,3.3225679536602587e-07
Chinatown,PCA+Allocation_randomized,4.167556762695313e-05,3.49634242822408e-07
SonyAIBORobotSurface1,PAA,5.841255187988281e-06,1.8049992261432768e-07
SonyAIBORobotSurface1,DFT,1.3470649719238282e-06,7.886458157302933e-07
SonyAIBORobotSurface1,PCA+Allocation,4.9185752868652346e-05,3.003042668550463e-07
SonyAIBORobotSurface1,PCA+Allocation_randomized,4.7147274017333984e-05,2.872130636764247e-07
MoteStrain,PAA,5.745887756347657e-06,1.1216337307573507e-07
MoteStrain,DFT,1.4066696166992188e-06,6.731706686294117e-07
MoteStrain,PCA+Allocation,4.876852035522461e-05,5.153040535533771e-07
MoteStrain,PCA+Allocation_randomized,4.76837158203125e-05,7.62482420704997e-07
ECGFiveDays,PAA,5.183012589164402e-06,1.592226283198588e-07
ECGFiveDays,DFT,1.6792960788892664e-06,1.4122354859674434e-06
ECGFiveDays,PCA+Allocation,4.868922026261039e-05,7.800524243078996e-07
ECGFiveDays,PCA+Allocation_randomized,4.819165105405061e-05,1.1560947360615835e-06
TwoLeadECG,PAA,4.923861959706182e-06,1.1366223744701355e-07
TwoLeadECG,DFT,2.2183293881623642e-06,1.4508157785363737e-06
TwoLeadECG,PCA+Allocation,4.482269287109375e-05,5.454950106573063e-07
TwoLeadECG,PCA+Allocation_randomized,4.413853520932405e-05,8.17195902381475e-07
FaceFour,PAA,4.5498212178548174e-06,1.0539184917103161e-06
FaceFour,DFT,2.7219454447428384e-06,1.7583370208740234e-06
FaceFour,PCA+Allocation,6.035963694254557e-05,1.7935579473322087e-06
FaceFour,PCA+Allocation_randomized,5.811452865600586e-05,1.6635114496404475e-06
