method,dataset,acc
sax,ACSF1,0.21
sax,Adiac,0.1150895140664961
sax,AllGestureWiimoteX,0.3285714285714285
sax,AllGestureWiimoteY,0.3671428571428571
sax,AllGestureWiimoteZ,0.3271428571428571
sax,ArrowHead,0.5428571428571428
sax,Beef,0.5333333333333333
sax,BeetleFly,0.65
sax,BirdChicken,0.7
sax,BME,0.6866666666666666
sax,Car,0.35
sax,CBF,0.7933333333333333
sax,Chinatown,0.3002915451895043
sax,ChlorineConcentration,0.2309895833333333
sax,CinCECGTorso,0.5094202898550725
sax,Coffee,0.5357142857142857
sax,Computers,0.476
sax,CricketX,0.4
sax,CricketY,0.3871794871794872
sax,CricketZ,0.3846153846153846
sax,Crop,0.3116071428571428
sax,DiatomSizeReduction,0.4281045751633986
sax,DistalPhalanxOutlineAgeGroup,0.5467625899280576
sax,DistalPhalanxOutlineCorrect,0.5905797101449275
sax,DistalPhalanxTW,0.5467625899280576
sax,DodgerLoopDay,0.4125
sax,DodgerLoopGame,0.7318840579710145
sax,DodgerLoopWeekend,0.927536231884058
sax,Earthquakes,0.6330935251798561
sax,ECG200,0.84
sax,ECG5000,0.8195555555555556
sax,ECGFiveDays,0.6655052264808362
sax,ElectricDevices,0.4453378290753469
sax,EOGHorizontalSignal,0.2486187845303867
sax,EOGVerticalSignal,0.2734806629834254
sax,EthanolLevel,0.254
sax,FaceAll,0.1727810650887574
sax,FaceFour,0.6136363636363636
sax,FacesUCR,0.3034146341463414
sax,FiftyWords,0.512087912087912
sax,Fish,0.2342857142857143
sax,FordA,0.5348484848484848
sax,FordB,0.4987654320987654
sax,FreezerRegularTrain,0.5196491228070176
sax,FreezerSmallTrain,0.6814035087719298
sax,Fungi,0.4247311827956989
sax,GestureMidAirD1,0.4230769230769231
sax,GestureMidAirD2,0.4384615384615384
sax,GestureMidAirD3,0.2384615384615384
sax,GesturePebbleZ1,0.8023255813953488
sax,GesturePebbleZ2,0.8417721518987342
sax,GunPoint,0.7733333333333333
sax,GunPointAgeSpan,0.8765822784810127
sax,GunPointMaleVersusFemale,0.8860759493670886
sax,GunPointOldVersusYoung,0.7746031746031746
sax,Ham,0.4761904761904761
sax,HandOutlines,0.6648648648648648
sax,Haptics,0.275974025974026
sax,Herring,0.515625
sax,HouseTwenty,0.6890756302521008
sax,InlineSkate,0.2418181818181818
sax,InsectEPGRegularTrain,0.678714859437751
sax,InsectEPGSmallTrain,0.6506024096385542
sax,InsectWingbeatSound,0.3419191919191919
sax,ItalyPowerDemand,0.9261418853255587
sax,LargeKitchenAppliances,0.3706666666666666
sax,Lightning2,0.5573770491803278
sax,Lightning7,0.6438356164383562
sax,Mallat,0.2840085287846481
sax,Meat,0.3333333333333333
sax,MedicalImages,0.506578947368421
sax,MelbournePedestrian,0.4054940549405494
sax,MiddlePhalanxOutlineAgeGroup,0.5844155844155844
sax,MiddlePhalanxOutlineCorrect,0.5498281786941581
sax,MiddlePhalanxTW,0.2987012987012987
sax,MixedShapesRegularTrain,0.7744329896907216
sax,MixedShapesSmallTrain,0.7191752577319588
sax,MoteStrain,0.8035143769968051
sax,NonInvasiveFetalECGThorax1,0.1506361323155216
sax,NonInvasiveFetalECGThorax2,0.1898218829516539
sax,OliveOil,0.1333333333333333
sax,OSULeaf,0.4297520661157025
sax,PhalangesOutlinesCorrect,0.4545454545454545
sax,Phoneme,0.0696202531645569
