a,w,method,tlb
3,2,sax,0.005
3,2,sfa,0.009194973197712182
3,2,spartan,0.0968862756708327
4,2,sax,0.005
4,2,sfa,0.015903517943818186
4,2,spartan,0.16593442999098554
5,2,sax,0.005
5,2,sfa,0.022093119560393466
5,2,spartan,0.2156478737789109
6,2,sax,0.005
6,2,sfa,0.025752234728207316
6,2,spartan,0.2559996731943519
7,2,sax,0.005012535539127762
7,2,sfa,0.029161423565941497
7,2,spartan,0.2825425179911643
8,2,sax,0.005
8,2,sfa,0.0331616853820854
8,2,spartan,0.32228295893160824
9,2,sax,0.005085917256111763
9,2,sfa,0.03661166522069886
9,2,spartan,0.33472631403420533
10,2,sax,0.005
10,2,sfa,0.03965908322161874
10,2,spartan,0.35210532557010443
3,3,sax,0.005
3,3,sfa,0.0095596578153917
3,3,spartan,0.10140466637705187
4,3,sax,0.005
4,3,sfa,0.01768514251201388
4,3,spartan,0.1753519242642582
5,3,sax,0.005
5,3,sfa,0.02599450205628043
5,3,spartan,0.22968764983164205
6,3,sax,0.005
6,3,sfa,0.02999331170777553
6,3,spartan,0.27076023066623206
7,3,sax,0.005128780657952244
7,3,sfa,0.03418582929181655
7,3,spartan,0.2978383058920569
8,3,sax,0.006760495362789684
8,3,sfa,0.039020754742691705
8,3,spartan,0.33942269360015465
9,3,sax,0.005304955393819005
9,3,sfa,0.04194531503446687
9,3,spartan,0.35398955263839865
10,3,sax,0.010261789218685867
10,3,sfa,0.04529216274939841
10,3,spartan,0.37501949740379864
3,4,sax,0.005
3,4,sfa,0.010299703400950738
3,4,spartan,0.10647570521877656
4,4,sax,0.005
4,4,sfa,0.02044408300489756
4,4,spartan,0.18580269779300512
5,4,sax,0.005172584590626599
5,4,sfa,0.028583686663534207
5,4,spartan,0.2423219128080093
6,4,sax,0.005885168539465727
6,4,sfa,0.03297154988762372
6,4,spartan,0.28578278821041464
7,4,sax,0.0053593858594859385
7,4,sfa,0.0377278079335532
7,4,spartan,0.31562425579324926
8,4,sax,0.008716166484462386
8,4,sfa,0.043858699722341285
8,4,spartan,0.3550159073396891
9,4,sax,0.007629050041729029
9,4,sfa,0.046760496136415426
9,4,spartan,0.37122424225403944
10,4,sax,0.014167864723066572
10,4,sfa,0.05131194806585122
10,4,spartan,0.3927301980956759
3,5,sax,0.005
3,5,sfa,0.010662812209129001
3,5,spartan,0.11014293165698973
4,5,sax,0.005
4,5,sfa,0.021617152072309593
4,5,spartan,0.19227318650783043
5,5,sax,0.005224960237006483
5,5,sfa,0.029942203835404062
5,5,spartan,0.2513661535741574
6,5,sax,0.00630157434792479
6,5,sfa,0.0345387838730455
6,5,spartan,0.29800072132672273
7,5,sax,0.005554177912143193
7,5,sfa,0.04212679383598454
7,5,spartan,0.327736352914137
8,5,sax,0.008137688737303703
8,5,sfa,0.04827461886318229
8,5,spartan,0.3680029397433912
9,5,sax,0.007950862508811544
9,5,sfa,0.05065760132831611
9,5,spartan,0.3836348131151182
10,5,sax,0.017254844635430804
10,5,sfa,0.054363787286390894
10,5,spartan,0.40724960540088967
3,6,sax,0.005
3,6,sfa,0.011102236732135699
3,6,spartan,0.11216446355348371
4,6,sax,0.005
4,6,sfa,0.023124892489666583
4,6,spartan,0.19574172184161104
5,6,sax,0.005397654473525123
5,6,sfa,0.03179287144665898
5,6,spartan,0.25637753669184266
6,6,sax,0.006479507850346418
6,6,sfa,0.03706773523087474
6,6,spartan,0.3036268329445383
7,6,sax,0.005900028230223687
7,6,sfa,0.04515183964466415
7,6,spartan,0.3350303132704509
8,6,sax,0.011702671876089482
8,6,sfa,0.05134539660937913
8,6,spartan,0.3741218288251941
9,6,sax,0.009389284452965753
9,6,sfa,0.05400913757067392
9,6,spartan,0.39254018163484145
10,6,sax,0.019561498928980056
10,6,sfa,0.0584639923931126
10,6,spartan,0.4158234841102966
3,7,sax,0.005
3,7,sfa,0.0116472425026822
3,7,spartan,0.1127739345442983
4,7,sax,0.005
4,7,sfa,0.023114813838398206
4,7,spartan,0.19797987312620693
5,7,sax,0.0056445355444831305
5,7,sfa,0.032172763046764266
5,7,spartan,0.258905209277098
6,7,sax,0.00861421677934742
6,7,sfa,0.03850098794365388
6,7,spartan,0.3064181435572461
7,7,sax,0.006572640935419888
7,7,sfa,0.04628281174178469
7,7,spartan,0.3370047420159106
8,7,sax,0.012613354832555004
8,7,sfa,0.05154972515700671
8,7,spartan,0.37772655631645097
9,7,sax,0.011934129525174786
9,7,sfa,0.05529176366603904
9,7,spartan,0.39557324605552724
10,7,sax,0.028215242079070505
10,7,sfa,0.060199063258195566
10,7,spartan,0.41978301915745997
3,8,sax,0.005
3,8,sfa,0.01189250543649342
3,8,spartan,0.11513255398607072
4,8,sax,0.005
4,8,sfa,0.023706563782265863
4,8,spartan,0.20383173075695354
5,8,sax,0.006130874739223573
5,8,sfa,0.03370256798276191
5,8,spartan,0.2685301132254109
6,8,sax,0.010114837037767145
6,8,sfa,0.04060670209686516
6,8,spartan,0.3155381371986474
7,8,sax,0.007025532429580698
7,8,sfa,0.04849165110975152
7,8,spartan,0.3468652933020935
8,8,sax,0.017513343336963232
8,8,sfa,0.05405811512759548
8,8,spartan,0.3894727835953757
9,8,sax,0.013151815358271325
9,8,sfa,0.058267273518889454
9,8,spartan,0.4090061332254771
10,8,sax,0.03235402850189071
10,8,sfa,0.06373797571601875
10,8,spartan,0.431939611245735
