a,w,method,tlb
3,2,sax,0.0012804097311139564
3,2,sfa,0.017442048871164528
3,2,spartan,0.06750383287920798
4,2,sax,0.0012804097311139564
4,2,sfa,0.0325894108930764
4,2,spartan,0.1219286291634301
5,2,sax,0.0012804097311139564
5,2,sfa,0.04519142379250317
5,2,spartan,0.16780284009469537
6,2,sax,0.0012804097311139564
6,2,sfa,0.05898183325060516
6,2,spartan,0.20765467216985814
7,2,sax,0.0012804097311139564
7,2,sfa,0.0717377054440798
7,2,spartan,0.2398864131298897
8,2,sax,0.001936771578610762
8,2,sfa,0.08292549233994724
8,2,spartan,0.2746326575917093
9,2,sax,0.00135548763844504
9,2,sfa,0.08584557857954267
9,2,spartan,0.30867194939681125
10,2,sax,0.0018022767427828877
10,2,sfa,0.09326396044246918
10,2,spartan,0.32951801291857047
3,3,sax,0.0012804097311139564
3,3,sfa,0.0192707448915977
3,3,spartan,0.1234959618362815
4,3,sax,0.0012952273764109178
4,3,sfa,0.03273469512180967
4,3,spartan,0.21464219116189645
5,3,sax,0.0022731720641877744
5,3,sfa,0.041050712873715284
5,3,spartan,0.27801361895179344
6,3,sax,0.0014032661204330514
6,3,sfa,0.04962907585463097
6,3,spartan,0.33087255960567286
7,3,sax,0.0033134879916340725
7,3,sfa,0.05823072241141539
7,3,spartan,0.37016065508630586
8,3,sax,0.003182397129576087
8,3,sfa,0.06446113746963379
8,3,spartan,0.41489703434496206
9,3,sax,0.0033148714768815
9,3,sfa,0.06967599649959529
9,3,spartan,0.45310863753281827
10,3,sax,0.007991712416170912
10,3,sfa,0.0768762676873917
10,3,spartan,0.4744787039268912
3,4,sax,0.0019163829674497337
3,4,sfa,0.06637594421172766
3,4,spartan,0.1372373537002864
4,4,sax,0.009878854101888808
4,4,sfa,0.10868028769190229
4,4,spartan,0.23242341685006265
5,4,sax,0.004031668353894083
5,4,sfa,0.1428971368017939
5,4,spartan,0.2979119026082584
6,4,sax,0.032480678130376785
6,4,sfa,0.19112991497519305
6,4,spartan,0.35236715030141197
7,4,sax,0.01835150661581697
7,4,sfa,0.22449305489835997
7,4,spartan,0.3928792020014399
8,4,sax,0.05420139819428668
8,4,sfa,0.25393526435992353
8,4,spartan,0.43768092990844437
9,4,sax,0.046759526286583614
9,4,sfa,0.2915572405903811
9,4,spartan,0.4769358266158677
10,4,sax,0.06497478165212492
10,4,sfa,0.30330733462297255
10,4,spartan,0.4985443897684015
3,5,sax,0.0014601701475966359
3,5,sfa,0.05980780875281233
3,5,spartan,0.14263601920112662
4,5,sax,0.00200441906442176
4,5,sfa,0.10239665140478639
4,5,spartan,0.23908540119201516
5,5,sax,0.0203837925355099
5,5,sfa,0.12297580460384333
5,5,spartan,0.3049464309365176
6,5,sax,0.006834080686098053
6,5,sfa,0.1608480304158806
6,5,spartan,0.359532642642432
7,5,sax,0.022208447572628243
7,5,sfa,0.20370640114185445
7,5,spartan,0.40008937683829954
8,5,sax,0.03454314609423893
8,5,sfa,0.2540198844378167
8,5,spartan,0.4451456185075913
9,5,sax,0.040453985245371346
9,5,sfa,0.30943025373638827
9,5,spartan,0.48444557393755744
10,5,sax,0.05916099373433569
10,5,sfa,0.3709625917421785
10,5,spartan,0.506196336201503
3,6,sax,0.0012804097311139564
3,6,sfa,0.06411726929046552
3,6,spartan,0.15041022829219047
4,6,sax,0.007251202663716764
4,6,sfa,0.10864291819499494
4,6,spartan,0.24905548894306878
5,6,sax,0.007295723984245302
5,6,sfa,0.13060410957489563
5,6,spartan,0.31639517614528656
6,6,sax,0.028799133277253416
6,6,sfa,0.16998853741551065
6,6,spartan,0.3722042364991171
7,6,sax,0.03849417314806269
7,6,sfa,0.2142338209466768
7,6,spartan,0.4135428697291744
8,6,sax,0.040926713741160865
8,6,sfa,0.26782723083738386
8,6,spartan,0.45930672439090237
9,6,sax,0.05278857224815327
9,6,sfa,0.3237626941645897
9,6,spartan,0.49921803062043063
10,6,sax,0.06023849297793372
10,6,sfa,0.3854643075651235
10,6,spartan,0.5215146785870178
3,7,sax,0.001784760539540107
3,7,sfa,0.10168784343616903
3,7,spartan,0.1573480498305772
4,7,sax,0.006891312255755389
4,7,sfa,0.18653570770040317
4,7,spartan,0.25851319033509856
5,7,sax,0.020516955708588785
5,7,sfa,0.24240380504253897
5,7,spartan,0.32734514861967373
6,7,sax,0.026856051228087503
6,7,sfa,0.29609195404655203
6,7,spartan,0.3835507264347208
7,7,sax,0.041497546490840496
7,7,sfa,0.32847683466059796
7,7,spartan,0.4253545610474975
8,7,sax,0.05752027906419212
8,7,sfa,0.39660830077086817
8,7,spartan,0.47165229173223056
9,7,sax,0.06358844067847791
9,7,sfa,0.45535672126490934
9,7,spartan,0.5120776476170498
10,7,sax,0.06408099681398939
10,7,sfa,0.46037146227533243
