a,w,method,tlb
3,2,sax,0.016967056797238356
3,2,sfa,0.04805836217667128
3,2,spartan,0.09142724257238244
4,2,sax,0.045622609321516024
4,2,sfa,0.0871412412857225
4,2,spartan,0.15846412287976366
5,2,sax,0.05469050670991545
5,2,sfa,0.11640210741227142
5,2,spartan,0.21470907003852766
6,2,sax,0.07199588439317987
6,2,sfa,0.14164034256921829
6,2,spartan,0.2539931570760953
7,2,sax,0.10256062576175759
7,2,sfa,0.16079422947235283
7,2,spartan,0.2833420682232679
8,2,sax,0.1238154548263742
8,2,sfa,0.17351769436538475
8,2,spartan,0.30710673796832844
9,2,sax,0.13261199798099557
9,2,sfa,0.18624380230036755
9,2,spartan,0.3259048244884552
10,2,sax,0.1475553487969048
10,2,sfa,0.19509206969139228
10,2,spartan,0.3452454247250201
3,3,sax,0.04871132932722925
3,3,sfa,0.06611698739604552
3,3,spartan,0.12480847305032511
4,3,sax,0.11340293107766439
4,3,sfa,0.11894144825757454
4,3,spartan,0.21150240003451698
5,3,sax,0.15288015136886024
5,3,sfa,0.1574027554492608
5,3,spartan,0.2774685929414999
6,3,sax,0.1864807276045719
6,3,sfa,0.18618570813069954
6,3,spartan,0.3216733451918423
7,3,sax,0.2063506984498592
7,3,sfa,0.20908471832234068
7,3,spartan,0.35580353163641937
8,3,sax,0.22485028542694369
8,3,sfa,0.2254509582348626
8,3,spartan,0.3815982578313832
9,3,sax,0.24261616714877504
9,3,sfa,0.23985719798973393
9,3,spartan,0.4042632765628799
10,3,sax,0.25768517977380617
10,3,sfa,0.25054770759783956
10,3,spartan,0.42563845279334644
3,4,sax,0.08150950239152085
3,4,sfa,0.08243352201158048
3,4,spartan,0.15134488120376297
4,4,sax,0.17284873553121743
4,4,sfa,0.14328924240690927
4,4,spartan,0.2533905320814413
5,4,sax,0.22381554982545784
5,4,sfa,0.18795522566064807
5,4,spartan,0.3249720531142527
6,4,sax,0.2631832978758868
6,4,sfa,0.2206542098588769
6,4,spartan,0.37434279645655444
7,4,sax,0.28977264499992433
7,4,sfa,0.24484732380192775
7,4,spartan,0.4117118734543664
8,4,sax,0.30777961591534
8,4,sfa,0.26292595497724985
8,4,spartan,0.43931642018142836
9,4,sax,0.3256395597400775
9,4,sfa,0.27958951557184325
9,4,spartan,0.46305099417485857
10,4,sax,0.342657128644263
10,4,sfa,0.29203954868299137
10,4,spartan,0.48590526108619636
3,5,sax,0.1178633845272875
3,5,sfa,0.0952329925318044
3,5,spartan,0.1713835105847098
4,5,sax,0.22280268042572138
4,5,sfa,0.1639309199469509
4,5,spartan,0.2821311013223085
5,5,sax,0.2815170131631878
5,5,sfa,0.21178549814528522
5,5,spartan,0.35780711386911457
6,5,sax,0.3275265531376368
6,5,sfa,0.2472230980008029
6,5,spartan,0.4089731661894258
7,5,sax,0.3610560645564536
7,5,sfa,0.27309467751595895
7,5,spartan,0.447859133958379
8,5,sax,0.38250995168345275
8,5,sfa,0.2936358514124839
8,5,spartan,0.47845195252820444
9,5,sax,0.40324882076538
9,5,sfa,0.3115390973262362
9,5,spartan,0.5032210006904768
10,5,sax,0.41856285550903793
10,5,sfa,0.3257253930917876
10,5,spartan,0.5271244939675561
3,6,sax,0.1374444406919414
3,6,sfa,0.10703151587348726
3,6,spartan,0.1874182111818776
4,6,sax,0.25495888972719244
4,6,sfa,0.1816183904402505
4,6,spartan,0.3021797477361787
5,6,sax,0.31816489473894977
5,6,sfa,0.23234230935790104
5,6,spartan,0.38020381242757684
6,6,sax,0.36383471651853794
6,6,sfa,0.27028745869281984
6,6,spartan,0.43240197219723253
7,6,sax,0.39545823362128096
7,6,sfa,0.2989570061325536
7,6,spartan,0.47301208165524816
8,6,sax,0.42428302086124525
8,6,sfa,0.31991786494021657
8,6,spartan,0.5047012475132711
9,6,sax,0.44752061065978943
9,6,sfa,0.33908784978262185
9,6,spartan,0.5308577939113494
10,6,sax,0.46399308642422454
10,6,sfa,0.35428913775952936
10,6,spartan,0.5549794011324543
3,7,sax,0.15581613734034006
3,7,sfa,0.11474684699009914
3,7,spartan,0.20148366115631525
4,7,sax,0.27569255422271194
4,7,sfa,0.19225675972737558
4,7,spartan,0.31956745651778173
5,7,sax,0.3422868257438441
5,7,sfa,0.24437048567564174
5,7,spartan,0.3991399203824147
6,7,sax,0.39332478967948
6,7,sfa,0.2837069518412082
6,7,spartan,0.452522431867019
7,7,sax,0.4296884789062217
7,7,sfa,0.3136076910702104
7,7,spartan,0.49514873851546454
8,7,sax,0.4567770366001002
8,7,sfa,0.3352817596466274
8,7,spartan,0.5275276840844647
9,7,sax,0.4816740597368406
9,7,sfa,0.3557530451925407
9,7,spartan,0.554874098560444
10,7,sax,0.49772901797987135
10,7,sfa,0.37136212501981347
10,7,spartan,0.5794670429884421
3,8,sax,0.1679237409267762
3,8,sfa,0.12228523658102687
3,8,spartan,0.21193188120926648
