a,w,method,tlb
3,2,sax,0.04501946944474207
3,2,sfa,0.07748975260201942
3,2,spartan,0.12139485422121299
4,2,sax,0.07889536078627615
4,2,sfa,0.14085899971493063
4,2,spartan,0.21735536105122286
5,2,sax,0.09683695466038827
5,2,sfa,0.17936562196952446
5,2,spartan,0.2763228179872412
6,2,sax,0.11660187613012936
6,2,sfa,0.2140539482044779
6,2,spartan,0.3207607974489126
7,2,sax,0.15336076351905775
7,2,sfa,0.23720561303981397
7,2,spartan,0.3578183442729978
8,2,sax,0.1765742949166079
8,2,sfa,0.25133382228201334
8,2,spartan,0.38663990861027164
9,2,sax,0.2004219012407015
9,2,sfa,0.2623741873302382
9,2,spartan,0.40309583323591364
10,2,sax,0.20986401784232114
10,2,sfa,0.2747048545494026
10,2,spartan,0.4193828278832072
3,3,sax,0.0905322233632642
3,3,sfa,0.10211016612105983
3,3,spartan,0.16030463551113838
4,3,sax,0.1654587935422667
4,3,sfa,0.1788561486797022
4,3,spartan,0.2761793129027911
5,3,sax,0.21584708770430988
5,3,sfa,0.2251207292444613
5,3,spartan,0.3433073533695381
6,3,sax,0.25739485643132126
6,3,sfa,0.2630781651691542
6,3,spartan,0.3974593845339162
7,3,sax,0.28328523919163234
7,3,sfa,0.2888729922176007
7,3,spartan,0.4373723231187821
8,3,sax,0.3098093459601935
8,3,sfa,0.30490836561767704
8,3,spartan,0.46859932652819175
9,3,sax,0.3177224725697687
9,3,sfa,0.3183571141076042
9,3,spartan,0.4873396578177442
10,3,sax,0.3329801759345316
10,3,sfa,0.33249765141412624
10,3,spartan,0.5051593436471589
3,4,sax,0.11937950378222187
3,4,sfa,0.12169669689332809
3,4,spartan,0.1870130046340636
4,4,sax,0.217795662402212
4,4,sfa,0.20814018519634778
4,4,spartan,0.3137531831301671
5,4,sax,0.28709234136635864
5,4,sfa,0.258566705090134
5,4,spartan,0.38756453278412956
6,4,sax,0.3324282008986927
6,4,sfa,0.29913999230060634
6,4,spartan,0.4445011019747705
7,4,sax,0.3663917148000746
7,4,sfa,0.3281235461976204
7,4,spartan,0.4860578556826978
8,4,sax,0.39326181436313856
8,4,sfa,0.34596704412518975
8,4,spartan,0.5189496881261263
9,4,sax,0.41264905234076527
9,4,sfa,0.3608953395298192
9,4,spartan,0.5393642763339406
10,4,sax,0.43070298907627036
10,4,sfa,0.3760560770109002
10,4,spartan,0.5594242426553561
3,5,sax,0.15179736438458205
3,5,sfa,0.13407656637677473
3,5,spartan,0.20601218048285758
4,5,sax,0.25523202608204976
4,5,sfa,0.22634932951346057
4,5,spartan,0.3393821925848847
5,5,sax,0.33218446970402116
5,5,sfa,0.27919843335234873
5,5,spartan,0.41525091022406785
6,5,sax,0.381721650135135
6,5,sfa,0.3207268692190941
6,5,spartan,0.47458916054508643
7,5,sax,0.4166969904277832
7,5,sfa,0.35161170622139554
7,5,spartan,0.5184863609392129
8,5,sax,0.4481052962289351
8,5,sfa,0.3713221072843629
8,5,spartan,0.5525454898476115
9,5,sax,0.4714328289703793
9,5,sfa,0.38704631564137815
9,5,spartan,0.57405793092083
10,5,sax,0.49048384694045716
10,5,sfa,0.4026643038119273
10,5,spartan,0.5953958156004758
3,6,sax,0.16713194906110487
3,6,sfa,0.1462390072900434
3,6,spartan,0.21940827954319325
4,6,sax,0.2809815551730482
4,6,sfa,0.24282006453529145
4,6,spartan,0.35764038475113163
5,6,sax,0.3524859457620003
5,6,sfa,0.2970571285992926
5,6,spartan,0.4364785697446814
6,6,sax,0.40719135004526713
6,6,sfa,0.3408029680835183
6,6,spartan,0.4970146518297304
7,6,sax,0.44730854705726847
7,6,sfa,0.37297371085939185
7,6,spartan,0.5417418329478141
8,6,sax,0.48154799144292526
8,6,sfa,0.3935543691638615
8,6,spartan,0.577402683812556
9,6,sax,0.5063097752900857
9,6,sfa,0.4099328217696183
9,6,spartan,0.599927285600435
10,6,sax,0.5251839911694457
10,6,sfa,0.42610156488473255
10,6,spartan,0.6219410264440416
3,7,sax,0.17642626122736782
3,7,sfa,0.15264956339956284
3,7,spartan,0.2297570734332691
4,7,sax,0.2933057098167776
4,7,sfa,0.25108980299727596
4,7,spartan,0.3699727542042728
5,7,sax,0.3739162539261604
5,7,sfa,0.3075727092694513
5,7,spartan,0.4505211441587675
6,7,sax,0.43072598558605596
6,7,sfa,0.3513389380257
6,7,spartan,0.5122947824764797
7,7,sax,0.4703956798521663
7,7,sfa,0.3841475643375202
7,7,spartan,0.5577996749492294
8,7,sax,0.5033386319678749
8,7,sfa,0.40574472623617347
8,7,spartan,0.5946431723786806
9,7,sax,0.5297543603980149
9,7,sfa,0.4231735308637909
9,7,spartan,0.6178321134662643
10,7,sax,0.5499453603918767
10,7,sfa,0.4400193792509425
10,7,spartan,0.6404013790014458
3,8,sax,0.19003452677736252
3,8,sfa,0.15854415752055237
3,8,spartan,0.23607189307254775
4,8,sax,0.31119065929630946
4,8,sfa,0.25829271469710247
4,8,spartan,0.3774811278140928
5,8,sax,0.38771421465921063
5,8,sfa,0.3162437402886067
5,8,spartan,0.45921835889495966
6,8,sax,0.44363628836918534
6,8,sfa,0.36120072985899854
6,8,spartan,0.5221682210535922
7,8,sax,0.4850306787486416
7,8,sfa,0.3950195915087338
7,8,spartan,0.5683018274596013
8,8,sax,0.5194469287165965
8,8,sfa,0.41749767078796235
8,8,spartan,0.605388846640608
9,8,sax,0.5453191509758655
9,8,sfa,0.4353081016372533
9,8,spartan,0.6290733441364158
10,8,sax,0.5666321730845192
10,8,sfa,0.4527103169831693
10,8,spartan,0.6522718327967499
