a,w,method,tlb
3,2,sax,0.01175961880663554
3,2,sfa,0.04363974213018326
3,2,spartan,0.10451292684017666
4,2,sax,0.04348746462224447
4,2,sfa,0.08259570381338985
4,2,spartan,0.1832814074755798
5,2,sax,0.049908574555464054
5,2,sfa,0.11219310025611959
5,2,spartan,0.23970102031366444
6,2,sax,0.06101571004982663
6,2,sfa,0.13641188600040935
6,2,spartan,0.27702932667836
7,2,sax,0.08970349536103564
7,2,sfa,0.15473631166336121
7,2,spartan,0.30566541290671817
8,2,sax,0.10644540230981071
8,2,sfa,0.16808772271598305
8,2,spartan,0.3275487090960593
9,2,sax,0.12164103933799032
9,2,sfa,0.18041575863899412
9,2,spartan,0.34843928211868186
10,2,sax,0.13416478508095064
10,2,sfa,0.19222642527103007
10,2,spartan,0.3641403477866583
3,3,sax,0.04853559062548744
3,3,sfa,0.0666969855018529
3,3,spartan,0.14000702671482962
4,3,sax,0.12258403287360052
4,3,sfa,0.11679601030122015
4,3,spartan,0.23756604486532465
5,3,sax,0.16199601151900556
5,3,sfa,0.1563560701192634
5,3,spartan,0.3011345285187039
6,3,sax,0.191780624037589
6,3,sfa,0.1853389364974886
6,3,spartan,0.34630868421594424
7,3,sax,0.21185767543440528
7,3,sfa,0.20663546052369752
7,3,spartan,0.38140584939967725
8,3,sax,0.23115736140628393
8,3,sfa,0.2211394020783283
8,3,spartan,0.4081451244987213
9,3,sax,0.24697557824138888
9,3,sfa,0.23601981029859723
9,3,spartan,0.4305143035271317
10,3,sax,0.26337758283976437
10,3,sfa,0.24995186504842992
10,3,spartan,0.44922657616057116
3,4,sax,0.08944617761206772
3,4,sfa,0.08675853480456452
3,4,spartan,0.17321285918799134
4,4,sax,0.18185368713398906
4,4,sfa,0.14933401994488604
4,4,spartan,0.28333317914348133
5,4,sax,0.22875519742538966
5,4,sfa,0.19244062182231644
5,4,spartan,0.3529117789108956
6,4,sax,0.27396757238748587
6,4,sfa,0.22553565984129043
6,4,spartan,0.4042554724910852
7,4,sax,0.2970134992539191
7,4,sfa,0.24921894176311535
7,4,spartan,0.4425942381869011
8,4,sax,0.3235610170933604
8,4,sfa,0.26655706544959
8,4,spartan,0.4705510799627835
9,4,sax,0.339700175943611
9,4,sfa,0.28226961520081395
9,4,spartan,0.4942052692862988
10,4,sax,0.3535818012645553
10,4,sfa,0.29759989380205043
10,4,spartan,0.5149739622283622
3,5,sax,0.1087406828497553
3,5,sfa,0.10115041242671771
3,5,spartan,0.1964041719331607
4,5,sax,0.22219994197636317
4,5,sfa,0.1716963111814145
4,5,spartan,0.3131165526546087
5,5,sax,0.2796100970094642
5,5,sfa,0.21911469861185756
5,5,spartan,0.38661764673703325
6,5,sax,0.3239753284011973
6,5,sfa,0.2559721867651653
6,5,spartan,0.4400435672814798
7,5,sax,0.35235567559899766
7,5,sfa,0.28167116475292225
7,5,spartan,0.4806706078027547
8,5,sax,0.3806190374428216
8,5,sfa,0.30014311679239525
8,5,spartan,0.51031674218941
9,5,sax,0.39988731581967907
9,5,sfa,0.3163709509648526
9,5,spartan,0.5352781362053757
10,5,sax,0.41573467236229916
10,5,sfa,0.3327945891671047
10,5,spartan,0.5570204968077129
3,6,sax,0.13656578437831862
3,6,sfa,0.11282776238661008
3,6,spartan,0.21292231376186424
4,6,sax,0.2651876302634289
4,6,sfa,0.18890206581193822
4,6,spartan,0.33462040579550967
5,6,sax,0.3247378664674287
5,6,sfa,0.2396681156239731
5,6,spartan,0.41078156732275467
6,6,sax,0.3769295048863581
6,6,sfa,0.2779649774271486
6,6,spartan,0.4653133868806699
7,6,sax,0.40824502080287517
7,6,sfa,0.3053118342697173
7,6,spartan,0.5080067811562392
8,6,sax,0.43523111515309265
8,6,sfa,0.3250455461125792
8,6,spartan,0.5387049257950953
9,6,sax,0.4540447290432913
9,6,sfa,0.3423187159577973
9,6,spartan,0.5653584601635189
10,6,sax,0.47002462156566305
10,6,sfa,0.36014346226282695
10,6,spartan,0.5878723067428762
3,7,sax,0.150330138024201
3,7,sfa,0.12148662042873248
3,7,spartan,0.2237221348022565
4,7,sax,0.27775851567101656
4,7,sfa,0.20091904559494006
4,7,spartan,0.34831823673242696
5,7,sax,0.3455735017818868
5,7,sfa,0.25242011072356024
5,7,spartan,0.4256695422976089
6,7,sax,0.39990244716272405
6,7,sfa,0.29180530132914917
6,7,spartan,0.4820476806528853
7,7,sax,0.4379523095045008
7,7,sfa,0.3208112424858372
7,7,spartan,0.5252995710448325
8,7,sax,0.46473116648098994
8,7,sfa,0.341507593630384
8,7,spartan,0.557189191671968
9,7,sax,0.4877444214791997
9,7,sfa,0.35955018792777615
9,7,spartan,0.5846943212019662
10,7,sax,0.5069802979511728
10,7,sfa,0.3776054954547164
10,7,spartan,0.6078453254704586
3,8,sax,0.15964675700712688
3,8,sfa,0.1294866394768738
3,8,spartan,0.233103651110711
4,8,sax,0.2991082248855336
4,8,sfa,0.21053438117648846
4,8,spartan,0.3581879966884262
5,8,sax,0.3714581060632589
5,8,sfa,0.2641966829394679
5,8,spartan,0.437134953080367
6,8,sax,0.4231004823656641
6,8,sfa,0.305190586435892
6,8,spartan,0.49523649069772224
7,8,sax,0.45976244533383887
7,8,sfa,0.33505888620403174
7,8,spartan,0.540107079486026
8,8,sax,0.4906478158009867
8,8,sfa,0.35692363198412097
8,8,spartan,0.5725993248350725
9,8,sax,0.5150624447351937
9,8,sfa,0.37681652739311566
9,8,spartan,0.6009189921418641
10,8,sax,0.5351766523808971
10,8,sfa,0.3951901133174542
10,8,spartan,0.6242796719276399
