a,w,method,tlb
3,2,sax,0.004784259113676692
3,2,sfa,0.025478890527487703
3,2,spartan,0.09221417949119674
4,2,sax,0.004784259113676692
4,2,sfa,0.04130556434500754
4,2,spartan,0.16226943342053302
5,2,sax,0.004784259113676692
5,2,sfa,0.05522147081457007
5,2,spartan,0.21834958403140753
6,2,sax,0.004784259113676692
6,2,sfa,0.06652502270389415
6,2,spartan,0.2730593783257026
7,2,sax,0.004784259113676692
7,2,sfa,0.07690198718731694
7,2,spartan,0.31171927842764563
8,2,sax,0.004784259113676692
8,2,sfa,0.08674285560446982
8,2,spartan,0.34437406434783935
9,2,sax,0.004803771431704148
9,2,sfa,0.08909459220994208
9,2,spartan,0.35917116030036356
10,2,sax,0.004784259113676692
10,2,sfa,0.0943677644538765
10,2,spartan,0.3829773158016926
3,3,sax,0.017574491133265292
3,3,sfa,0.04918879965635362
3,3,spartan,0.10802473843500493
4,3,sax,0.007098051472448058
4,3,sfa,0.08638927398083802
4,3,spartan,0.1905660272525132
5,3,sax,0.019443378024594112
5,3,sfa,0.11714769194502048
5,3,spartan,0.2502889608462308
6,3,sax,0.024671163001823218
6,3,sfa,0.14072013634845004
6,3,spartan,0.3083493496854407
7,3,sax,0.027615143513202715
7,3,sfa,0.16307181840401205
7,3,spartan,0.35128495319676006
8,3,sax,0.02538926882221769
8,3,sfa,0.174591975681412
8,3,spartan,0.3879284296084157
9,3,sax,0.03016726671671498
9,3,sfa,0.18938653936619376
9,3,spartan,0.4058453807089159
10,3,sax,0.040683482900812355
10,3,sfa,0.19875736771788807
10,3,spartan,0.4296509413091762
3,4,sax,0.004894923904106517
3,4,sfa,0.06007408849074429
3,4,spartan,0.1316666748334764
4,4,sax,0.007642876727878649
4,4,sfa,0.10241892859743042
4,4,spartan,0.22962082316665516
5,4,sax,0.010640665421893762
5,4,sfa,0.13660916326645947
5,4,spartan,0.30288528231427697
6,4,sax,0.015996814271210545
6,4,sfa,0.16059616792881148
6,4,spartan,0.3634554314927412
7,4,sax,0.021153982223238443
7,4,sfa,0.18461954021659888
7,4,spartan,0.41038816570375114
8,4,sax,0.026483375758920052
8,4,sfa,0.19831728744186225
8,4,spartan,0.44732351722218755
9,4,sax,0.030631704753283646
9,4,sfa,0.2133359215358233
9,4,spartan,0.46899634189087347
10,4,sax,0.03999736692580766
10,4,sfa,0.22408789621242128
10,4,spartan,0.49484606588378854
3,5,sax,0.016095984210010003
3,5,sfa,0.11589046258917132
3,5,spartan,0.14577487430862937
4,5,sax,0.04430135790196893
4,5,sfa,0.20225574001691862
4,5,spartan,0.25016127148414957
5,5,sax,0.07674302979547856
5,5,sfa,0.25843330591699815
5,5,spartan,0.32541571157512234
6,5,sax,0.07357559730987753
6,5,sfa,0.30100952652257784
6,5,spartan,0.38625716941943705
7,5,sax,0.11244808972832958
7,5,sfa,0.33802526037389136
7,5,spartan,0.4350535604122514
8,5,sax,0.12641226596102195
8,5,sfa,0.36806402665487914
8,5,spartan,0.47074452528693844
9,5,sax,0.15235740969967895
9,5,sfa,0.3805306440226298
9,5,spartan,0.49407850133207226
