a,w,method,tlb
3,2,sax,0.005555555555555556
3,2,sfa,0.23359287857894878
3,2,spartan,0.23522315432059646
4,2,sax,0.005555555555555556
4,2,sfa,0.3120717205698165
4,2,spartan,0.3286833505665336
5,2,sax,0.012805474526897355
5,2,sfa,0.3275001358019447
5,2,spartan,0.36466087456502877
6,2,sax,0.009332551612530169
6,2,sfa,0.42219751955039336
6,2,spartan,0.4452868863366606
7,2,sax,0.022988903368410134
7,2,sfa,0.4363762226320591
7,2,spartan,0.4871398554140071
8,2,sax,0.021905274317960244
8,2,sfa,0.43844435623883166
8,2,spartan,0.48525177565195515
9,2,sax,0.033256743525249335
9,2,sfa,0.5032548254337363
9,2,spartan,0.5295753397001554
10,2,sax,0.04827505748719304
10,2,sfa,0.5020426631072288
10,2,spartan,0.5450489644151588
3,3,sax,0.17295030491605
3,3,sfa,0.2793127180102589
3,3,spartan,0.2664948392465674
4,3,sax,0.23871826650860986
4,3,sfa,0.376610142710771
4,3,spartan,0.3824880515736574
5,3,sax,0.27610056395082333
5,3,sfa,0.3903395247918809
5,3,spartan,0.42674117996510846
6,3,sax,0.30878686956432944
6,3,sfa,0.49383179013240375
6,3,spartan,0.5101392942253944
7,3,sax,0.34184412797026614
7,3,sfa,0.5161450964809511
7,3,spartan,0.5572372222090537
8,3,sax,0.3445769528355059
8,3,sfa,0.5184710756778965
8,3,spartan,0.5572654761110813
9,3,sax,0.35196741953866295
9,3,sfa,0.5749758202427371
9,3,spartan,0.603667240323654
10,3,sax,0.35870592520629035
10,3,sfa,0.5875301900255343
10,3,spartan,0.6183232193269443
3,4,sax,0.19377978529557727
3,4,sfa,0.28495562183847184
3,4,spartan,0.28820282068822195
4,4,sax,0.24902596779456193
4,4,sfa,0.38542286297326794
4,4,spartan,0.4103538584534582
5,4,sax,0.2766101850695935
5,4,sfa,0.4009388810703184
5,4,spartan,0.4545732844346818
6,4,sax,0.29629601751469903
6,4,sfa,0.5044616966066459
6,4,spartan,0.5409337345438556
7,4,sax,0.3022484579603725
7,4,sfa,0.5288994234867942
7,4,spartan,0.5900089032667134
8,4,sax,0.3121770717142398
8,4,sfa,0.5314288049234032
8,4,spartan,0.5901226760273346
9,4,sax,0.35793156516331104
9,4,sfa,0.5871219689044446
9,4,spartan,0.6375779172352751
10,4,sax,0.37865240300502817
10,4,sfa,0.6007650735304425
10,4,spartan,0.6548921895628477
3,5,sax,0.17823793589360798
3,5,sfa,0.29479097926402076
3,5,spartan,0.30118822894892455
4,5,sax,0.2588238985943942
4,5,sfa,0.40394994179670707
4,5,spartan,0.42538763949699465
5,5,sax,0.31565632474593697
5,5,sfa,0.4204559221579981
5,5,spartan,0.4721140637418951
6,5,sax,0.3557252732659845
6,5,sfa,0.5250610577683661
6,5,spartan,0.5591869123767405
7,5,sax,0.37894403567845464
7,5,sfa,0.5510464165197019
7,5,spartan,0.6110552995302931
8,5,sax,0.4041738883992379
8,5,sfa,0.5518044029496134
8,5,spartan,0.6133472222731272
9,5,sax,0.4206770617035402
9,5,sfa,0.6160049017727312
9,5,spartan,0.6615115033717395
10,5,sax,0.4370309115111951
10,5,sfa,0.614479332740614
10,5,spartan,0.6790538272225646
3,6,sax,0.1924080619584299
3,6,sfa,0.2968802829511794
3,6,spartan,0.3124840164030405
4,6,sax,0.30356939119455667
4,6,sfa,0.40861866305871264
4,6,spartan,0.44114959654651115
5,6,sax,0.3565118134557884
5,6,sfa,0.425363617906041
5,6,spartan,0.48809168419323967
6,6,sax,0.3955749203981854
6,6,sfa,0.5307194292432303
6,6,spartan,0.5735116482629928
7,6,sax,0.4324068067481807
7,6,sfa,0.5573522088985322
7,6,spartan,0.6266021983121852
8,6,sax,0.4691264633545253
8,6,sfa,0.5586738014176768
8,6,spartan,0.6304630020070232
9,6,sax,0.47753077100256736
9,6,sfa,0.623524645478505
9,6,spartan,0.67749514402092
10,6,sax,0.4848489512118144
10,6,sfa,0.622520997121082
10,6,spartan,0.6969319594120308
3,7,sax,0.2035131560873364
3,7,sfa,0.31092044530232804
3,7,spartan,0.3182877783935788
4,7,sax,0.3155198923940577
4,7,sfa,0.41592716952147385
4,7,spartan,0.4479902779856987
5,7,sax,0.3554876981724525
5,7,sfa,0.4461964752311016
5,7,spartan,0.49587298532763546
6,7,sax,0.41062542643804867
6,7,sfa,0.5450313308753513
6,7,spartan,0.5836935753946764
7,7,sax,0.44648039380575144
7,7,sfa,0.5821136792364783
7,7,spartan,0.6367225997298935
8,7,sax,0.4743792365992792
8,7,sfa,0.5712671397948957
8,7,spartan,0.6410890964627187
9,7,sax,0.492957889493056
9,7,sfa,0.6371918054481894
9,7,spartan,0.6883848841595163
10,7,sax,0.5074372935714782
10,7,sfa,0.6392086179084189
10,7,spartan,0.7078816368839095
3,8,sax,0.21455898138323373
3,8,sfa,0.31413881703302204
3,8,spartan,0.3278510347128909
4,8,sax,0.33688142448461217
4,8,sfa,0.42185292827572823
4,8,spartan,0.4557529570654791
5,8,sax,0.38160588594457834
5,8,sfa,0.4525210512159561
5,8,spartan,0.5060713203835822
6,8,sax,0.4334384530541003
6,8,sfa,0.5516607712739725
6,8,spartan,0.5937165143553665
7,8,sax,0.4639113249973445
7,8,sfa,0.5896494906656518
7,8,spartan,0.6472551452841656
8,8,sax,0.4921512343570722
8,8,sfa,0.579335616997286
8,8,spartan,0.6514629872882881
9,8,sax,0.5092919173134329
9,8,sfa,0.6452333723678322
9,8,spartan,0.6992580108977811
10,8,sax,0.5288674993340926
10,8,sfa,0.6475039128341981
10,8,spartan,0.7192442432572035
