a,w,method,tlb
3,2,sax,0.016666666666666666
3,2,sfa,0.057914120134412495
3,2,spartan,0.15333856608825452
4,2,sax,0.016666666666666666
4,2,sfa,0.10540333779679824
4,2,spartan,0.21682031600892168
5,2,sax,0.016666666666666666
5,2,sfa,0.14016643846406643
5,2,spartan,0.2802957448664549
6,2,sax,0.02294990575208619
6,2,sfa,0.1888628180913081
6,2,spartan,0.33126474480414064
7,2,sax,0.016666666666666666
7,2,sfa,0.23188917705472117
7,2,spartan,0.37367812098832864
8,2,sax,0.03122542765408357
8,2,sfa,0.34653622464160233
8,2,spartan,0.48871691433072467
9,2,sax,0.02902797724085516
9,2,sfa,0.35645563493589805
9,2,spartan,0.5100365938127388
10,2,sax,0.052939142840381814
10,2,sfa,0.37847980153956967
10,2,spartan,0.5511097745052671
3,3,sax,0.016666666666666666
3,3,sfa,0.09087774620218002
3,3,spartan,0.18684082724446774
4,3,sax,0.02072806785024189
4,3,sfa,0.15843545556577263
4,3,spartan,0.2660900675954642
5,3,sax,0.022214322949712376
5,3,sfa,0.19085975750378792
5,3,spartan,0.34751313709667747
6,3,sax,0.04283173512341609
6,3,sfa,0.231520281850553
6,3,spartan,0.4019011769987254
7,3,sax,0.03638354918522946
7,3,sfa,0.258868620610749
7,3,spartan,0.44592802260387343
8,3,sax,0.08816363407194157
8,3,sfa,0.4025473477924065
8,3,spartan,0.5626222004918389
9,3,sax,0.07724468425781958
9,3,sfa,0.43494800742404927
9,3,spartan,0.5880208377701209
10,3,sax,0.11490205786119821
10,3,sfa,0.4841229155918918
10,3,spartan,0.6287916342291504
3,4,sax,0.046317085541344546
3,4,sfa,0.09288612226021213
3,4,spartan,0.21097771235334684
4,4,sax,0.07305179384873924
4,4,sfa,0.16223172090324878
4,4,spartan,0.2942418152450553
5,4,sax,0.08959111593495064
5,4,sfa,0.1975824633814913
5,4,spartan,0.3775824842667416
6,4,sax,0.12184363702563225
6,4,sfa,0.23876799528187573
6,4,spartan,0.4339785705066633
7,4,sax,0.11855014431109952
7,4,sfa,0.2691516283795273
7,4,spartan,0.48279408762194775
8,4,sax,0.1627784574730143
8,4,sfa,0.41614026291252115
8,4,spartan,0.5986402426970381
9,4,sax,0.14535648851107322
9,4,sfa,0.4543264335444029
9,4,spartan,0.6264308714783992
10,4,sax,0.1738770396663517
10,4,sfa,0.5015206114291012
10,4,spartan,0.6647098472290363
3,5,sax,0.07752584110188412
3,5,sfa,0.12641551521552855
3,5,spartan,0.21675901111543008
4,5,sax,0.11233283095392167
4,5,sfa,0.2025165872170664
