a,w,method,tlb
3,2,sax,0.025
3,2,sfa,0.04681185996185867
3,2,spartan,0.13735004642596618
4,2,sax,0.025
4,2,sfa,0.05928387773787337
4,2,spartan,0.21363295207161756
5,2,sax,0.025943304832372213
5,2,sfa,0.07925142011024691
5,2,spartan,0.26662286217381365
6,2,sax,0.03328985321753853
6,2,sfa,0.08770353991349532
6,2,spartan,0.2951185068075532
7,2,sax,0.031912713185121074
7,2,sfa,0.09307248453080051
7,2,spartan,0.3273104420723745
8,2,sax,0.03113258913682782
8,2,sfa,0.09900979171342142
8,2,spartan,0.34697690497549877
9,2,sax,0.042780220324521424
9,2,sfa,0.1004364200925053
9,2,spartan,0.3687057385854901
10,2,sax,0.03861856620442273
10,2,sfa,0.10652590658337903
10,2,spartan,0.368735773753174
3,3,sax,0.027180861940379025
3,3,sfa,0.06539363103485135
3,3,spartan,0.1724523754845785
4,3,sax,0.025
4,3,sfa,0.09881980003836194
4,3,spartan,0.26410152116666497
5,3,sax,0.06555159897106831
5,3,sfa,0.12068721572428355
5,3,spartan,0.3271612815677423
6,3,sax,0.06019344323187839
6,3,sfa,0.14700691752456907
6,3,spartan,0.35920279419870327
7,3,sax,0.0967811774208678
7,3,sfa,0.1644578369021665
7,3,spartan,0.38517837571435576
8,3,sax,0.10054638339997543
8,3,sfa,0.16888446973078244
8,3,spartan,0.423417729608815
9,3,sax,0.11543040352630188
9,3,sfa,0.16927919545588935
9,3,spartan,0.4342591171886216
10,3,sax,0.12586140497093273
10,3,sfa,0.1739873977353805
10,3,spartan,0.4496126892841657
3,4,sax,0.0404879957251092
3,4,sfa,0.08104147717941829
3,4,spartan,0.19958260669238992
4,4,sax,0.05251334480947138
4,4,sfa,0.12445997257866613
4,4,spartan,0.2863258742545097
5,4,sax,0.10281450864925099
5,4,sfa,0.15882129175533902
5,4,spartan,0.3506666580148864
6,4,sax,0.11517007841950459
6,4,sfa,0.1947880542583031
6,4,spartan,0.40229813313688934
7,4,sax,0.1545505215123676
7,4,sfa,0.2113988037952651
7,4,spartan,0.42883516727573484
8,4,sax,0.1570956546544233
8,4,sfa,0.2196161897733888
8,4,spartan,0.4756574333686438
9,4,sax,0.17029137491627494
9,4,sfa,0.21914249292543617
9,4,spartan,0.47085311276563857
10,4,sax,0.19258731734387738
10,4,sfa,0.22750456777501837
10,4,spartan,0.4932209269405051
3,5,sax,0.07688062123208624
3,5,sfa,0.09101106438375943
3,5,spartan,0.20443084583357796
4,5,sax,0.11703678112418135
4,5,sfa,0.1328497253633233
4,5,spartan,0.3207741912011856
5,5,sax,0.14915253102254808
5,5,sfa,0.17103632003672253
5,5,spartan,0.3732624396987545
6,5,sax,0.18657959558139783
6,5,sfa,0.20707585780992802
6,5,spartan,0.4396225628848622
7,5,sax,0.22870588375666603
7,5,sfa,0.22739747201090055
7,5,spartan,0.47670782443072796
8,5,sax,0.2495744660786186
8,5,sfa,0.2344100435978433
8,5,spartan,0.5051108278741965
9,5,sax,0.24903191109925388
9,5,sfa,0.23804370094122773
9,5,spartan,0.5171808010972004
10,5,sax,0.27094163559075946
10,5,sfa,0.2489327538038443
10,5,spartan,0.532958342432391
3,6,sax,0.08728002737806512
3,6,sfa,0.10660988960336563
3,6,spartan,0.23046006810425376
4,6,sax,0.1514560954021759
4,6,sfa,0.1489529574245227
4,6,spartan,0.3430227629897155
5,6,sax,0.19143988432561693
5,6,sfa,0.18952103249306082
5,6,spartan,0.41269186868926916
6,6,sax,0.21483521082304738
6,6,sfa,0.22538023444932093
6,6,spartan,0.47114799205059554
7,6,sax,0.25058486283403725
7,6,sfa,0.24361703654109726
7,6,spartan,0.4963359804460453
8,6,sax,0.2682019146036988
8,6,sfa,0.25141498464879974
8,6,spartan,0.5300279512598042
9,6,sax,0.2754009253613888
9,6,sfa,0.25778221533694756
9,6,spartan,0.559507193300096
10,6,sax,0.2998581478800251
10,6,sfa,0.2676952195663673
10,6,spartan,0.5696661065225641
3,7,sax,0.15071909233911074
3,7,sfa,0.11358488503977558
3,7,spartan,0.2382052832543056
4,7,sax,0.17709174427926283
4,7,sfa,0.16661285488570785
4,7,spartan,0.3609623455704753
5,7,sax,0.23309729078169297
5,7,sfa,0.21047456346572105
5,7,spartan,0.4372423863202238
6,7,sax,0.26432066496063816
6,7,sfa,0.2566520795192955
6,7,spartan,0.5017446568368097
7,7,sax,0.29572436741178776
7,7,sfa,0.28299027565630186
7,7,spartan,0.513949506429186
8,7,sax,0.3100069123178547
8,7,sfa,0.29076024840046677
8,7,spartan,0.5541212909120027
9,7,sax,0.32771333743687675
9,7,sfa,0.29316516156415084
9,7,spartan,0.5778393792576413
10,7,sax,0.35024750200923166
10,7,sfa,0.3045899278664718
10,7,spartan,0.5951378475370123
3,8,sax,0.18879055540339315
3,8,sfa,0.12704154010329746
3,8,spartan,0.2545091206779254
4,8,sax,0.24675761097248233
4,8,sfa,0.18201716390569203
4,8,spartan,0.38335546718759955
5,8,sax,0.28464835807048927
5,8,sfa,0.2281133872710231
5,8,spartan,0.45316359485541935
6,8,sax,0.3168071758755523
6,8,sfa,0.27481212642672836
6,8,spartan,0.5157183654901348
7,8,sax,0.33795650688298096
7,8,sfa,0.2999627655557433
7,8,spartan,0.547529194304694
8,8,sax,0.3577525774973479
8,8,sfa,0.30873451340134345
8,8,spartan,0.5837724114182692
9,8,sax,0.3784248322876928
9,8,sfa,0.3117045224201535
9,8,spartan,0.6083534785958251
10,8,sax,0.39282844927346033
10,8,sfa,0.32399234828737666
10,8,spartan,0.613847675283477
