a,w,method,tlb
3,2,sax,0.025
3,2,sfa,0.05812176145367813
3,2,spartan,0.16006308704313363
4,2,sax,0.025
4,2,sfa,0.08555924969735598
4,2,spartan,0.29613284008302265
5,2,sax,0.025
5,2,sfa,0.10420194406006637
5,2,spartan,0.3736203932634801
6,2,sax,0.034943335076663355
6,2,sfa,0.10929618967038107
6,2,spartan,0.39271892407753795
7,2,sax,0.03494235150506105
7,2,sfa,0.12214257209004475
7,2,spartan,0.4356275208873815
8,2,sax,0.04500333251425261
8,2,sfa,0.12949824313398928
8,2,spartan,0.46850116435064393
9,2,sax,0.04790700568306357
9,2,sfa,0.1426961103931898
9,2,spartan,0.5175540851125917
10,2,sax,0.04757466368811942
10,2,sfa,0.15270217327046487
10,2,spartan,0.5187333681588122
3,3,sax,0.029022511146053257
3,3,sfa,0.12585867345394822
3,3,spartan,0.18320828609920642
4,3,sax,0.03928960702114952
4,3,sfa,0.19941899408628547
4,3,spartan,0.33018109141695534
5,3,sax,0.09402370598826221
5,3,sfa,0.24245979732204762
5,3,spartan,0.4141618608911621
6,3,sax,0.07109612220190858
6,3,sfa,0.26252564698893954
6,3,spartan,0.4317564676213364
7,3,sax,0.10337276133437374
7,3,sfa,0.2820424992938219
7,3,spartan,0.47641983405229
8,3,sax,0.13527612364564331
8,3,sfa,0.2986968470090198
8,3,spartan,0.5124532917632435
9,3,sax,0.13923836105724882
9,3,sfa,0.3164088186605831
9,3,spartan,0.5610755754090329
10,3,sax,0.16957832196075628
10,3,sfa,0.3319272348106814
10,3,spartan,0.5643304075636693
3,4,sax,0.07346996637834476
3,4,sfa,0.15541075381054095
3,4,spartan,0.2127195654565151
4,4,sax,0.05836619651537164
4,4,sfa,0.24261844631305204
4,4,spartan,0.37714483013347566
5,4,sax,0.10652613954727602
5,4,sfa,0.29093308861715356
5,4,spartan,0.46432504557760923
6,4,sax,0.16396648664991198
6,4,sfa,0.31729915866887104
6,4,spartan,0.48322931292042776
7,4,sax,0.1556768511641255
7,4,sfa,0.33309245337237287
7,4,spartan,0.5290961130457833
8,4,sax,0.20081386983178617
8,4,sfa,0.35384692209135643
8,4,spartan,0.573393879493018
9,4,sax,0.2215228120363416
9,4,sfa,0.37838709258066844
9,4,spartan,0.6234134645481355
10,4,sax,0.2364556431874621
10,4,sfa,0.3914410582020887
10,4,spartan,0.6278470387508297
3,5,sax,0.1266792470308247
3,5,sfa,0.15250558342339365
3,5,spartan,0.23453786701881058
4,5,sax,0.1769665188867797
4,5,sfa,0.2397456239711268
4,5,spartan,0.4047524475937766
5,5,sax,0.20885392112968235
5,5,sfa,0.28701095339039545
5,5,spartan,0.4996763627109977
6,5,sax,0.2821074359854013
6,5,sfa,0.3217461361170888
6,5,spartan,0.5184341527804608
7,5,sax,0.30230216945888005
7,5,sfa,0.33789699080915336
7,5,spartan,0.5661717459027356
8,5,sax,0.3319746494461694
8,5,sfa,0.3637584829685636
8,5,spartan,0.6145796429933342
9,5,sax,0.3541311836125624
9,5,sfa,0.3748191523182516
9,5,spartan,0.6618430417898018
10,5,sax,0.3510421560403339
10,5,sfa,0.39966920965548836
10,5,spartan,0.6665618437272564
3,6,sax,0.20336136240660999
3,6,sfa,0.1823768315920265
3,6,spartan,0.24746499472594047
4,6,sax,0.2756869935594933
4,6,sfa,0.3044259635614894
4,6,spartan,0.4152794576758055
5,6,sax,0.3661785540115645
5,6,sfa,0.35501180592743414
5,6,spartan,0.5209335335755509
6,6,sax,0.4080212608037678
6,6,sfa,0.3967989827509214
6,6,spartan,0.538308631516728
7,6,sax,0.4368350185535682
7,6,sfa,0.4141339899748779
7,6,spartan,0.5894036145017041
8,6,sax,0.4745593456533503
8,6,sfa,0.44679409291271127
8,6,spartan,0.6372291913002727
9,6,sax,0.4949317733469961
9,6,sfa,0.46843063368018517
9,6,spartan,0.686530911215736
10,6,sax,0.4949628010815288
10,6,sfa,0.48774671142364057
10,6,spartan,0.6919256646785032
3,7,sax,0.1640259456426503
3,7,sfa,0.166619226644561
3,7,spartan,0.2559062171103657
4,7,sax,0.2574870192971862
4,7,sfa,0.278806178688385
4,7,spartan,0.4261663969566246
5,7,sax,0.31561449728385155
5,7,sfa,0.3260884281517961
5,7,spartan,0.5310324016110083
6,7,sax,0.37434696893754077
6,7,sfa,0.37908569259654795
6,7,spartan,0.5479722021374388
7,7,sax,0.4260521417128449
7,7,sfa,0.4021256879235346
7,7,spartan,0.6006880686552292
8,7,sax,0.4395331078537823
8,7,sfa,0.42582346192121817
8,7,spartan,0.6488946217849295
9,7,sax,0.4606915479027505
9,7,sfa,0.4425229574155995
9,7,spartan,0.6984032253026714
10,7,sax,0.476695792685574
10,7,sfa,0.46097432380183934
10,7,spartan,0.7034605026230139
3,8,sax,0.19610655945505612
3,8,sfa,0.18089386307894448
3,8,spartan,0.2578274697368911
4,8,sax,0.3087126769544765
4,8,sfa,0.3038837037115215
4,8,spartan,0.4300749391373253
5,8,sax,0.38596832652495644
5,8,sfa,0.3559395367255098
5,8,spartan,0.5363814827796832
6,8,sax,0.44962748255829516
6,8,sfa,0.40881177995389095
6,8,spartan,0.5548926477049996
7,8,sax,0.4714828653240763
7,8,sfa,0.43451099241426694
7,8,spartan,0.6083988169090356
8,8,sax,0.5122000923435538
8,8,sfa,0.4570985583870704
8,8,spartan,0.6571482056466488
9,8,sax,0.5371728825222067
9,8,sfa,0.47813001864639404
9,8,spartan,0.7054674833767226
10,8,sax,0.564297766698824
10,8,sfa,0.4942217452910434
10,8,spartan,0.7108858273245626
