a,w,method,tlb
3,2,sax,0.038080732366180675
3,2,sfa,0.08718367997089722
3,2,spartan,0.1304489595530534
4,2,sax,0.025199798084199854
4,2,sfa,0.13402051022201028
4,2,spartan,0.19762217196911674
5,2,sax,0.07810970092742207
5,2,sfa,0.1705521667319428
5,2,spartan,0.25855737083740105
6,2,sax,0.11000624770968095
6,2,sfa,0.19965994829550235
6,2,spartan,0.2975884827087867
7,2,sax,0.11754086552785707
7,2,sfa,0.21733971285519324
7,2,spartan,0.3280582508989848
8,2,sax,0.14500043911958957
8,2,sfa,0.2342350356707747
8,2,spartan,0.3513003145154915
9,2,sax,0.16006407665918523
9,2,sfa,0.2496444909230599
9,2,spartan,0.37260510087581394
10,2,sax,0.1717403050317677
10,2,sfa,0.2581314569581189
10,2,spartan,0.3905571423582615
3,3,sax,0.0693351988690442
3,3,sfa,0.1091537922395831
3,3,spartan,0.16852014462599957
4,3,sax,0.09471300092235818
4,3,sfa,0.1676060459540044
4,3,spartan,0.24954564302254234
5,3,sax,0.12897558589056532
5,3,sfa,0.21052133324899908
5,3,spartan,0.31793540411731885
6,3,sax,0.16238240954771255
6,3,sfa,0.24845510806711138
6,3,spartan,0.36236485873804875
7,3,sax,0.1863149440900722
7,3,sfa,0.26762147615185045
7,3,spartan,0.3952101796887775
8,3,sax,0.20552751735613667
8,3,sfa,0.2904753681261186
8,3,spartan,0.4195699290326546
9,3,sax,0.22571522357337895
9,3,sfa,0.3056655470484587
9,3,spartan,0.4419082824141224
10,3,sax,0.24519019594759991
10,3,sfa,0.3160629281974909
10,3,spartan,0.461321303069241
3,4,sax,0.0785331828482964
3,4,sfa,0.12672829959426002
3,4,spartan,0.19542304979669162
4,4,sax,0.13401952898796424
4,4,sfa,0.1895008144495805
4,4,spartan,0.2865339995285075
5,4,sax,0.17372562900542923
5,4,sfa,0.2355135508120255
5,4,spartan,0.35724755344215486
6,4,sax,0.22032242224964574
6,4,sfa,0.27503680137287295
6,4,spartan,0.4031224992824922
7,4,sax,0.24524141561343762
7,4,sfa,0.29594891946015206
7,4,spartan,0.43811377990352596
8,4,sax,0.2709523921002048
8,4,sfa,0.318956447231502
8,4,spartan,0.46234016191702004
9,4,sax,0.28383712121503746
9,4,sfa,0.33563540264265246
9,4,spartan,0.4849997267769284
10,4,sax,0.29971831999145016
10,4,sfa,0.34708966194455465
10,4,spartan,0.5052111313224968
3,5,sax,0.12271341755412928
3,5,sfa,0.1405914760153678
3,5,spartan,0.2096454793427709
4,5,sax,0.16995104391952703
4,5,sfa,0.20891306522025976
4,5,spartan,0.30354119074082886
5,5,sax,0.21997788664906062
5,5,sfa,0.2560021370255929
5,5,spartan,0.376049810131603
6,5,sax,0.2825317868149819
6,5,sfa,0.29684305665215355
6,5,spartan,0.4228039261125377
7,5,sax,0.32151171046314475
7,5,sfa,0.3202305931357569
7,5,spartan,0.4580064893464822
8,5,sax,0.3423148640929574
8,5,sfa,0.3448973507174288
8,5,spartan,0.48357472843264615
9,5,sax,0.36210885383217656
9,5,sfa,0.36103849205014926
9,5,spartan,0.5070514905124233
10,5,sax,0.37775120964569625
10,5,sfa,0.3719104669082698
10,5,spartan,0.5278206778726492
3,6,sax,0.14278484387448717
3,6,sfa,0.1477957740437013
3,6,spartan,0.22101585196071713
4,6,sax,0.18908174836997796
4,6,sfa,0.21745470415320264
4,6,spartan,0.3166389423688251
5,6,sax,0.2461896812513511
5,6,sfa,0.2655989602345219
5,6,spartan,0.3898332673568777
6,6,sax,0.2962456492435491
6,6,sfa,0.307056374561701
6,6,spartan,0.4378931582079984
7,6,sax,0.329564334851789
7,6,sfa,0.33125154716680083
7,6,spartan,0.4735385446771127
8,6,sax,0.3566893475808827
8,6,sfa,0.3559901198494778
8,6,spartan,0.5000120784133613
9,6,sax,0.3820296029283638
9,6,sfa,0.37307920233183806
9,6,spartan,0.5238331123274215
10,6,sax,0.39936362552343574
10,6,sfa,0.38441902561317637
10,6,spartan,0.5446173225817715
3,7,sax,0.16190172516996856
3,7,sfa,0.1536179829507955
3,7,spartan,0.23011303008705927
4,7,sax,0.2084130818803592
4,7,sfa,0.2255565543038402
4,7,spartan,0.3278984187634346
5,7,sax,0.2597951546616646
5,7,sfa,0.276607962735229
5,7,spartan,0.4020246366577348
6,7,sax,0.32082348627288104
6,7,sfa,0.3176306107304783
6,7,spartan,0.450517047907139
7,7,sax,0.35706898066472365
7,7,sfa,0.3433745215110602
7,7,spartan,0.4871067336335116
8,7,sax,0.3874324698099234
8,7,sfa,0.3679503990040659
8,7,spartan,0.5139989232094198
9,7,sax,0.4136764087111584
9,7,sfa,0.38609063321412
9,7,spartan,0.5382077388367098
