a,w,method,tlb
3,2,sax,0.008333333333333333
3,2,sfa,0.03376433531804468
3,2,spartan,0.12983236300603265
4,2,sax,0.008333333333333333
4,2,sfa,0.0580572055970127
4,2,spartan,0.22619928358722696
5,2,sax,0.008333333333333333
5,2,sfa,0.07460308100044494
5,2,spartan,0.2835449244460816
6,2,sax,0.008333333333333333
6,2,sfa,0.09180988813815383
6,2,spartan,0.3593982052196026
7,2,sax,0.008333333333333333
7,2,sfa,0.10160517022088593
7,2,spartan,0.40402027701661425
8,2,sax,0.008333333333333333
8,2,sfa,0.1035667750044939
8,2,spartan,0.4519961662077133
9,2,sax,0.008333333333333333
9,2,sfa,0.11099372503966756
9,2,spartan,0.48156196696024
10,2,sax,0.009570722837457872
10,2,sfa,0.11585931907981373
10,2,spartan,0.49968240434721023
3,3,sax,0.008333333333333333
3,3,sfa,0.04399359259520053
3,3,spartan,0.14529721213990884
4,3,sax,0.008333333333333333
4,3,sfa,0.07413240764314244
4,3,spartan,0.2522265447852169
5,3,sax,0.008333333333333333
5,3,sfa,0.09761175532849081
5,3,spartan,0.31223181263844596
6,3,sax,0.009531063506136432
6,3,sfa,0.11393167904543403
6,3,spartan,0.3897277763746201
7,3,sax,0.011610877950808044
7,3,sfa,0.13185735141358162
7,3,spartan,0.43496591510642524
8,3,sax,0.018228074409568997
8,3,sfa,0.13900262409672726
8,3,spartan,0.48326636974991316
9,3,sax,0.012656789119229411
9,3,sfa,0.14998346315600372
9,3,spartan,0.5110845644030361
10,3,sax,0.03078444998723281
10,3,sfa,0.15566395563327712
10,3,spartan,0.5304984969121589
3,4,sax,0.01494482929045761
3,4,sfa,0.1279180281588502
3,4,spartan,0.15821860670384638
4,4,sax,0.02744286648440073
4,4,sfa,0.22212433661549155
4,4,spartan,0.2711666646920928
5,4,sax,0.05971756110812878
5,4,sfa,0.30180770458933415
5,4,spartan,0.3350499443122894
6,4,sax,0.08836987414737127
6,4,sfa,0.34786760600243877
6,4,spartan,0.41060039351535743
7,4,sax,0.13772916161641838
7,4,sfa,0.39676813930227756
7,4,spartan,0.4557339075797939
8,4,sax,0.16111099688859368
8,4,sfa,0.4066763664982592
8,4,spartan,0.5047785377056069
9,4,sax,0.17900806310013195
9,4,sfa,0.4540027981405432
9,4,spartan,0.5337901657251727
10,4,sax,0.2301613972787293
10,4,sfa,0.4734294285763258
10,4,spartan,0.5548189461703458
3,5,sax,0.02473657566359089
3,5,sfa,0.11865203235435728
3,5,spartan,0.17951837828417014
4,5,sax,0.040911965120739274
4,5,sfa,0.20877361482191986
4,5,spartan,0.29619512628612454
5,5,sax,0.06296452892812908
5,5,sfa,0.2780400739543112
5,5,spartan,0.36254868400800766
6,5,sax,0.10819169937745218
6,5,sfa,0.31103022990156914
6,5,spartan,0.4386402516969206
7,5,sax,0.11940624020329954
7,5,sfa,0.3598373721919178
7,5,spartan,0.48420519099279885
8,5,sax,0.1546171478445612
8,5,sfa,0.37339147256694144
8,5,spartan,0.5349243608575461
9,5,sax,0.16036347709319054
9,5,sfa,0.39938741347176454
9,5,spartan,0.5636105415192196
10,5,sax,0.1974104978769078
10,5,sfa,0.42472310776174366
10,5,spartan,0.5854263882563674
3,6,sax,0.008333333333333333
3,6,sfa,0.12645620643827482
3,6,spartan,0.18748286183394694
4,6,sax,0.04123253532182721
4,6,sfa,0.2229997960664885
4,6,spartan,0.30760805021528653
5,6,sax,0.0493775025186263
5,6,sfa,0.2925405237097276
5,6,spartan,0.3750683166444973
6,6,sax,0.07847278255891484
6,6,sfa,0.32612920663972117
6,6,spartan,0.4514983015291484
7,6,sax,0.09759375182416173
7,6,sfa,0.37367180048512666
7,6,spartan,0.49898629185046267
8,6,sax,0.13513925524069564
8,6,sfa,0.38847432441881236
8,6,spartan,0.5502133875319739
9,6,sax,0.1767024755887138
9,6,sfa,0.4151306539370297
9,6,spartan,0.5789093211353614
10,6,sax,0.1960576646053423
10,6,sfa,0.4396082307003608
10,6,spartan,0.6010437868925609
3,7,sax,0.05677901685337649
3,7,sfa,0.14557734803664402
3,7,spartan,0.1976121521094835
4,7,sax,0.09196390745803398
4,7,sfa,0.22692707451032865
4,7,spartan,0.3178125634257838
5,7,sax,0.11957794200952783
5,7,sfa,0.3147067421987906
5,7,spartan,0.3863086514386081
6,7,sax,0.17939297815683652
6,7,sfa,0.35682598348853867
6,7,spartan,0.46310776649824975
7,7,sax,0.2029630342217003
7,7,sfa,0.4099125264070133
7,7,spartan,0.5100680044358886
8,7,sax,0.26367243467228996
8,7,sfa,0.42159396446228775
8,7,spartan,0.5615640806315747
9,7,sax,0.2872708443042882
9,7,sfa,0.46512580218676663
9,7,spartan,0.5895997456481818
10,7,sax,0.3107494408994017
10,7,sfa,0.49056437186648205
10,7,spartan,0.6121756972451742
3,8,sax,0.017667800332080784
3,8,sfa,0.15577635314393667
3,8,spartan,0.20269651881553508
4,8,sax,0.04685442326740317
4,8,sfa,0.23958489635951818
4,8,spartan,0.3249172065615749
5,8,sax,0.10530944674012767
5,8,sfa,0.3314042010244567
5,8,spartan,0.39306817172106007
6,8,sax,0.13639092663925545
6,8,sfa,0.37468520368023633
6,8,spartan,0.4713173990492492
7,8,sax,0.1583684980578608
7,8,sfa,0.4270823746057676
7,8,spartan,0.5197786766425163
8,8,sax,0.1870119878981676
8,8,sfa,0.44163781331868146
8,8,spartan,0.5705402707106842
9,8,sax,0.21584400218672292
9,8,sfa,0.48759243738028657
9,8,spartan,0.5986646548219217
10,8,sax,0.25483022111452835
10,8,sfa,0.5125546396554068
10,8,spartan,0.6218633974864196
