a,w,method,tlb
3,2,sax,0.0027548209366391185
3,2,sfa,0.05740312996032967
3,2,spartan,0.1447294876204994
4,2,sax,0.0027548209366391185
4,2,sfa,0.11513655623983839
4,2,spartan,0.26633914260627667
5,2,sax,0.0027548209366391185
5,2,sfa,0.14183026342373098
5,2,spartan,0.328888429312924
6,2,sax,0.0027548209366391185
6,2,sfa,0.16923747042351348
6,2,spartan,0.38527292174911015
7,2,sax,0.0027548209366391185
7,2,sfa,0.18999118607745896
7,2,spartan,0.4340931901730263
8,2,sax,0.0027548209366391185
8,2,sfa,0.20504389061020348
8,2,spartan,0.46414357530706285
9,2,sax,0.0027548209366391185
9,2,sfa,0.21896863903586394
9,2,spartan,0.4965912858973655
10,2,sax,0.0027548209366391185
10,2,sfa,0.2259730528880773
10,2,spartan,0.5148547543226663
3,3,sax,0.0027548209366391185
3,3,sfa,0.08674219470700868
3,3,spartan,0.17214061197432673
4,3,sax,0.0027548209366391185
4,3,sfa,0.16331698599866293
4,3,spartan,0.3044003757810917
5,3,sax,0.00408683325188371
5,3,sfa,0.19701226025949342
5,3,spartan,0.37338511066080055
6,3,sax,0.0067667565402246745
6,3,sfa,0.2261791073997481
6,3,spartan,0.43075426250788734
7,3,sax,0.005356200109179904
7,3,sfa,0.2548381345951323
7,3,spartan,0.4802660668309673
8,3,sax,0.00871084668643763
8,3,sfa,0.2752617026444221
8,3,spartan,0.5122478304956958
9,3,sax,0.027276348339563702
9,3,sfa,0.2881974756536272
9,3,spartan,0.5440259966105092
10,3,sax,0.027453742967004563
10,3,sfa,0.2958117064673812
10,3,spartan,0.5643634494447252
3,4,sax,0.0027548209366391185
3,4,sfa,0.0982694378594313
3,4,spartan,0.18666850700132157
4,4,sax,0.006541446544173359
4,4,sfa,0.18652357568326944
4,4,spartan,0.3259245651215833
5,4,sax,0.009857115859680753
5,4,sfa,0.2294254551839854
5,4,spartan,0.39949637732224796
6,4,sax,0.027621370260379845
6,4,sfa,0.26902479459725975
6,4,spartan,0.4564136015829957
7,4,sax,0.02322539834653971
7,4,sfa,0.30452130472710526
7,4,spartan,0.506832032484813
8,4,sax,0.031618107869629965
8,4,sfa,0.327324579373968
8,4,spartan,0.5397789603701473
9,4,sax,0.050331515519551194
9,4,sfa,0.3507908479514295
9,4,spartan,0.5713721517904772
10,4,sax,0.0729042847939738
10,4,sfa,0.36464914168246604
10,4,spartan,0.5928525389522887
3,5,sax,0.0055321882697258445
3,5,sfa,0.12249162496758573
3,5,spartan,0.19989329951014537
4,5,sax,0.004702808895609023
4,5,sfa,0.22552175883927889
4,5,spartan,0.3427963953979588
5,5,sax,0.007994211599830775
5,5,sfa,0.2709998743782016
5,5,spartan,0.41782617521593385
6,5,sax,0.00836744613213558
6,5,sfa,0.3196995871224005
6,5,spartan,0.4739131079400928
7,5,sax,0.010938258742844391
7,5,sfa,0.35293480751785583
7,5,spartan,0.5245930791041533
8,5,sax,0.015752550122254086
8,5,sfa,0.3815306296363984
8,5,spartan,0.5581875354522844
9,5,sax,0.029346592306888956
9,5,sfa,0.40361389781287915
9,5,spartan,0.5901584099777969
10,5,sax,0.03520225590556739
10,5,sfa,0.4127815384355306
10,5,spartan,0.6119461874138324
3,6,sax,0.00557657524177875
3,6,sfa,0.12920325430305854
3,6,spartan,0.20941190700195397
4,6,sax,0.030839704764900784
4,6,sfa,0.23425450686761806
4,6,spartan,0.35547310221173894
5,6,sax,0.0274057908449843
5,6,sfa,0.28105757193284037
5,6,spartan,0.43184770273925427
6,6,sax,0.05037538139233113
6,6,sfa,0.33042970383767545
6,6,spartan,0.4885712319175725
7,6,sax,0.08934852339046624
7,6,sfa,0.36542818532841387
7,6,spartan,0.5396966492827291
8,6,sax,0.11835081254231637
8,6,sfa,0.3938104217073337
8,6,spartan,0.5741998683394068
9,6,sax,0.13996177452497727
9,6,sfa,0.41675966534851966
9,6,spartan,0.6059151615525808
10,6,sax,0.15731669295721962
10,6,sfa,0.42687536442027346
10,6,spartan,0.6276637891274862
3,7,sax,0.005048943419141597
3,7,sfa,0.14792124845529103
3,7,spartan,0.21895793434689906
4,7,sax,0.006660826751265478
4,7,sfa,0.2580312554396372
4,7,spartan,0.3660666934275611
5,7,sax,0.00694313535394362
5,7,sfa,0.3067202923553255
5,7,spartan,0.4431320065730771
6,7,sax,0.020423651525392147
6,7,sfa,0.34943996370899755
6,7,spartan,0.4999540089853848
7,7,sax,0.01092985923690037
7,7,sfa,0.3906184189805036
7,7,spartan,0.551676347747122
8,7,sax,0.018673517737788314
8,7,sfa,0.4242085831877629
8,7,spartan,0.586201461547884
9,7,sax,0.03168370308763506
9,7,sfa,0.44062224673899886
9,7,spartan,0.6178376847313409
10,7,sax,0.05727448678971823
10,7,sfa,0.45482832177538607
10,7,spartan,0.6400716719434807
3,8,sax,0.00817983293122895
3,8,sfa,0.1507552420153619
3,8,spartan,0.2279818930963657
4,8,sax,0.01884227746225509
4,8,sfa,0.26185236743791646
4,8,spartan,0.3763771050385412
5,8,sax,0.04741963748480908
5,8,sfa,0.31201115487993436
5,8,spartan,0.4529330959403401
6,8,sax,0.09282322168182466
6,8,sfa,0.35497307040243053
6,8,spartan,0.5105569924634883
7,8,sax,0.0997150669753316
7,8,sfa,0.3961740399286213
7,8,spartan,0.5630625239546698
8,8,sax,0.12951003767712688
8,8,sfa,0.4299791023988633
8,8,spartan,0.5977648072841545
9,8,sax,0.15011719473696863
9,8,sfa,0.44662292594496106
9,8,spartan,0.6293715626336868
10,8,sax,0.1877786791300176
10,8,sfa,0.4615384300336102
10,8,spartan,0.6517711661543245
