a,w,method,tlb
3,2,sax,0.0007159647831150595
3,2,sfa,0.03708056085308966
3,2,spartan,0.11068587619858226
4,2,sax,0.0007042253521126761
4,2,sfa,0.06487707529914943
4,2,spartan,0.17583609445396967
5,2,sax,0.0035570999970037627
5,2,sfa,0.08793563671138506
5,2,spartan,0.22076646160158214
6,2,sax,0.002798321227483679
6,2,sfa,0.10011014247109783
6,2,spartan,0.2569425222389866
7,2,sax,0.010522930338888398
7,2,sfa,0.1099546258170422
7,2,spartan,0.2840254659613058
8,2,sax,0.014791181659984037
8,2,sfa,0.11839021584904906
8,2,spartan,0.3044285451477499
9,2,sax,0.01898387085935079
9,2,sfa,0.12533236480540458
9,2,spartan,0.3225890339568465
10,2,sax,0.02425280015194666
10,2,sfa,0.13216414237716667
10,2,spartan,0.3355573402666581
3,3,sax,0.021136259066349413
3,3,sfa,0.04799227595162629
3,3,spartan,0.14020459507064525
4,3,sax,0.017708636879370493
4,3,sfa,0.07930506110759397
4,3,spartan,0.2191220048452868
5,3,sax,0.043160096969460306
5,3,sfa,0.10569593021475703
5,3,spartan,0.2719740127424287
6,3,sax,0.07448956683183218
6,3,sfa,0.12057712255715364
6,3,spartan,0.3141380505750949
7,3,sax,0.0884007280920957
7,3,sfa,0.13184457917090597
7,3,spartan,0.34761335508923913
8,3,sax,0.09933854472676458
8,3,sfa,0.14089459028552068
8,3,spartan,0.37380940598619244
9,3,sax,0.1148408409630726
9,3,sfa,0.14898340280358038
9,3,spartan,0.3956515987854035
10,3,sax,0.1297671658345605
10,3,sfa,0.15614390297816919
10,3,spartan,0.4101536878845698
3,4,sax,0.020723242563860267
3,4,sfa,0.05798695691551138
3,4,spartan,0.17109745945654276
4,4,sax,0.027271193553945416
4,4,sfa,0.09250577182644326
4,4,spartan,0.2579720864113275
5,4,sax,0.0769768301764468
5,4,sfa,0.12065998028474978
5,4,spartan,0.3156337381802065
6,4,sax,0.09042495867063148
6,4,sfa,0.13670839855287925
6,4,spartan,0.36028349902827395
7,4,sax,0.11434428144895628
7,4,sfa,0.14896041018506015
7,4,spartan,0.3957383318669652
8,4,sax,0.13863946112808712
8,4,sfa,0.15846401355982176
8,4,spartan,0.4229559125604248
9,4,sax,0.14687525398513376
9,4,sfa,0.1669525289629439
9,4,spartan,0.44594816940453513
10,4,sax,0.15972166049164704
10,4,sfa,0.1745528738436573
10,4,spartan,0.46243342505020524
3,5,sax,0.03775815893144299
3,5,sfa,0.06642153858344046
3,5,spartan,0.19941920145163664
4,5,sax,0.07247275773503697
4,5,sfa,0.1046129326479773
4,5,spartan,0.2911266462222609
5,5,sax,0.09948282302670013
5,5,sfa,0.13499351064484594
5,5,spartan,0.3539716978869727
6,5,sax,0.1346340826657098
6,5,sfa,0.15440214010247366
6,5,spartan,0.4007443604983922
7,5,sax,0.155359921883524
7,5,sfa,0.1682736258976543
7,5,spartan,0.4382648723571837
8,5,sax,0.17683828851939717
8,5,sfa,0.17907360752533966
8,5,spartan,0.4667719782863262
9,5,sax,0.19062590206967092
9,5,sfa,0.18843178768706695
9,5,spartan,0.49152798350758287
10,5,sax,0.20266887544760537
10,5,sfa,0.1966359501669788
10,5,spartan,0.5091806874643356
3,6,sax,0.07781455928680917
3,6,sfa,0.08163085694964738
3,6,spartan,0.22774615140571713
4,6,sax,0.11216296472360163
4,6,sfa,0.12343455712698988
4,6,spartan,0.32334647135684874
5,6,sax,0.14786384179398435
5,6,sfa,0.15491376875916607
5,6,spartan,0.3886877498283779
6,6,sax,0.18313505626372342
6,6,sfa,0.17567891912129113
6,6,spartan,0.4376447914870551
7,6,sax,0.20393984335614543
7,6,sfa,0.19056876730858457
7,6,spartan,0.4763643279088809
8,6,sax,0.2230301714515764
8,6,sfa,0.20206122036317894
8,6,spartan,0.5054141716721011
9,6,sax,0.23772084246226147
9,6,sfa,0.21174623154402897
9,6,spartan,0.5313373996077368
10,6,sax,0.2501257478475536
10,6,sfa,0.2202030621014262
10,6,spartan,0.5493901587195889
3,7,sax,0.07451343820039662
3,7,sfa,0.09252297626479042
3,7,spartan,0.2419765763814237
4,7,sax,0.13695108095312528
4,7,sfa,0.13958582463865707
