a,w,method,tlb
3,2,sax,0.017857142857142856
3,2,sfa,0.06739824017198388
3,2,spartan,0.15616338488146272
4,2,sax,0.017857142857142856
4,2,sfa,0.0993532069493968
4,2,spartan,0.2704467381456094
5,2,sax,0.017857142857142856
5,2,sfa,0.11806920267627945
5,2,spartan,0.31333319992472913
6,2,sax,0.017857142857142856
6,2,sfa,0.13249724265540935
6,2,spartan,0.3600310668324697
7,2,sax,0.017857142857142856
7,2,sfa,0.14499193123887177
7,2,spartan,0.4287696527983986
8,2,sax,0.017857142857142856
8,2,sfa,0.1562010170687722
8,2,spartan,0.4522882236758603
9,2,sax,0.017857142857142856
9,2,sfa,0.1567241445478099
9,2,spartan,0.4625292051701678
10,2,sax,0.017857142857142856
10,2,sfa,0.16664574117942832
10,2,spartan,0.4745736057054614
3,3,sax,0.017857142857142856
3,3,sfa,0.07809942495174985
3,3,spartan,0.18717701230734898
4,3,sax,0.017857142857142856
4,3,sfa,0.10513030283787458
4,3,spartan,0.3057300056108078
5,3,sax,0.017857142857142856
5,3,sfa,0.1363088249807486
5,3,spartan,0.3683303671643885
6,3,sax,0.017857142857142856
6,3,sfa,0.1537460727140013
6,3,spartan,0.4158735304402259
7,3,sax,0.017857142857142856
7,3,sfa,0.1600753581293851
7,3,spartan,0.4870373107414081
8,3,sax,0.017857142857142856
8,3,sfa,0.1707933421049611
8,3,spartan,0.5094130753299002
9,3,sax,0.017857142857142856
9,3,sfa,0.17882357308173605
9,3,spartan,0.5194420969910228
10,3,sax,0.017857142857142856
10,3,sfa,0.1854655115480105
10,3,spartan,0.5364843577637792
3,4,sax,0.017857142857142856
3,4,sfa,0.09019199810766369
3,4,spartan,0.20241515860899828
4,4,sax,0.017857142857142856
4,4,sfa,0.12496054724491082
4,4,spartan,0.33150451379498963
5,4,sax,0.017857142857142856
5,4,sfa,0.15297516306635178
5,4,spartan,0.39818948366865853
6,4,sax,0.017857142857142856
6,4,sfa,0.17466027180399532
6,4,spartan,0.4532800529963529
7,4,sax,0.017857142857142856
7,4,sfa,0.18199493539835032
7,4,spartan,0.5260430576210559
8,4,sax,0.017857142857142856
8,4,sfa,0.20025669286401993
8,4,spartan,0.5552465371614113
9,4,sax,0.017857142857142856
9,4,sfa,0.20587864835582043
9,4,spartan,0.5632921471663026
10,4,sax,0.017857142857142856
10,4,sfa,0.2109142119610195
10,4,spartan,0.5817866663741053
3,5,sax,0.017857142857142856
3,5,sfa,0.08713387886679068
3,5,spartan,0.2154388362865953
4,5,sax,0.017857142857142856
4,5,sfa,0.1236040269600779
4,5,spartan,0.3516669374767355
5,5,sax,0.017857142857142856
5,5,sfa,0.1550473964711686
5,5,spartan,0.4233747142196926
6,5,sax,0.017857142857142856
6,5,sfa,0.17500577887650534
6,5,spartan,0.4781777647410245
7,5,sax,0.017857142857142856
7,5,sfa,0.1873079413726742
7,5,spartan,0.5553046858000728
8,5,sax,0.017857142857142856
8,5,sfa,0.20222449020025504
8,5,spartan,0.5831609994432326
9,5,sax,0.017857142857142856
9,5,sfa,0.21077044775659007
9,5,spartan,0.5927659934796878
10,5,sax,0.017857142857142856
10,5,sfa,0.21430345331002698
10,5,spartan,0.6108300859875251
3,6,sax,0.017857142857142856
3,6,sfa,0.10574111069057038
3,6,spartan,0.22432479068795333
4,6,sax,0.017857142857142856
4,6,sfa,0.15904488415839876
4,6,spartan,0.3607378490692028
5,6,sax,0.017857142857142856
5,6,sfa,0.18747103177881475
5,6,spartan,0.43837017886151597
6,6,sax,0.017857142857142856
6,6,sfa,0.21023497654195328
6,6,spartan,0.49340439365261335
7,6,sax,0.017857142857142856
7,6,sfa,0.22618294118288929
7,6,spartan,0.5686596816853651
8,6,sax,0.017857142857142856
8,6,sfa,0.24385356849635767
8,6,spartan,0.595853941849755
9,6,sax,0.017857142857142856
9,6,sfa,0.24908111567108443
9,6,spartan,0.6089471994096921
10,6,sax,0.017857142857142856
10,6,sfa,0.254565426756811
10,6,spartan,0.629596083130399
3,7,sax,0.017857142857142856
3,7,sfa,0.11691589989590381
3,7,spartan,0.2291019211550227
4,7,sax,0.017857142857142856
4,7,sfa,0.1664560372002221
4,7,spartan,0.3662646666522269
5,7,sax,0.017857142857142856
5,7,sfa,0.20322196547166546
5,7,spartan,0.4431067512069739
6,7,sax,0.017857142857142856
6,7,sfa,0.22584878836176767
6,7,spartan,0.49804909844842177
7,7,sax,0.017857142857142856
7,7,sfa,0.2401277956164344
7,7,spartan,0.5748445933368928
8,7,sax,0.017857142857142856
8,7,sfa,0.2629329869456068
8,7,spartan,0.6021291221962418
9,7,sax,0.017857142857142856
9,7,sfa,0.28104744422405875
9,7,spartan,0.6148612736446845
10,7,sax,0.018302624858895455
10,7,sfa,0.28249147723504103
10,7,spartan,0.6350192716945794
3,8,sax,0.017857142857142856
3,8,sfa,0.12845969356860662
3,8,spartan,0.2343778874865405
4,8,sax,0.017857142857142856
4,8,sfa,0.1862469157034756
4,8,spartan,0.3712292785644214
5,8,sax,0.017857142857142856
5,8,sfa,0.2279235953688371
5,8,spartan,0.44796286061310586
6,8,sax,0.017857142857142856
6,8,sfa,0.2490351120480733
6,8,spartan,0.5030134306837922
7,8,sax,0.017857142857142856
7,8,sfa,0.2662339957613401
7,8,spartan,0.5800912883278925
8,8,sax,0.017857142857142856
8,8,sfa,0.29626476179195194
8,8,spartan,0.6083220708935045
9,8,sax,0.017857142857142856
9,8,sfa,0.31025770735991975
9,8,spartan,0.6214496535344882
10,8,sax,0.017857142857142856
10,8,sfa,0.3155708192402355
10,8,spartan,0.6412162950194334
