a,w,method,tlb
3,2,sax,0.004858805818887573
3,2,sfa,0.05210295289296831
3,2,spartan,0.09021309002885257
4,2,sax,0.017683586505970815
4,2,sfa,0.09552794165964973
4,2,spartan,0.14589224804383563
5,2,sax,0.022223092987608065
5,2,sfa,0.11491174547292944
5,2,spartan,0.18808940914610495
6,2,sax,0.03240468454511131
6,2,sfa,0.13787134439030374
6,2,spartan,0.2158174240869885
7,2,sax,0.05469139478841947
7,2,sfa,0.15152514688605678
7,2,spartan,0.23695372153969552
8,2,sax,0.0650113427119481
8,2,sfa,0.1640898119918965
8,2,spartan,0.2566859238051741
9,2,sax,0.07443534060716538
9,2,sfa,0.17311677391684624
9,2,spartan,0.268436803311813
10,2,sax,0.08300630750095962
10,2,sfa,0.1789126415845627
10,2,spartan,0.2837532154341844
3,3,sax,0.025402077092162422
3,3,sfa,0.06725691013690495
3,3,spartan,0.11701401201906463
4,3,sax,0.07206615799226276
4,3,sfa,0.11889107440899942
4,3,spartan,0.18573088920347072
5,3,sax,0.10516520129816634
5,3,sfa,0.14337369228773486
5,3,spartan,0.23558748059377724
6,3,sax,0.13367799057149318
6,3,sfa,0.1683294347527291
6,3,spartan,0.26744215192720733
7,3,sax,0.1588266217811052
7,3,sfa,0.18256782376405137
7,3,spartan,0.29084027956392255
8,3,sax,0.1758107287556083
8,3,sfa,0.1966410579526271
8,3,spartan,0.31377169569358776
9,3,sax,0.1915202557330494
9,3,sfa,0.20784504222529543
9,3,spartan,0.3266699815402621
10,3,sax,0.20296741395264958
10,3,sfa,0.2141813303450875
10,3,spartan,0.34246144961075853
3,4,sax,0.035598657120821955
3,4,sfa,0.08317097320992528
3,4,spartan,0.13785963809654894
4,4,sax,0.1149619424327271
4,4,sfa,0.13982101172818331
4,4,spartan,0.21499136359082446
5,4,sax,0.14929683726688656
5,4,sfa,0.1688691526228502
5,4,spartan,0.26906123149295963
6,4,sax,0.1792939513112385
6,4,sfa,0.19568035295285816
6,4,spartan,0.30418964475493
7,4,sax,0.21061866226771364
7,4,sfa,0.2117125736553594
7,4,spartan,0.3291410752261991
8,4,sax,0.23232034522725376
8,4,sfa,0.22703662006955902
8,4,spartan,0.3542681152643204
9,4,sax,0.24926408643321954
9,4,sfa,0.23936517297153997
9,4,spartan,0.37040360968185765
10,4,sax,0.2606039130717622
10,4,sfa,0.2470185672919059
10,4,spartan,0.38749804168966157
3,5,sax,0.04426103006402704
3,5,sfa,0.0975785892556507
3,5,spartan,0.15315523720941213
4,5,sax,0.15191397078204655
4,5,sfa,0.1579166991874042
4,5,spartan,0.2361500221562335
5,5,sax,0.1870321461254707
5,5,sfa,0.18931036140234409
5,5,spartan,0.2935631825002323
6,5,sax,0.2187329115321621
6,5,sfa,0.21860332124892043
6,5,spartan,0.33149228296005906
7,5,sax,0.2529271220683366
7,5,sfa,0.23487264071927205
7,5,spartan,0.3577161121606341
8,5,sax,0.2723309648501798
8,5,sfa,0.2514669470056099
8,5,spartan,0.3844230073109368
