a,w,method,tlb
3,2,sax,0.03677892919947483
3,2,sfa,0.07870179382813072
3,2,spartan,0.1255986561391237
4,2,sax,0.0302240242719572
4,2,sfa,0.13585769729198027
4,2,spartan,0.20817056861897948
5,2,sax,0.06952410613103514
5,2,sfa,0.1698328138234826
5,2,spartan,0.2627146860815076
6,2,sax,0.10382083855162376
6,2,sfa,0.19389635522432058
6,2,spartan,0.3001464823948512
7,2,sax,0.12104168000719923
7,2,sfa,0.21667157799318365
7,2,spartan,0.33101512607217787
8,2,sax,0.1371635005518408
8,2,sfa,0.23375988803221362
8,2,spartan,0.3549008627414334
9,2,sax,0.14873045425699322
9,2,sfa,0.24542876553328236
9,2,spartan,0.36999268665668045
10,2,sax,0.1678986813973805
10,2,sfa,0.2561219476863465
10,2,spartan,0.38394833283166885
3,3,sax,0.08558809653205722
3,3,sfa,0.10263254736196627
3,3,spartan,0.1490548552088609
4,3,sax,0.13176408495199793
4,3,sfa,0.17093402986511702
4,3,spartan,0.24371025763700951
5,3,sax,0.1599315503655886
5,3,sfa,0.2098449859073407
5,3,spartan,0.30345194676565657
6,3,sax,0.18792756947986639
6,3,sfa,0.23408820110047177
6,3,spartan,0.3447567454309638
7,3,sax,0.22262315061124757
7,3,sfa,0.25952968830445755
7,3,spartan,0.37898215332748647
8,3,sax,0.24181844108014386
8,3,sfa,0.27711667402675316
8,3,spartan,0.40446100102900273
9,3,sax,0.2544754817045691
9,3,sfa,0.2889128204433492
9,3,spartan,0.4215688590135455
10,3,sax,0.2762057935546895
10,3,sfa,0.30061182534755637
10,3,spartan,0.43663858333434824
3,4,sax,0.11979688669207021
3,4,sfa,0.11028152737418204
3,4,spartan,0.16641306510247694
4,4,sax,0.18783132733513416
4,4,sfa,0.18163373714001196
4,4,spartan,0.2675314712993428
5,4,sax,0.23184046840173972
5,4,sfa,0.2223641962880477
5,4,spartan,0.33231627279157816
6,4,sax,0.26085556765476686
6,4,sfa,0.24806666449880577
6,4,spartan,0.3754172593400227
7,4,sax,0.2898211786216017
7,4,sfa,0.27472340486094315
7,4,spartan,0.41229758203171185
8,4,sax,0.30997673074912196
8,4,sfa,0.2940677835875038
8,4,spartan,0.4382269160943499
9,4,sax,0.32423863452329493
9,4,sfa,0.30630641457044094
9,4,spartan,0.45591380929270925
10,4,sax,0.3433715536810046
10,4,sfa,0.3186295735125489
10,4,spartan,0.4732307514091656
3,5,sax,0.14322803090296307
3,5,sfa,0.1201508769543533
3,5,spartan,0.18069100642707045
4,5,sax,0.21006918712798914
4,5,sfa,0.1935764549643941
4,5,spartan,0.2856959061764217
5,5,sax,0.2562158878315785
5,5,sfa,0.2355107779442292
5,5,spartan,0.351527573502324
6,5,sax,0.29871779318866126
6,5,sfa,0.2629889035940074
6,5,spartan,0.3982294328577999
7,5,sax,0.32289823875783746
7,5,sfa,0.2892502086140379
7,5,spartan,0.4367663242845135
8,5,sax,0.34717091886111556
8,5,sfa,0.3090456124736129
8,5,spartan,0.4642070254734324
9,5,sax,0.3675838723338659
9,5,sfa,0.32282941472574495
9,5,spartan,0.48264181186610516
10,5,sax,0.37849375603732555
10,5,sfa,0.33427911777422437
10,5,spartan,0.5011377439539252
3,6,sax,0.15676076999202876
3,6,sfa,0.1282977289546179
3,6,spartan,0.19570156527698365
4,6,sax,0.242883538312663
4,6,sfa,0.20278507642976729
4,6,spartan,0.30402673077783066
5,6,sax,0.29261662059654087
5,6,sfa,0.245353070844826
5,6,spartan,0.370875416892154
6,6,sax,0.3257998150384932
6,6,sfa,0.2737608355584601
6,6,spartan,0.418582023864014
7,6,sax,0.3569888915319516
7,6,sfa,0.3004640114847644
7,6,spartan,0.45879202922436374
8,6,sax,0.381883316613258
8,6,sfa,0.32099446136759313
8,6,spartan,0.4866754242768922
9,6,sax,0.400307875251571
9,6,sfa,0.33509408609867986
9,6,spartan,0.5063625373694248
10,6,sax,0.41626211094499854
10,6,sfa,0.3469837765264075
10,6,spartan,0.5255923573050947
3,7,sax,0.16651801065028315
3,7,sfa,0.13524108875428212
3,7,spartan,0.20584004032547257
4,7,sax,0.2582660150801375
4,7,sfa,0.21333945245378336
4,7,spartan,0.3176474566762581
5,7,sax,0.3092209888793916
5,7,sfa,0.256198890373603
5,7,spartan,0.385797357822445
6,7,sax,0.3488977042513946
6,7,sfa,0.2846359949692799
6,7,spartan,0.4363591253695378
7,7,sax,0.3792345056149377
7,7,sfa,0.3122097747617907
7,7,spartan,0.4775567710323554
8,7,sax,0.4044352766924754
8,7,sfa,0.33333217462498743
8,7,spartan,0.5059783260954279
9,7,sax,0.4221501462734695
9,7,sfa,0.34777646838415316
9,7,spartan,0.5266003430599421
10,7,sax,0.4373105366379948
10,7,sfa,0.3601691000987612
10,7,spartan,0.545522588028283
3,8,sax,0.1788783940947829
3,8,sfa,0.14039813897929576
3,8,spartan,0.21642980515894805
4,8,sax,0.2673180644924043
4,8,sfa,0.2194799685420418
4,8,spartan,0.3301295736874047
5,8,sax,0.32782889907809976
5,8,sfa,0.26312309640541826
5,8,spartan,0.3993697798547517
6,8,sax,0.3652314405456689
6,8,sfa,0.2922725620337658
6,8,spartan,0.45088303367159
7,8,sax,0.3962331305757665
7,8,sfa,0.3199512099434772
7,8,spartan,0.4931902321978946
8,8,sax,0.42158726043765277
8,8,sfa,0.34136035693071815
8,8,spartan,0.522168912764673
9,8,sax,0.4414009715342088
9,8,sfa,0.3562728611243729
9,8,spartan,0.542927955602944
10,8,sax,0.4605090201616113
10,8,sfa,0.36897431198560826
10,8,spartan,0.562545212253897
