a,w,method,tlb
3,2,sax,0.02880836543420925
3,2,sfa,0.07342104864481715
3,2,spartan,0.1245817797852925
4,2,sax,0.027822954995981437
4,2,sfa,0.11556115167612337
4,2,spartan,0.20099886244605286
5,2,sax,0.053049742745684775
5,2,sfa,0.14828719644368413
5,2,spartan,0.2555565970362569
6,2,sax,0.08975500423610862
6,2,sfa,0.17037291808223293
6,2,spartan,0.2913192009629598
7,2,sax,0.10920632312603676
7,2,sfa,0.1865669315480857
7,2,spartan,0.3165617867535568
8,2,sax,0.1190959751603864
8,2,sfa,0.20172132963024816
8,2,spartan,0.3397800998099506
9,2,sax,0.13201830453833294
9,2,sfa,0.2139009307974667
9,2,spartan,0.3602286831986446
10,2,sax,0.14887297643293573
10,2,sfa,0.22366681807394687
10,2,spartan,0.3771997952437444
3,3,sax,0.06399592940938507
3,3,sfa,0.09631827573936919
3,3,spartan,0.15388329187211344
4,3,sax,0.09834513821281268
4,3,sfa,0.14964238969134308
4,3,spartan,0.24384621566759607
5,3,sax,0.1302625217397812
5,3,sfa,0.1886832596314924
5,3,spartan,0.3082418021160927
6,3,sax,0.16100860430685626
6,3,sfa,0.21569386163723075
6,3,spartan,0.3515495720773936
7,3,sax,0.1839967191566829
7,3,sfa,0.23372654771635415
7,3,spartan,0.3789341729239009
8,3,sax,0.20408631808066396
8,3,sfa,0.25085599633796646
8,3,spartan,0.4068217504313161
9,3,sax,0.22490683341049397
9,3,sfa,0.2647286527378025
9,3,spartan,0.4287460786115621
10,3,sax,0.23664133729697306
10,3,sfa,0.2748397542626533
10,3,spartan,0.4474481091204524
3,4,sax,0.0835039703167049
3,4,sfa,0.10817546508205418
3,4,spartan,0.17989318903070664
4,4,sax,0.1453818776997099
4,4,sfa,0.16489393256383336
4,4,spartan,0.27579218271693423
5,4,sax,0.19081118328897106
5,4,sfa,0.20602283431918855
5,4,spartan,0.3434504948392887
6,4,sax,0.21743272591885637
6,4,sfa,0.2353108671149278
6,4,spartan,0.3894578236478619
7,4,sax,0.24218124758704734
7,4,sfa,0.2547405503638417
7,4,spartan,0.41821893834423396
8,4,sax,0.26288784750995325
8,4,sfa,0.2726145829881246
8,4,spartan,0.4471971274619624
9,4,sax,0.278932269906607
9,4,sfa,0.287272899966392
9,4,spartan,0.4710842405360968
10,4,sax,0.2937228985521564
10,4,sfa,0.2984438923859239
10,4,spartan,0.49036737008081416
3,5,sax,0.12753053315781732
3,5,sfa,0.11850276612492398
3,5,spartan,0.1979389609211736
4,5,sax,0.19699126170473305
4,5,sfa,0.1813376965418965
4,5,spartan,0.30028962140049836
5,5,sax,0.2468086275442844
5,5,sfa,0.22480891896661595
5,5,spartan,0.3700053435613048
6,5,sax,0.2811095091488557
6,5,sfa,0.2554247914521915
6,5,spartan,0.41729749721177706
7,5,sax,0.30835088472772376
7,5,sfa,0.27697156075613394
7,5,spartan,0.44705391882158746
8,5,sax,0.33141343706694676
8,5,sfa,0.2957768715521987
8,5,spartan,0.4774658961948079
9,5,sax,0.3534255619285324
9,5,sfa,0.3108813368308994
9,5,spartan,0.5015469161178845
10,5,sax,0.3690342295761612
10,5,sfa,0.3225981843936826
10,5,spartan,0.5219664940553724
3,6,sax,0.1509485127462181
3,6,sfa,0.12803785229381243
3,6,spartan,0.2108518617880003
4,6,sax,0.23311667250964968
4,6,sfa,0.19256885449556624
4,6,spartan,0.31838748762087166
5,6,sax,0.2842717946733489
