a,w,method,tlb
3,2,sax,0.03700075686577421
3,2,sfa,0.07771872153779613
3,2,spartan,0.12738045265594622
4,2,sax,0.031400588952910424
4,2,sfa,0.1355366139004258
4,2,spartan,0.20639527518236261
5,2,sax,0.0691808252498257
5,2,sfa,0.16815766388636677
5,2,spartan,0.2631648791499772
6,2,sax,0.10415557758751763
6,2,sfa,0.1929442807340818
6,2,spartan,0.3017293372696745
7,2,sax,0.1230612872012399
7,2,sfa,0.2163341532825183
7,2,spartan,0.3315972353324957
8,2,sax,0.13755172547677255
8,2,sfa,0.2335960780682802
8,2,spartan,0.35334530142605625
9,2,sax,0.14907509643812705
9,2,sfa,0.24534186049178694
9,2,spartan,0.3713242751289985
10,2,sax,0.16651742156903665
10,2,sfa,0.2546620747702735
10,2,spartan,0.38477046316739666
3,3,sax,0.08615638238609645
3,3,sfa,0.102588011584838
3,3,spartan,0.15076245016960718
4,3,sax,0.12956355145403647
4,3,sfa,0.1707291129569614
4,3,spartan,0.2411952610308176
5,3,sax,0.1609159160761524
5,3,sfa,0.20852071370736494
5,3,spartan,0.3041213767624585
6,3,sax,0.1900583575052749
6,3,sfa,0.2351098920136099
6,3,spartan,0.3456247318121066
7,3,sax,0.2221621448976994
7,3,sfa,0.25902650873052085
7,3,spartan,0.3790972043285359
8,3,sax,0.24040580502859574
8,3,sfa,0.2766282481806759
8,3,spartan,0.4028592074675994
9,3,sax,0.254433795954467
9,3,sfa,0.2893074829085905
9,3,spartan,0.42271459054389693
10,3,sax,0.2768874301032788
10,3,sfa,0.2990060268040533
10,3,spartan,0.43771932627582216
3,4,sax,0.11937400372376707
3,4,sfa,0.11020932108996596
3,4,spartan,0.1680895590810186
4,4,sax,0.1864305420165695
4,4,sfa,0.18089546603893455
4,4,spartan,0.26518106655486656
5,4,sax,0.229156607674292
5,4,sfa,0.2210780068289139
5,4,spartan,0.3321325039996938
6,4,sax,0.260705231046721
6,4,sfa,0.24865773689979168
6,4,spartan,0.37589384109147156
7,4,sax,0.28921397946321903
7,4,sfa,0.2737692079316086
7,4,spartan,0.41194995392091155
8,4,sax,0.309684860079673
8,4,sfa,0.29326993026980014
8,4,spartan,0.4371495551196242
9,4,sax,0.3244539764725072
9,4,sfa,0.3068516451110036
9,4,spartan,0.457019729739802
10,4,sax,0.3427897371328866
10,4,sfa,0.3170018068869016
10,4,spartan,0.4744134321906396
3,5,sax,0.14287753129709915
3,5,sfa,0.12011661556803778
3,5,spartan,0.18297905794372493
4,5,sax,0.20803560705670637
4,5,sfa,0.19443813803410204
4,5,spartan,0.2844844243029212
5,5,sax,0.2579073414746115
5,5,sfa,0.23439671505187962
5,5,spartan,0.35230609067749064
6,5,sax,0.29628982775266877
6,5,sfa,0.2628242772323803
6,5,spartan,0.3979370347273256
7,5,sax,0.3231999964375045
7,5,sfa,0.2886695497180886
7,5,spartan,0.436615498972554
8,5,sax,0.34610724875949944
8,5,sfa,0.309079824293866
8,5,spartan,0.46352609310375814
9,5,sax,0.3648070889920442
9,5,sfa,0.32320033495992595
9,5,spartan,0.4840795075386477
10,5,sax,0.37841222016758363
10,5,sfa,0.33318083446250024
10,5,spartan,0.5021455305710331
3,6,sax,0.15891970478895928
3,6,sfa,0.127813072483692
3,6,spartan,0.1972269143276419
4,6,sax,0.2420901710540373
4,6,sfa,0.20350674575962774
4,6,spartan,0.3025180131213895
5,6,sax,0.2910961078690017
5,6,sfa,0.24439525389309671
5,6,spartan,0.37252097116780525
6,6,sax,0.32841383966160625
6,6,sfa,0.2736037851626421
6,6,spartan,0.4186410148533808
7,6,sax,0.3567944336827026
7,6,sfa,0.30016305984782476
7,6,spartan,0.45852185691182096
8,6,sax,0.3807456502214024
8,6,sfa,0.32109778995962557
8,6,spartan,0.4859630356906408
9,6,sax,0.4007375800924063
9,6,sfa,0.33540089014701824
9,6,spartan,0.5079703446502007
10,6,sax,0.41428642365923024
10,6,sfa,0.3459021071985449
10,6,spartan,0.5266402663594636
3,7,sax,0.16591405891403121
3,7,sfa,0.1348226629655734
3,7,spartan,0.20746713682005588
4,7,sax,0.2571964994912562
4,7,sfa,0.21338995441041433
4,7,spartan,0.3165308834695976
5,7,sax,0.3088159662766829
5,7,sfa,0.2554110745308338
5,7,spartan,0.388071823031099
6,7,sax,0.3486709362818526
6,7,sfa,0.28440388696137364
6,7,spartan,0.4362811654050686
7,7,sax,0.38090810807558956
7,7,sfa,0.31207096768157727
7,7,spartan,0.47731227995088327
8,7,sax,0.4035645512058207
8,7,sfa,0.333567170169586
8,7,spartan,0.505483178422253
9,7,sax,0.4201940194494015
9,7,sfa,0.34806145366231633
9,7,spartan,0.5275836793524211
10,7,sax,0.4369658903001478
10,7,sfa,0.35890963728156466
10,7,spartan,0.5469391588249157
3,8,sax,0.1803952405429055
3,8,sfa,0.13947140824476315
3,8,spartan,0.21825546366027096
4,8,sax,0.2671492994856739
4,8,sfa,0.21936204778258866
4,8,spartan,0.32854613395231286
5,8,sax,0.32743618021255716
5,8,sfa,0.2620824840521511
5,8,spartan,0.4011707614324311
6,8,sax,0.36596057709579316
6,8,sfa,0.2916220049417402
6,8,spartan,0.45088564204853376
7,8,sax,0.3962930238374232
7,8,sfa,0.31969755595352517
7,8,spartan,0.49286318134963963
8,8,sax,0.42193063679455084
8,8,sfa,0.34142729287570456
8,8,spartan,0.5217636612582149
9,8,sax,0.44326371772436607
9,8,sfa,0.35626753979452624
9,8,spartan,0.5441622218058
10,8,sax,0.46081398980995886
10,8,sfa,0.3674860716883111
10,8,spartan,0.5641751608945541
