a,w,method,tlb
3,2,sax,0.003105590062111801
3,2,sfa,0.05039474942877185
3,2,spartan,0.08686792910228726
4,2,sax,0.003105590062111801
4,2,sfa,0.09697042503954272
4,2,spartan,0.20536013647782697
5,2,sax,0.003105590062111801
5,2,sfa,0.12380924004989734
5,2,spartan,0.2458586518850899
6,2,sax,0.003105590062111801
6,2,sfa,0.14139341368764058
6,2,spartan,0.26712445758813885
7,2,sax,0.0031097803606824036
7,2,sfa,0.15845116949903074
7,2,spartan,0.31206398713313876
8,2,sax,0.0039133038177026885
8,2,sfa,0.1679382675573683
8,2,spartan,0.32981883399771317
9,2,sax,0.003108842215652012
9,2,sfa,0.18164581225038942
9,2,spartan,0.34195700172071936
10,2,sax,0.0037477955247261665
10,2,sfa,0.18941754312498243
10,2,spartan,0.3533233570903448
3,3,sax,0.003105590062111801
3,3,sfa,0.04325531940224915
3,3,spartan,0.1402751936148789
4,3,sax,0.003105590062111801
4,3,sfa,0.0838337153038459
4,3,spartan,0.30960488332410113
5,3,sax,0.007958305356780092
5,3,sfa,0.11213207706024944
5,3,spartan,0.3672176172446321
6,3,sax,0.006536466799753742
6,3,sfa,0.1275215261096748
6,3,spartan,0.4015164237168819
7,3,sax,0.0090193489357392
7,3,sfa,0.14548655528470555
7,3,spartan,0.46056274222862975
8,3,sax,0.008759779500897548
8,3,sfa,0.1566868012739633
8,3,spartan,0.48888364775074583
9,3,sax,0.009508287402454149
9,3,sfa,0.1652627553864729
9,3,spartan,0.504889862657008
10,3,sax,0.010625299310602833
10,3,sfa,0.17532719825113977
10,3,spartan,0.5259077319794953
3,4,sax,0.003115847327266481
3,4,sfa,0.0815050042799121
3,4,spartan,0.15552086403672996
4,4,sax,0.005835548002252225
4,4,sfa,0.15198232035166123
4,4,spartan,0.3309102477948862
5,4,sax,0.004393069057619384
5,4,sfa,0.20897394602825498
5,4,spartan,0.3918088683627435
6,4,sax,0.008169590306920235
6,4,sfa,0.24112891659925215
6,4,spartan,0.42952164950645777
7,4,sax,0.006601827319969722
7,4,sfa,0.26874602538612685
7,4,spartan,0.49146526170855676
8,4,sax,0.009515120150444317
8,4,sfa,0.28473241987420533
8,4,spartan,0.5212437631052067
9,4,sax,0.016670210214784226
9,4,sfa,0.30168143887777515
9,4,spartan,0.5398074486738588
10,4,sax,0.008856963242456713
10,4,sfa,0.3188772754769093
10,4,spartan,0.5675385101907915
3,5,sax,0.007210695839084212
3,5,sfa,0.09981477102809247
3,5,spartan,0.17029094499352979
4,5,sax,0.01156879396947166
4,5,sfa,0.2916465800401616
4,5,spartan,0.3501248789935979
5,5,sax,0.01380577144890925
5,5,sfa,0.33084168474056624
5,5,spartan,0.4177527099233535
6,5,sax,0.013625642867351932
6,5,sfa,0.36178683896701164
6,5,spartan,0.46084341731774475
7,5,sax,0.016126936526057515
7,5,sfa,0.42459517459169105
7,5,spartan,0.5246114454924795
8,5,sax,0.016426323407223973
8,5,sfa,0.45847960677463884
8,5,spartan,0.5548804451053433
9,5,sax,0.01757489762576102
9,5,sfa,0.4612754399287244
9,5,spartan,0.5745520073886782
10,5,sax,0.021457610779358066
10,5,sfa,0.4714210321266314
10,5,spartan,0.6022684643083902
3,6,sax,0.01472082840026173
3,6,sfa,0.10166670283816605
3,6,spartan,0.1769122474235888
4,6,sax,0.01205191810108619
4,6,sfa,0.294947412342777
4,6,spartan,0.36022111416217395
5,6,sax,0.01623420218386291
5,6,sfa,0.33514126549949147
5,6,spartan,0.42801714728156465
6,6,sax,0.02171675847827296
6,6,sfa,0.3668084602941714
6,6,spartan,0.4729925571336372
7,6,sax,0.020609805250178644
7,6,sfa,0.4293500764936843
7,6,spartan,0.538249569970573
8,6,sax,0.022544834108436336
8,6,sfa,0.46395234631372756
8,6,spartan,0.5696776903917201
9,6,sax,0.022248043283728116
9,6,sfa,0.467377607399434
9,6,spartan,0.5894172769044086
10,6,sax,0.025500643040674655
10,6,sfa,0.47802479391800773
10,6,spartan,0.6165812391657198
3,7,sax,0.00992478030633638
3,7,sfa,0.12790375877154167
3,7,spartan,0.18131637327148772
4,7,sax,0.013306978030726283
4,7,sfa,0.29740554837222016
4,7,spartan,0.3642941044419537
5,7,sax,0.01704265258102751
5,7,sfa,0.34294641828189754
5,7,spartan,0.43330091110076996
6,7,sax,0.018646060801702904
6,7,sfa,0.37456591954987584
6,7,spartan,0.47867745421201063
7,7,sax,0.02256292456929836
7,7,sfa,0.41921652367070816
7,7,spartan,0.5443291650461929
8,7,sax,0.022745410055719544
8,7,sfa,0.44913211290714156
8,7,spartan,0.5756761322710623
9,7,sax,0.0509624011485871
9,7,sfa,0.4584636018161311
9,7,spartan,0.5960690715714182
10,7,sax,0.027609472410161075
10,7,sfa,0.4770369886513805
10,7,spartan,0.6235938455200248
3,8,sax,0.008758924094303705
3,8,sfa,0.12910687016855416
3,8,spartan,0.186135942034906
4,8,sax,0.014540810960101215
4,8,sfa,0.2988779490583074
4,8,spartan,0.37010684100801283
5,8,sax,0.018832342771449854
5,8,sfa,0.3448211177722049
5,8,spartan,0.44020623629432826
6,8,sax,0.015600789518136657
6,8,sfa,0.37714796621854113
6,8,spartan,0.4860525971514965
7,8,sax,0.01779060519361529
7,8,sfa,0.4218900296843077
7,8,spartan,0.5516575603283296
8,8,sax,0.022268073714488034
8,8,sfa,0.45272232094322934
8,8,spartan,0.5829237103632874
9,8,sax,0.02187167249664472
9,8,sfa,0.4625829807541044
9,8,spartan,0.6039626517677652
10,8,sax,0.0237348354333561
10,8,sfa,0.4807480198588312
10,8,spartan,0.6314168590946917
