a,w,method,tlb
3,2,sax,0.0018552875695732839
3,2,sfa,0.07758058202580262
3,2,spartan,0.21181881387048931
4,2,sax,0.0018552875695732839
4,2,sfa,0.10141662830716629
4,2,spartan,0.290102677395507
5,2,sax,0.0018552875695732839
5,2,sfa,0.13517441155222457
5,2,spartan,0.37641107330868917
6,2,sax,0.0018552875695732839
6,2,sfa,0.15696284954238132
6,2,spartan,0.4173939993669154
7,2,sax,0.0018552875695732839
7,2,sfa,0.1728562353076001
7,2,spartan,0.46356702056616006
8,2,sax,0.0018552875695732839
8,2,sfa,0.17753566574808843
8,2,spartan,0.4935456696163063
9,2,sax,0.0018552875695732839
9,2,sfa,0.2003798417061603
9,2,spartan,0.5210177941105842
10,2,sax,0.0018552875695732839
10,2,sfa,0.2004668074755849
10,2,spartan,0.5403336214196358
3,3,sax,0.0018552875695732839
3,3,sfa,0.07380219620454129
3,3,spartan,0.22794851199724656
4,3,sax,0.001861819793187301
4,3,sfa,0.11713839649773922
4,3,spartan,0.31597673666210596
5,3,sax,0.0018552875695732839
5,3,sfa,0.15763850918096234
5,3,spartan,0.4048970901313441
6,3,sax,0.002310957555014455
6,3,sfa,0.16898120611389364
6,3,spartan,0.44869276831963667
7,3,sax,0.002192468727018686
7,3,sfa,0.1988594482266227
7,3,spartan,0.4964562192585428
8,3,sax,0.004628073448080842
8,3,sfa,0.2058539753846388
8,3,spartan,0.5266884484737692
9,3,sax,0.005794219377229275
9,3,sfa,0.22047312181618678
9,3,spartan,0.5545263115471623
10,3,sax,0.004838352495378141
10,3,sfa,0.2281167069179573
10,3,spartan,0.5736999309756529
3,4,sax,0.0018552875695732839
3,4,sfa,0.08345180344718439
3,4,spartan,0.23594549990296532
4,4,sax,0.0018552875695732839
4,4,sfa,0.13262221008815864
4,4,spartan,0.3261619712956701
5,4,sax,0.001875821277452898
5,4,sfa,0.1770871124739551
5,4,spartan,0.4160483767359073
6,4,sax,0.0018552875695732839
6,4,sfa,0.19130611694613162
6,4,spartan,0.4611785261339638
7,4,sax,0.0026801932200069887
7,4,sfa,0.2215419859422266
7,4,spartan,0.5094424302459303
8,4,sax,0.0037863052347446077
8,4,sfa,0.23053672894141264
8,4,spartan,0.5404419802418388
9,4,sax,0.0033635373510930025
9,4,sfa,0.24687905415483472
9,4,spartan,0.5689067284539333
10,4,sax,0.005294353821284279
10,4,sfa,0.25570987910669096
10,4,spartan,0.5885635713125876
3,5,sax,0.0018552875695732839
3,5,sfa,0.0866589191714012
3,5,spartan,0.23778831524907423
4,5,sax,0.0018552875695732839
4,5,sfa,0.13075114708130836
4,5,spartan,0.32817960001740953
5,5,sax,0.0018620633885460102
5,5,sfa,0.17137472485627694
5,5,spartan,0.41921064155233995
6,5,sax,0.0018552875695732839
6,5,sfa,0.19439989237003238
6,5,spartan,0.4658368609629922
7,5,sax,0.002484322311902305
7,5,sfa,0.22182790840458988
7,5,spartan,0.5148909912134675
8,5,sax,0.00792934544213492
8,5,sfa,0.2363738907119096
8,5,spartan,0.5460298905428155
9,5,sax,0.006807184193366387
9,5,sfa,0.25128077944162586
9,5,spartan,0.5745557674613084
10,5,sax,0.04509979746666034
10,5,sfa,0.2588965180435165
10,5,spartan,0.5943724663676834
3,6,sax,0.0018552875695732839
3,6,sfa,0.09690306558941547
3,6,spartan,0.249819354064917
4,6,sax,0.0026785896274423063
4,6,sfa,0.14391661606009507
4,6,spartan,0.3431207774407984
5,6,sax,0.0037094571130376723
5,6,sfa,0.18793597634872883
5,6,spartan,0.4348176811331963
6,6,sax,0.006073120368329189
6,6,sfa,0.21406161698190268
6,6,spartan,0.4853832774951165
7,6,sax,0.011186830764178413
7,6,sfa,0.24143713740744413
7,6,spartan,0.5354805709726507
8,6,sax,0.01791188089079717
8,6,sfa,0.2567638737694577
8,6,spartan,0.5667529414752391
9,6,sax,0.02179678287814036
9,6,sfa,0.27445090832996333
9,6,spartan,0.5962525443412904
10,6,sax,0.02891816299949345
10,6,sfa,0.28228868638452426
10,6,spartan,0.6151872245484931
3,7,sax,0.0018552875695732839
3,7,sfa,0.1309713209788223
3,7,spartan,0.2579225069216774
4,7,sax,0.0023737070871048906
4,7,sfa,0.18775529109900935
4,7,spartan,0.35386534812696546
5,7,sax,0.01059293895892959
5,7,sfa,0.24128984109587964
