a,w,method,tlb
3,2,sax,0.0018552875695732839
3,2,sfa,0.07758058202580263
3,2,spartan,0.21181881387048931
4,2,sax,0.0018552875695732839
4,2,sfa,0.10141662830716629
4,2,spartan,0.29010267739550705
5,2,sax,0.0018552875695732839
5,2,sfa,0.13517441155222462
5,2,spartan,0.37641107330868917
6,2,sax,0.0018552875695732839
6,2,sfa,0.1569628495423813
6,2,spartan,0.4173939993669154
7,2,sax,0.0018552875695732839
7,2,sfa,0.17285623530760016
7,2,spartan,0.46356702056616
8,2,sax,0.0018552875695732839
8,2,sfa,0.17753566574808843
8,2,spartan,0.4935456696163062
9,2,sax,0.0018552875695732839
9,2,sfa,0.2003798417061603
9,2,spartan,0.5210177941105844
10,2,sax,0.0018552875695732839
10,2,sfa,0.20046680747558493
10,2,spartan,0.5403336214196358
3,3,sax,0.0018552875695732839
3,3,sfa,0.0738021962045413
3,3,spartan,0.22794851199724656
4,3,sax,0.001861819793187301
4,3,sfa,0.11713839649773919
4,3,spartan,0.31597673666210596
5,3,sax,0.0018552875695732839
5,3,sfa,0.1576385091809624
5,3,spartan,0.40489709013134406
6,3,sax,0.002310957555014455
6,3,sfa,0.16898120611389364
6,3,spartan,0.44869276831963656
7,3,sax,0.0021924687270186856
7,3,sfa,0.19885944822662271
7,3,spartan,0.4964562192585427
8,3,sax,0.004628073448080843
8,3,sfa,0.2058539753846387
8,3,spartan,0.526688448473769
9,3,sax,0.005794219377229274
9,3,sfa,0.22047312181618675
9,3,spartan,0.5545263115471625
10,3,sax,0.004838352495378142
10,3,sfa,0.22811670691795727
10,3,spartan,0.5736999309756527
3,4,sax,0.0018552875695732839
3,4,sfa,0.0834518034471844
3,4,spartan,0.23594549990296543
4,4,sax,0.0018552875695732839
4,4,sfa,0.13262221008815858
4,4,spartan,0.32616197129567015
5,4,sax,0.0018758212774528976
5,4,sfa,0.17708711247395506
5,4,spartan,0.41604837673590717
6,4,sax,0.0018552875695732839
6,4,sfa,0.1913061169461316
6,4,spartan,0.4611785261339638
7,4,sax,0.0026801932200069887
7,4,sfa,0.22154198594222665
7,4,spartan,0.5094424302459304
8,4,sax,0.0037863052347446077
8,4,sfa,0.23053672894141258
8,4,spartan,0.5404419802418389
9,4,sax,0.0033635373510930025
9,4,sfa,0.2468790541548346
9,4,spartan,0.5689067284539335
10,4,sax,0.00529435382128428
10,4,sfa,0.255709879106691
10,4,spartan,0.5885635713125875
3,5,sax,0.0018552875695732839
3,5,sfa,0.08665891917140119
3,5,spartan,0.23778831524907418
