a,w,method,tlb
3,2,sax,0.005
3,2,sfa,0.04635939190586911
3,2,spartan,0.0925667260148744
4,2,sax,0.005238252434465626
4,2,sfa,0.11727715558355549
4,2,spartan,0.22074687451113165
5,2,sax,0.007179591128966644
5,2,sfa,0.17131832682439918
5,2,spartan,0.2861690516074256
6,2,sax,0.006445506893961451
6,2,sfa,0.18635803530837694
6,2,spartan,0.32211216476046967
7,2,sax,0.020821890463736684
7,2,sfa,0.201070876443119
7,2,spartan,0.3718983495642938
8,2,sax,0.017997623176930027
8,2,sfa,0.23033912853332622
8,2,spartan,0.40256452009570376
9,2,sax,0.03176488871345659
9,2,sfa,0.24189370631583557
9,2,spartan,0.42801328594497806
10,2,sax,0.042072119928546155
10,2,sfa,0.2579088628425673
10,2,spartan,0.43805612191394894
3,3,sax,0.03612359949303087
3,3,sfa,0.06407342397422806
3,3,spartan,0.12224382075813933
4,3,sax,0.07050818181916049
4,3,sfa,0.14921807572392626
4,3,spartan,0.26835780673449566
5,3,sax,0.11105080102022134
5,3,sfa,0.19042500815710045
5,3,spartan,0.3464666089119195
6,3,sax,0.1333186454515544
6,3,sfa,0.21202006332589576
6,3,spartan,0.38533383698652085
7,3,sax,0.18399066010519657
7,3,sfa,0.2388436441540057
7,3,spartan,0.43832953294790494
8,3,sax,0.20143574803862221
8,3,sfa,0.26003293367166613
8,3,spartan,0.4735263135262814
9,3,sax,0.209455032879618
9,3,sfa,0.27124161622940773
9,3,spartan,0.5006132905157682
10,3,sax,0.23501951696419415
10,3,sfa,0.29047732707471435
10,3,spartan,0.5138636245147646
3,4,sax,0.027699547122923683
3,4,sfa,0.0776234297892576
3,4,spartan,0.14025940207811724
4,4,sax,0.08173829403144892
4,4,sfa,0.16838101653551713
4,4,spartan,0.2905833561599799
5,4,sax,0.12483393609562222
5,4,sfa,0.21322182384164107
5,4,spartan,0.3722524035503089
6,4,sax,0.15841271449354033
6,4,sfa,0.25024303078144366
6,4,spartan,0.41467713244322957
7,4,sax,0.2083632257057884
7,4,sfa,0.28109374800998294
7,4,spartan,0.466962638129022
8,4,sax,0.2321839365894169
8,4,sfa,0.3019899486789389
8,4,spartan,0.5042975022990005
9,4,sax,0.266704823674665
9,4,sfa,0.3133635808799791
9,4,spartan,0.5318435763224377
10,4,sax,0.27660698852640636
10,4,sfa,0.33249152262322873
10,4,spartan,0.5453470387414245
3,5,sax,0.12044729289948215
3,5,sfa,0.08870614348859948
3,5,spartan,0.15474040461484578
4,5,sax,0.17489756828063227
4,5,sfa,0.1859880190245069
4,5,spartan,0.3119795133294158
5,5,sax,0.19360469320206547
5,5,sfa,0.24407995460686147
5,5,spartan,0.39789671735460935
6,5,sax,0.24519947195626887
6,5,sfa,0.3006977392910606
6,5,spartan,0.44532684354304347
7,5,sax,0.284621785281633
7,5,sfa,0.32637250877736357
7,5,spartan,0.4974768452679643
8,5,sax,0.3177911348328378
8,5,sfa,0.35414228372809237
8,5,spartan,0.5381423938176038
9,5,sax,0.32576834063528876
9,5,sfa,0.37510689778452316
9,5,spartan,0.5660211494540105
10,5,sax,0.35843176147941397
10,5,sfa,0.3897959500801336
10,5,spartan,0.5802054398617061
3,6,sax,0.06730311621643836
3,6,sfa,0.10625331704511196
3,6,spartan,0.16378448111175375
4,6,sax,0.15656411391149722
4,6,sfa,0.20712800995299577
4,6,spartan,0.32303080737853734
5,6,sax,0.21362786572185155
5,6,sfa,0.26806992385053374
5,6,spartan,0.410719639085847
6,6,sax,0.2602903102393374
6,6,sfa,0.32429496990774886
6,6,spartan,0.4592790311370745
7,6,sax,0.3002905437179877
7,6,sfa,0.35013754189076923
7,6,spartan,0.5113661227551648
8,6,sax,0.33438893747379383
8,6,sfa,0.37873102601448594
8,6,spartan,0.5513058433505544
9,6,sax,0.3601124320231691
9,6,sfa,0.4010803824462993
9,6,spartan,0.5798975519151076
10,6,sax,0.39026296532732246
10,6,sfa,0.4177303324586661
10,6,spartan,0.5963234328469623
3,7,sax,0.13238784425520553
3,7,sfa,0.11154239821682027
3,7,spartan,0.16997173554323872
4,7,sax,0.19288126743346756
4,7,sfa,0.22333510373609833
4,7,spartan,0.33171035188905423
5,7,sax,0.24151336854191677
5,7,sfa,0.28534938088952794
5,7,spartan,0.4209546511374856
6,7,sax,0.29822343287371056
6,7,sfa,0.32896365741120864
6,7,spartan,0.46943816913955955
7,7,sax,0.3476015105836059
7,7,sfa,0.3599910108864841
7,7,spartan,0.5217652467311963
8,7,sax,0.3686658428234503
8,7,sfa,0.38627000575083814
8,7,spartan,0.5624134489702569
9,7,sax,0.3878744247593647
9,7,sfa,0.40742543185098734
9,7,spartan,0.5910889501898976
10,7,sax,0.41815542097125497
10,7,sfa,0.4261967184825931
10,7,spartan,0.6082192984220395
3,8,sax,0.11905766447845464
3,8,sfa,0.1169079750265128
3,8,spartan,0.17785711750140445
4,8,sax,0.16858016840562487
4,8,sfa,0.22883515457503062
4,8,spartan,0.34089206420151835
5,8,sax,0.23709280891593626
5,8,sfa,0.29167172255140605
5,8,spartan,0.43139656346310484
6,8,sax,0.28808150285587986
6,8,sfa,0.3363368926078276
6,8,spartan,0.48054766789514397
7,8,sax,0.3282192657188123
7,8,sfa,0.36755101597035644
7,8,spartan,0.5328641363041287
8,8,sax,0.35836455134841666
8,8,sfa,0.3941191780982093
8,8,spartan,0.5733262930867977
9,8,sax,0.3872167664876934
9,8,sfa,0.41494368714794444
9,8,spartan,0.6024022653947937
10,8,sax,0.41088981159432686
10,8,sfa,0.43409397762301677
10,8,spartan,0.6194911769308941
