a,w,method,tlb
3,2,sax,0.0011312217194570137
3,2,sfa,0.03139049896485068
3,2,spartan,0.22624676163008228
4,2,sax,0.0011479141344905113
4,2,sfa,0.05088141140998119
4,2,spartan,0.3198164593721516
5,2,sax,0.0011312217194570137
5,2,sfa,0.06525902076493488
5,2,spartan,0.38386146576865837
6,2,sax,0.0020728074876473737
6,2,sfa,0.07687088687988386
6,2,spartan,0.43009429619375544
7,2,sax,0.0023107026111051704
7,2,sfa,0.08551574214898375
7,2,spartan,0.47028961074889236
8,2,sax,0.0048168356187320875
8,2,sfa,0.09247664578098157
8,2,spartan,0.4947337296067692
9,2,sax,0.006401264257740308
9,2,sfa,0.09797184810856491
9,2,spartan,0.5167959406845646
10,2,sax,0.010057867095726505
10,2,sfa,0.10106146936031524
10,2,spartan,0.5366121358853589
3,3,sax,0.001205131175904141
3,3,sfa,0.03643934902218823
3,3,spartan,0.25572056846876995
4,3,sax,0.0011312217194570137
4,3,sfa,0.0600165388905299
4,3,spartan,0.3617926591401241
5,3,sax,0.004599294511022053
5,3,sfa,0.07631915419751643
5,3,spartan,0.43152962764643704
6,3,sax,0.010247228711158721
6,3,sfa,0.08838508139189705
6,3,spartan,0.4809660199407033
7,3,sax,0.020261842982533435
7,3,sfa,0.09722123171209084
7,3,spartan,0.5236934918773856
8,3,sax,0.023342172273201803
8,3,sfa,0.10518332310505553
8,3,spartan,0.551737768786746
9,3,sax,0.0349421227838232
9,3,sfa,0.11112076915123476
9,3,spartan,0.5747870796629236
10,3,sax,0.04546821505296151
10,3,sfa,0.11524610563461246
10,3,spartan,0.597946206955659
3,4,sax,0.0013077741655143763
3,4,sfa,0.045286191303431686
3,4,spartan,0.28699226235867253
4,4,sax,0.0011312217194570137
4,4,sfa,0.07403311535634137
4,4,spartan,0.40604247884570793
5,4,sax,0.008697026578714337
5,4,sfa,0.09264209346132794
5,4,spartan,0.4858953550754478
6,4,sax,0.013493046053673042
6,4,sfa,0.10727195551826313
6,4,spartan,0.5373700200521566
7,4,sax,0.025191165597255732
7,4,sfa,0.11715170791703619
7,4,spartan,0.5822998309236529
8,4,sax,0.027945344359446657
8,4,sfa,0.1254276456609936
8,4,spartan,0.6106523304466835
9,4,sax,0.04495560134499168
9,4,sfa,0.13212733843375135
9,4,spartan,0.6353490672088264
10,4,sax,0.06443611872723493
10,4,sfa,0.13703341003730052
10,4,spartan,0.6588192666930422
3,5,sax,0.007306760918015982
3,5,sfa,0.05412667889023453
3,5,spartan,0.30157963313516106
4,5,sax,0.00830175771158236
4,5,sfa,0.0866450036834481
4,5,spartan,0.42591220650333383
5,5,sax,0.04012619783782278
5,5,sfa,0.10821850701371899
5,5,spartan,0.5079028328933131
6,5,sax,0.04801998338866093
6,5,sfa,0.12439392417608913
6,5,spartan,0.5601396113531736
7,5,sax,0.07730206283218263
7,5,sfa,0.13621304880494767
7,5,spartan,0.6067001357260031
8,5,sax,0.09796256588180496
8,5,sfa,0.14532022296437128
8,5,spartan,0.6352838424110858
9,5,sax,0.1085700061665097
9,5,sfa,0.1530936490236044
9,5,spartan,0.6610555420067037
10,5,sax,0.13254502446251243
10,5,sfa,0.15878816478581903
10,5,spartan,0.6856098204606009
3,6,sax,0.0014031962591272871
3,6,sfa,0.059010492128775335
3,6,spartan,0.31732176596899914
4,6,sax,0.004622583988423947
4,6,sfa,0.09243015859833942
4,6,spartan,0.4437891820961197
5,6,sax,0.01052324300974898
5,6,sfa,0.11425754428316208
5,6,spartan,0.5278585185232961
6,6,sax,0.017896730931817584
6,6,sfa,0.13103916701638368
6,6,spartan,0.5801661452606713
7,6,sax,0.03356479478818599
7,6,sfa,0.14325787813693994
7,6,spartan,0.6269847609764524
8,6,sax,0.054047392054791706
8,6,sfa,0.15240811243836944
8,6,spartan,0.6562002603347911
9,6,sax,0.059292056383038534
9,6,sfa,0.16029161518919466
9,6,spartan,0.6827965263651506
10,6,sax,0.07474267882169
10,6,sfa,0.1661435474134611
10,6,spartan,0.7072574033787661
3,7,sax,0.010485713880314914
3,7,sfa,0.06748750508558699
3,7,spartan,0.32657346546242305
4,7,sax,0.0637072206679107
4,7,sfa,0.10586141498506507
4,7,spartan,0.45409626127684877
5,7,sax,0.08981111273766319
5,7,sfa,0.1312709284810876
5,7,spartan,0.5390539622013493
6,7,sax,0.1063158373711669
6,7,sfa,0.14891997290740816
6,7,spartan,0.5924881967304294
7,7,sax,0.12945774558690692
7,7,sfa,0.16195728573023965
7,7,spartan,0.6399933359759893
8,7,sax,0.15558439826891704
8,7,sfa,0.17283684564583573
8,7,spartan,0.6693018220685976
9,7,sax,0.1721379199769074
9,7,sfa,0.18128102875622318
9,7,spartan,0.696391934212755
10,7,sax,0.19753101836221743
10,7,sfa,0.18830054232747187
10,7,spartan,0.7214693915691567
3,8,sax,0.00187170600590388
3,8,sfa,0.06988637331766447
3,8,spartan,0.3319896027720619
4,8,sax,0.009031622992517604
4,8,sfa,0.10885081410581117
4,8,spartan,0.4607653096929755
5,8,sax,0.024297488473142954
5,8,sfa,0.13447543316455496
5,8,spartan,0.546392586985235
6,8,sax,0.03432315783976494
6,8,sfa,0.15277153188113457
6,8,spartan,0.6004324783252721
7,8,sax,0.06566261883167034
7,8,sfa,0.16615533023993756
7,8,spartan,0.6483680593971063
8,8,sax,0.08069364803296941
8,8,sfa,0.1772581954441627
8,8,spartan,0.6778817467120266
9,8,sax,0.09599565620803181
9,8,sfa,0.18591296420680142
9,8,spartan,0.7051878525363923
10,8,sax,0.11089781453069515
10,8,sfa,0.19321011361859405
10,8,spartan,0.7303063157365765
