a,w,method,tlb
3,2,sax,0.14949062753269474
3,2,sfa,0.12563523616237476
3,2,spartan,0.17799427634342319
4,2,sax,0.18634690372730278
4,2,sfa,0.2068913513106269
4,2,spartan,0.28273298747462766
5,2,sax,0.1586070586807399
5,2,sfa,0.24710263741334504
5,2,spartan,0.3499567008705813
6,2,sax,0.19635812559672303
6,2,sfa,0.28225155666390006
6,2,spartan,0.40051010545707905
7,2,sax,0.2512861104871887
7,2,sfa,0.3088218874053398
7,2,spartan,0.43400834860454546
8,2,sax,0.2767783855853114
8,2,sfa,0.32650865657604866
8,2,spartan,0.46424896155600964
9,2,sax,0.28517759457510256
9,2,sfa,0.34172824300644494
9,2,spartan,0.4861946268669892
10,2,sax,0.2911435614610378
10,2,sfa,0.3557354888245546
10,2,spartan,0.5058847617174169
3,3,sax,0.15080304575954775
3,3,sfa,0.1301793451136777
3,3,spartan,0.2170500633021945
4,3,sax,0.2211480338627139
4,3,sfa,0.20248681073569838
4,3,spartan,0.3423927336594512
5,3,sax,0.26705050587923634
5,3,sfa,0.24463310339447625
5,3,spartan,0.42129694546775565
6,3,sax,0.3070414605970834
6,3,sfa,0.2799781109356598
6,3,spartan,0.47829822471074773
7,3,sax,0.3373622478153945
7,3,sfa,0.3049794474441425
7,3,spartan,0.5132244021495934
8,3,sax,0.3534020547094011
8,3,sfa,0.3212495797211665
8,3,spartan,0.5484120766457719
9,3,sax,0.36863260257455066
9,3,sfa,0.3367203486770878
9,3,spartan,0.5715710400563649
10,3,sax,0.38368660020004897
10,3,sfa,0.348484792480278
10,3,spartan,0.5942892482021949
3,4,sax,0.1637650621246908
3,4,sfa,0.14416213937766514
3,4,spartan,0.23724120186205197
4,4,sax,0.2401004113036623
4,4,sfa,0.22279232122221246
4,4,spartan,0.37072872602641865
5,4,sax,0.2802503684797261
5,4,sfa,0.268373750892821
5,4,spartan,0.45224294417089683
6,4,sax,0.32211456900137675
6,4,sfa,0.30656215439932955
6,4,spartan,0.5105375934997601
7,4,sax,0.3615109300647828
7,4,sfa,0.332857198010596
7,4,spartan,0.5476869609275541
8,4,sax,0.38095470054592456
8,4,sfa,0.35068858042628365
8,4,spartan,0.584636455035139
9,4,sax,0.39472075396906714
9,4,sfa,0.3673916991186283
9,4,spartan,0.6096840043927498
10,4,sax,0.4165598451799707
10,4,sfa,0.3795582367709642
10,4,spartan,0.6336688249947294
3,5,sax,0.18707747780320774
3,5,sfa,0.15405150969704728
3,5,spartan,0.2588046544947196
4,5,sax,0.2719970265688843
4,5,sfa,0.2459713175153448
4,5,spartan,0.39916472396746216
5,5,sax,0.3164362134600087
5,5,sfa,0.29182304697462913
5,5,spartan,0.48223227833682814
6,5,sax,0.36176977027308915
6,5,sfa,0.3323557516852455
6,5,spartan,0.5429124231822654
7,5,sax,0.39675923003980196
7,5,sfa,0.3607301223629946
7,5,spartan,0.5825668296431241
8,5,sax,0.41923950260819526
8,5,sfa,0.38024477046034294
8,5,spartan,0.6200826644579406
9,5,sax,0.44010492252391115
9,5,sfa,0.3985563386474124
9,5,spartan,0.6457014509813168
10,5,sax,0.46063439849133153
10,5,sfa,0.4123813862525579
10,5,spartan,0.6709603399104195
3,6,sax,0.20117179223326817
3,6,sfa,0.16884462210915566
3,6,spartan,0.27139569297780547
4,6,sax,0.2918669239051279
4,6,sfa,0.264750478444842
4,6,spartan,0.4137805426577303
5,6,sax,0.3418006419884928
5,6,sfa,0.31245103918514067
5,6,spartan,0.4975419422502536
6,6,sax,0.3903859987449248
6,6,sfa,0.3552246127398185
6,6,spartan,0.5600892499166897
7,6,sax,0.43291929243657873
7,6,sfa,0.38419094364883966
7,6,spartan,0.5995971981830942
8,6,sax,0.4589985893462327
8,6,sfa,0.4052735145146452
8,6,spartan,0.6375601983780718
9,6,sax,0.4842221205969887
9,6,sfa,0.4242301887494135
9,6,spartan,0.6640562493025763
10,6,sax,0.5045518246200716
10,6,sfa,0.438536237182859
10,6,spartan,0.6896686474672334
3,7,sax,0.19509360875433393
3,7,sfa,0.17832320443366015
3,7,spartan,0.27907503215833807
4,7,sax,0.28965592407029306
4,7,sfa,0.2744975350495041
4,7,spartan,0.42275310802945554
5,7,sax,0.3360092820309437
5,7,sfa,0.32503951985233315
5,7,spartan,0.5069417083777477
6,7,sax,0.38510090068715724
6,7,sfa,0.36871162076500863
6,7,spartan,0.5700204448923858
7,7,sax,0.43204584863682205
7,7,sfa,0.39799901516468233
7,7,spartan,0.6097752129543125
8,7,sax,0.45855977464876535
8,7,sfa,0.4183044918734912
8,7,spartan,0.6480309768058792
9,7,sax,0.4760195913907882
9,7,sfa,0.43766885460336
9,7,spartan,0.6751988112042293
10,7,sax,0.49751763913691854
10,7,sfa,0.45238705904757287
10,7,spartan,0.701158188701672
3,8,sax,0.20826938192473884
3,8,sfa,0.18848973696503663
3,8,spartan,0.2838693787248897
4,8,sax,0.3059499255121805
4,8,sfa,0.2897826185134076
4,8,spartan,0.4280072423126342
5,8,sax,0.3566586175497491
5,8,sfa,0.3436773292726275
5,8,spartan,0.5124058576213308
6,8,sax,0.41026393275613215
6,8,sfa,0.38848879486423443
6,8,spartan,0.5755363686431914
7,8,sax,0.4491342614249363
7,8,sfa,0.41835414381052166
7,8,spartan,0.6160085605326241
8,8,sax,0.47636447503962737
8,8,sfa,0.4394664302204489
8,8,spartan,0.6542229387013628
9,8,sax,0.49516160141408344
9,8,sfa,0.4593344239845332
9,8,spartan,0.6815642635734417
10,8,sax,0.5199465984236753
10,8,sfa,0.4746676258272242
10,8,spartan,0.7077841055392295
