a,w,method,tlb
3,2,sax,0.09178711048712374
3,2,sfa,0.08259485968482601
3,2,spartan,0.13613277193330012
4,2,sax,0.13008093279885166
4,2,sfa,0.1436191804235299
4,2,spartan,0.22825417159925845
5,2,sax,0.12496554156443658
5,2,sfa,0.18650848974693607
5,2,spartan,0.29239857445879114
6,2,sax,0.14751140101728327
6,2,sfa,0.23460818446098014
6,2,spartan,0.3560278726645885
7,2,sax,0.19106509306629899
7,2,sfa,0.26161264667368456
7,2,spartan,0.40069793006181575
8,2,sax,0.21732897333264298
8,2,sfa,0.2806533709427673
8,2,spartan,0.42496433122530164
9,2,sax,0.2380686851374662
9,2,sfa,0.2946847573515615
9,2,spartan,0.4496387804712594
10,2,sax,0.2411299052994342
10,2,sfa,0.3055886100671507
10,2,spartan,0.46563408985914373
3,3,sax,0.11217962447830872
3,3,sfa,0.08897065040798961
3,3,spartan,0.16778294724018664
4,3,sax,0.1868058101215652
4,3,sfa,0.14894831762030636
4,3,spartan,0.2782463560004016
5,3,sax,0.23500930212463786
5,3,sfa,0.18869255031743506
5,3,spartan,0.3507018799593196
6,3,sax,0.28245145472270367
6,3,sfa,0.23007771496880566
6,3,spartan,0.4189409415243198
7,3,sax,0.31313404889137303
7,3,sfa,0.2558486232681327
7,3,spartan,0.4688391901819346
8,3,sax,0.3347364951954649
8,3,sfa,0.27146641103597646
8,3,spartan,0.496598088694184
9,3,sax,0.34510026676064015
9,3,sfa,0.28627377265512527
9,3,spartan,0.5223398767372821
10,3,sax,0.3570157622265898
10,3,sfa,0.2972571286791553
10,3,spartan,0.5401391305551952
3,4,sax,0.12831450888822474
3,4,sfa,0.10794472929271107
3,4,spartan,0.18924731534692207
4,4,sax,0.199699718338717
4,4,sfa,0.1788895733125891
4,4,spartan,0.3097376324087481
5,4,sax,0.25178763338928883
5,4,sfa,0.22474299103458695
5,4,spartan,0.3864579636789952
6,4,sax,0.2961184739506854
6,4,sfa,0.26899332840274637
6,4,spartan,0.4571820367034945
7,4,sax,0.332238195884738
7,4,sfa,0.29796679994668057
7,4,spartan,0.509957925629629
8,4,sax,0.3557238441382762
8,4,sfa,0.31600137051114263
8,4,spartan,0.5391369598028672
9,4,sax,0.373729028084919
9,4,sfa,0.33028198472034653
9,4,spartan,0.567431940270859
10,4,sax,0.39016257982414226
10,4,sfa,0.34327119422055064
10,4,spartan,0.5861753186755964
3,5,sax,0.14297999952814022
3,5,sfa,0.11716662600880591
3,5,spartan,0.20697634182580538
4,5,sax,0.22750358705031887
4,5,sfa,0.19191263124251534
4,5,spartan,0.33345610217456884
5,5,sax,0.2750135443164925
5,5,sfa,0.24021760545611504
5,5,spartan,0.41245035701275773
6,5,sax,0.3207894353925538
6,5,sfa,0.29068363177134404
6,5,spartan,0.4852486394556183
7,5,sax,0.35506481001077506
7,5,sfa,0.32102040423211703
7,5,spartan,0.5394639270431182
8,5,sax,0.3792849950299952
8,5,sfa,0.3415671089249614
8,5,spartan,0.5705243164620712
9,5,sax,0.39978106085126947
9,5,sfa,0.3578051804719721
9,5,spartan,0.5991212471959969
10,5,sax,0.418561572200184
10,5,sfa,0.3689011528010241
10,5,spartan,0.6188412945258679
3,6,sax,0.16453120504018948
3,6,sfa,0.13073954903649243
3,6,spartan,0.21928113366465513
4,6,sax,0.26480887141206194
4,6,sfa,0.2114109296313893
4,6,spartan,0.34861646236129923
5,6,sax,0.320916491996778
5,6,sfa,0.2619784345262075
5,6,spartan,0.4302015002000695
6,6,sax,0.37307702295113954
6,6,sfa,0.3140728648035317
6,6,spartan,0.5041084596983603
7,6,sax,0.4088706656403111
7,6,sfa,0.3452859812329018
7,6,spartan,0.5595252379800127
8,6,sax,0.43841198762841144
8,6,sfa,0.36687955710660797
8,6,spartan,0.5914474851559836
9,6,sax,0.4626427214589705
9,6,sfa,0.38392270504833254
9,6,spartan,0.6220330373949852
10,6,sax,0.48342750787373495
10,6,sfa,0.3957024939529988
10,6,spartan,0.6422890627409926
3,7,sax,0.15227416438057084
3,7,sfa,0.13559716592634335
3,7,spartan,0.2251265603952464
4,7,sax,0.24791663328256006
4,7,sfa,0.21565098436796012
4,7,spartan,0.35577920529623375
5,7,sax,0.30678029378096683
5,7,sfa,0.2683197104954263
5,7,spartan,0.4389513023678403
6,7,sax,0.35804863957657806
6,7,sfa,0.3223909842776118
6,7,spartan,0.5132459130308703
7,7,sax,0.3973932311458387
7,7,sfa,0.35292241152447934
7,7,spartan,0.5694303094110478
8,7,sax,0.42146552308633134
8,7,sfa,0.37510081215418173
8,7,spartan,0.6028360000160097
9,7,sax,0.44434300978112495
9,7,sfa,0.3931059164492177
9,7,spartan,0.6341145789596808
10,7,sax,0.4667261588049582
10,7,sfa,0.4063332370107909
10,7,spartan,0.655331329920134
3,8,sax,0.1654174427017545
3,8,sfa,0.14479382651189066
3,8,spartan,0.23029591848461736
4,8,sax,0.2693348943631629
4,8,sfa,0.2310008650600279
4,8,spartan,0.3613748937914023
5,8,sax,0.32599463884593843
5,8,sfa,0.2880639540273428
5,8,spartan,0.44506810323509066
6,8,sax,0.3755285619390142
6,8,sfa,0.34280863438525655
6,8,spartan,0.519979227294266
7,8,sax,0.41590422314986336
7,8,sfa,0.374303128474101
7,8,spartan,0.5759959794287526
8,8,sax,0.44374329091387826
8,8,sfa,0.3966885519648168
8,8,spartan,0.6101524195934837
9,8,sax,0.4649104345483191
9,8,sfa,0.4155079243641234
9,8,spartan,0.6415465543024468
10,8,sax,0.4874154738299808
10,8,sfa,0.4292510955359751
10,8,spartan,0.6629232380782725
