a,w,method,tlb
3,2,sax,0.0021691973969631237
3,2,sfa,0.012876232830596468
3,2,spartan,0.025303514440530177
4,2,sax,0.0021691973969631237
4,2,sfa,0.01941304972792572
4,2,spartan,0.04091714656653459
5,2,sax,0.0021691973969631237
5,2,sfa,0.02439074374501135
5,2,spartan,0.05050478038983855
6,2,sax,0.0021691973969631237
6,2,sfa,0.02904431308614926
6,2,spartan,0.0595987487970515
7,2,sax,0.002180921625305277
7,2,sfa,0.031858520186872206
7,2,spartan,0.06835294057851597
8,2,sax,0.0021691973969631237
8,2,sfa,0.03441808887460146
8,2,spartan,0.07218868914224787
9,2,sax,0.0022514742095325344
9,2,sfa,0.03596274869861781
9,2,spartan,0.07580749753684249
10,2,sax,0.0030544282264141024
10,2,sfa,0.037260918322486
10,2,spartan,0.07881559770361825
3,3,sax,0.0021691973969631237
3,3,sfa,0.016825473610798607
3,3,spartan,0.03442896155534968
4,3,sax,0.0021691973969631237
4,3,sfa,0.02524693456500934
4,3,spartan,0.05525062450227468
5,3,sax,0.0021958055207558775
5,3,sfa,0.031165297892055674
5,3,spartan,0.06919095412620796
6,3,sax,0.0021691973969631237
6,3,sfa,0.03703522287145081
6,3,spartan,0.0787526927032569
7,3,sax,0.002459836011220687
7,3,sfa,0.04036643121404423
7,3,spartan,0.08670520659207101
8,3,sax,0.003385611011876697
8,3,sfa,0.04358023826431541
8,3,spartan,0.09146921179013545
9,3,sax,0.0037112162692241354
9,3,sfa,0.045266064829330634
9,3,spartan,0.09696061228287799
10,3,sax,0.005491906209752511
10,3,sfa,0.047051753023507316
10,3,spartan,0.09933793976293669
3,4,sax,0.0021691973969631237
3,4,sfa,0.020180317956185134
3,4,spartan,0.04302540913131138
4,4,sax,0.0021691973969631237
4,4,sfa,0.029556367056986516
4,4,spartan,0.0662473494440454
5,4,sax,0.002218795141355208
5,4,sfa,0.036894408413511035
5,4,spartan,0.08159623017438208
6,4,sax,0.003628348244393202
6,4,sfa,0.04320209392534631
6,4,spartan,0.09376015867924402
7,4,sax,0.0035044864717983493
7,4,sfa,0.04691554152966561
7,4,spartan,0.10363899805642321
8,4,sax,0.004412688636571892
8,4,sfa,0.05015345598318373
8,4,spartan,0.10913786782019796
9,4,sax,0.008570529258970205
9,4,sfa,0.05216974211501139
9,4,spartan,0.11487051482686743
10,4,sax,0.007182830868448643
10,4,sfa,0.05420183518445028
10,4,spartan,0.11770631249352737
3,5,sax,0.0021691973969631237
3,5,sfa,0.022858296955914584
3,5,spartan,0.05076330953799794
4,5,sax,0.0026810351548576922
4,5,sfa,0.03453278482542294
4,5,spartan,0.07575991575028233
5,5,sax,0.002509451906147505
5,5,sfa,0.0420421669390488
5,5,spartan,0.09444930998267266
6,5,sax,0.006465998471221649
6,5,sfa,0.04854824167573184
6,5,spartan,0.10788476233333717
7,5,sax,0.007930059684065247
7,5,sfa,0.05280559905270006
7,5,spartan,0.11554139867704855
8,5,sax,0.0077699136822528695
8,5,sfa,0.056345334811800804
8,5,spartan,0.12361619556160229
9,5,sax,0.015775593417468176
9,5,sfa,0.05840071425168552
9,5,spartan,0.12991716585685478
10,5,sax,0.015365870028004582
10,5,sfa,0.060568017129605585
10,5,spartan,0.13440173463952895
3,6,sax,0.0021691973969631237
3,6,sfa,0.025017401965168676
3,6,spartan,0.058847830282809196
4,6,sax,0.0036070100020838577
4,6,sfa,0.03759489040022694
4,6,spartan,0.08514260080252843
5,6,sax,0.004363775589937861
5,6,sfa,0.04614249389876036
5,6,spartan,0.10570293062332757
6,6,sax,0.005845891582432551
6,6,sfa,0.05288731286102666
6,6,spartan,0.1176913014948854
7,6,sax,0.01089565224687018
7,6,sfa,0.05745750961089121
7,6,spartan,0.12899730678527585
8,6,sax,0.01382737209037527
8,6,sfa,0.06130601177722801
8,6,spartan,0.13579649049845519
9,6,sax,0.021568302881567376
9,6,sfa,0.06373996514519185
9,6,spartan,0.14202251429022605
10,6,sax,0.02347497227648611
10,6,sfa,0.06620595768884567
10,6,spartan,0.14600623677052094
3,7,sax,0.0021691973969631237
3,7,sfa,0.02756340342306982
3,7,spartan,0.061921389349555975
4,7,sax,0.0035618169329941613
4,7,sfa,0.040733707981841644
4,7,spartan,0.09395230578053405
5,7,sax,0.005087904771578519
5,7,sfa,0.049991117382437396
5,7,spartan,0.11128215383178691
6,7,sax,0.008370308839910922
6,7,sfa,0.057089731673624126
6,7,spartan,0.1288681987417356
7,7,sax,0.015911002517266484
7,7,sfa,0.062181142725943224
7,7,spartan,0.13908667419311077
8,7,sax,0.01754051209751946
8,7,sfa,0.06593901497085085
8,7,spartan,0.1477816729582159
9,7,sax,0.028064409241060337
9,7,sfa,0.06888767991393983
9,7,spartan,0.15471389589511222
10,7,sax,0.0322558041318205
10,7,sfa,0.07153816888351407
10,7,spartan,0.1602072016045599
3,8,sax,0.0021871394173842897
3,8,sfa,0.03016882135938979
3,8,spartan,0.06984375163722277
4,8,sax,0.0049304182979747905
4,8,sfa,0.04380560566014674
4,8,spartan,0.10092939970760348
5,8,sax,0.007042629596936729
5,8,sfa,0.05402412897588343
5,8,spartan,0.12206007827960505
6,8,sax,0.010888448986731419
6,8,sfa,0.06127778675605676
6,8,spartan,0.135762607536018
7,8,sax,0.0213441656754569
7,8,sfa,0.06646827226681289
7,8,spartan,0.14648381944524053
8,8,sax,0.023654198157401166
8,8,sfa,0.07057425413190316
8,8,spartan,0.15747658707593393
9,8,sax,0.037247013947181176
9,8,sfa,0.07369958451623648
9,8,spartan,0.16317283543113653
10,8,sax,0.04126896668634449
10,8,sfa,0.0765260787610171
10,8,spartan,0.16981298730664746
