a,w,method,tlb
3,2,sax,0.008928571428571428
3,2,sfa,0.01229087394094766
3,2,spartan,0.14589647564873254
4,2,sax,0.008928571428571428
4,2,sfa,0.014876071967717255
4,2,spartan,0.2367366322322686
5,2,sax,0.008928571428571428
5,2,sfa,0.01661983301388065
5,2,spartan,0.2976752920208686
6,2,sax,0.008928571428571428
6,2,sfa,0.018209118839785522
6,2,spartan,0.3368616343354811
7,2,sax,0.008928571428571428
7,2,sfa,0.019187896931689517
7,2,spartan,0.36496413655949855
8,2,sax,0.01045056037787905
8,2,sfa,0.020506592823161158
8,2,spartan,0.39458222086910394
9,2,sax,0.008928571428571428
9,2,sfa,0.02259624272478122
9,2,spartan,0.41469412615857454
10,2,sax,0.011305683416187753
10,2,sfa,0.02385374769740075
10,2,spartan,0.41920160922510796
3,3,sax,0.008928571428571428
3,3,sfa,0.015565356480375936
3,3,spartan,0.1793925807403635
4,3,sax,0.008928571428571428
4,3,sfa,0.01956333656870525
4,3,spartan,0.2827240048275782
5,3,sax,0.008928571428571428
5,3,sfa,0.02281548309889495
5,3,spartan,0.3523732368046711
6,3,sax,0.024490488255340725
6,3,sfa,0.02772357948257777
6,3,spartan,0.39323195213364165
7,3,sax,0.023181174477571564
7,3,sfa,0.028799111711288333
7,3,spartan,0.4236986027679656
8,3,sax,0.0204848740000194
8,3,sfa,0.030554057236495052
8,3,spartan,0.4551542672294152
9,3,sax,0.027948596924899434
9,3,sfa,0.03324955654451594
9,3,spartan,0.47923835770726475
10,3,sax,0.03418996611414902
10,3,sfa,0.034395557613868075
10,3,spartan,0.4833975067667587
3,4,sax,0.008928571428571428
3,4,sfa,0.016567533282719104
3,4,spartan,0.19121773045955778
4,4,sax,0.022128450436350394
4,4,sfa,0.02085409387477328
4,4,spartan,0.2982502382588568
5,4,sax,0.0306584546002833
5,4,sfa,0.024888563933664037
5,4,spartan,0.36803021365469346
6,4,sax,0.021937365526740856
6,4,sfa,0.029766921047276247
6,4,spartan,0.40880940598214865
7,4,sax,0.02795437308961161
7,4,sfa,0.03139591371303581
7,4,spartan,0.440345416930775
8,4,sax,0.03335610339597678
8,4,sfa,0.03364792416172855
8,4,spartan,0.47239525348488864
9,4,sax,0.03849309392391215
9,4,sfa,0.03658137013807855
9,4,spartan,0.4966722977661202
10,4,sax,0.043660997549617726
10,4,sfa,0.03834712194975252
10,4,spartan,0.5012028707323299
3,5,sax,0.008928571428571428
3,5,sfa,0.02219921284345533
3,5,spartan,0.218460981869391
4,5,sax,0.01260627682761295
4,5,sfa,0.02819363618285446
4,5,spartan,0.33133967177234724
5,5,sax,0.03510576084024403
5,5,sfa,0.03398896298617294
5,5,spartan,0.40402323788472955
6,5,sax,0.032156497659465065
6,5,sfa,0.03936673522964652
6,5,spartan,0.4455340428796739
7,5,sax,0.046495207248593406
7,5,sfa,0.04156612195885935
7,5,spartan,0.47849143782241055
8,5,sax,0.04626078331965627
8,5,sfa,0.04397838411081043
8,5,spartan,0.5107002940291344
9,5,sax,0.05266328185533774
9,5,sfa,0.046748655326531066
9,5,spartan,0.5361285355950209
10,5,sax,0.05383754705304613
10,5,sfa,0.05031409812119721
10,5,spartan,0.5406463592050119
3,6,sax,0.008928571428571428
3,6,sfa,0.02883276814862114
3,6,spartan,0.23159728608984229
4,6,sax,0.01310129925714944
4,6,sfa,0.03616987159197592
4,6,spartan,0.34721665729478823
5,6,sax,0.027511195652181974
5,6,sfa,0.043645987835472536
5,6,spartan,0.4257829219248984
6,6,sax,0.03407806702770257
6,6,sfa,0.049284526575636825
6,6,spartan,0.4679070138377343
7,6,sax,0.0518059181443184
7,6,sfa,0.05197271305660876
7,6,spartan,0.5023125808619626
8,6,sax,0.05583330347255416
8,6,sfa,0.05396917586230039
8,6,spartan,0.5338764908250578
9,6,sax,0.06853735837851199
9,6,sfa,0.05722172496680082
9,6,spartan,0.5610018481214925
10,6,sax,0.07480554672877825
10,6,sfa,0.0609169666874528
10,6,spartan,0.5657810926898169
3,7,sax,0.008995140640218382
3,7,sfa,0.03216667273459566
3,7,spartan,0.23800319395042158
