a,w,method,tlb
3,2,sax,0.00044562962962962964
3,2,sfa,0.007641321824233597
3,2,spartan,0.1204089334565407
4,2,sax,0.00044562962962962964
4,2,sfa,0.013225107973162764
4,2,spartan,0.1957029734605399
5,2,sax,0.00044562962962962964
5,2,sfa,0.017328612815801836
5,2,spartan,0.2524921587499783
6,2,sax,0.0006681278515450936
6,2,sfa,0.020344557671012935
6,2,spartan,0.2920166673652878
7,2,sax,0.0006855218991378833
7,2,sfa,0.022677868370067557
7,2,spartan,0.31798899206501713
8,2,sax,0.000610227257944143
8,2,sfa,0.024607403036930254
8,2,spartan,0.3398984041987216
9,2,sax,0.0008341839244099336
9,2,sfa,0.02604284654695609
9,2,spartan,0.35808881281996713
10,2,sax,0.000738866779835094
10,2,sfa,0.027371748730760856
10,2,spartan,0.3726593928723264
3,3,sax,0.00045114663524344826
3,3,sfa,0.01333031237855616
3,3,spartan,0.1430817168742762
4,3,sax,0.0010236560560292114
4,3,sfa,0.02272815212600985
4,3,spartan,0.2267859474155219
5,3,sax,0.0009005412024281014
5,3,sfa,0.029243768678559084
5,3,spartan,0.28810578568672396
6,3,sax,0.002025769199600674
6,3,sfa,0.0337843273635641
6,3,spartan,0.33146057872516066
7,3,sax,0.002612724468416796
7,3,sfa,0.03739487419704036
7,3,spartan,0.3602192526757837
8,3,sax,0.0036395997165435
8,3,sfa,0.039783417501095195
8,3,spartan,0.38521894475781987
9,3,sax,0.003720969560615899
9,3,sfa,0.042201715330157215
9,3,spartan,0.40629919484119037
10,3,sax,0.006053938159981311
10,3,sfa,0.04401373155755691
10,3,spartan,0.4240930673508137
3,4,sax,0.00045129474518075345
3,4,sfa,0.015972610274180725
3,4,spartan,0.16587185345769864
4,4,sax,0.0013736292468946186
4,4,sfa,0.026465180893143887
4,4,spartan,0.2565106075974825
5,4,sax,0.0020614564485742417
5,4,sfa,0.03367716821669915
5,4,spartan,0.3204460853920493
6,4,sax,0.004227442375524686
6,4,sfa,0.03856646450898405
6,4,spartan,0.3648393117174071
7,4,sax,0.008957484858223104
7,4,sfa,0.04247989848839017
7,4,spartan,0.39541458885093306
8,4,sax,0.00925445185997226
8,4,sfa,0.04525768868787137
8,4,spartan,0.4217445730497939
9,4,sax,0.013667752921073481
9,4,sfa,0.04773965877068353
9,4,spartan,0.44328138447262494
10,4,sax,0.017376074407058746
10,4,sfa,0.04984822363841833
10,4,spartan,0.46150310677042317
3,5,sax,0.0004969287418253333
3,5,sfa,0.02276644687296217
3,5,spartan,0.18096913124326788
4,5,sax,0.0013312653697509804
4,5,sfa,0.036386799859013295
4,5,spartan,0.2748482998169
5,5,sax,0.00473384684276288
5,5,sfa,0.04596963640944751
5,5,spartan,0.3415067223774687
6,5,sax,0.006497519848037227
6,5,sfa,0.052748552103885876
6,5,spartan,0.38761147111398664
7,5,sax,0.01462277216535657
7,5,sfa,0.05779219351739126
7,5,spartan,0.41917624361384687
8,5,sax,0.018304408033179433
8,5,sfa,0.06178199283127428
8,5,spartan,0.4458965789615244
9,5,sax,0.02617395426022396
9,5,sfa,0.06509099902158548
9,5,spartan,0.4687456724548097
10,5,sax,0.03144380948080198
10,5,sfa,0.06784024734965638
10,5,spartan,0.48762560234194074
3,6,sax,0.0006098477543052397
3,6,sfa,0.025573919794104737
3,6,spartan,0.19548987689053163
4,6,sax,0.0036900226541528598
4,6,sfa,0.04038178094692933
4,6,spartan,0.2910505375755785
5,6,sax,0.006626920190927926
5,6,sfa,0.050939440414493775
5,6,spartan,0.35964684376938477
6,6,sax,0.01469416970453711
6,6,sfa,0.058178668014341704
6,6,spartan,0.40654943746475564
7,6,sax,0.02465213928802968
7,6,sfa,0.06369034646265115
7,6,spartan,0.4386792831230305
8,6,sax,0.03035590914068037
8,6,sfa,0.06799374637375112
8,6,spartan,0.46591479349709314
9,6,sax,0.04222244224513449
9,6,sfa,0.07180873335786346
9,6,spartan,0.48928821922325694
10,6,sax,0.048250216531961744
10,6,sfa,0.07489718709798758
10,6,spartan,0.5085155711682199
3,7,sax,0.0016735941844549897
3,7,sfa,0.033918711905901025
3,7,spartan,0.205071726609921
4,7,sax,0.00731425226339702
4,7,sfa,0.05273253564556303
4,7,spartan,0.3028617948922824
5,7,sax,0.017332585848222996
5,7,sfa,0.06533052646243694
5,7,spartan,0.3725738194629171
6,7,sax,0.024407443439521764
6,7,sfa,0.07438648510210494
6,7,spartan,0.4210982213839975
7,7,sax,0.03819402230787023
7,7,sfa,0.08114757372165747
7,7,spartan,0.4539860753520641
8,7,sax,0.04663631984445824
8,7,sfa,0.08659664338118592
8,7,spartan,0.48223317738468385
9,7,sax,0.059580192403959016
9,7,sfa,0.09111729126228697
9,7,spartan,0.5064655217738532
10,7,sax,0.0679288129771188
10,7,sfa,0.09453847655578308
10,7,spartan,0.5264209368202735
3,8,sax,0.006060494066672672
3,8,sfa,0.03725994171867902
3,8,spartan,0.2131175426390442
4,8,sax,0.013034069736887437
4,8,sfa,0.05788680875273013
4,8,spartan,0.31291835598887796
5,8,sax,0.02086060549723053
5,8,sfa,0.07201583054035904
5,8,spartan,0.38366622141067586
6,8,sax,0.03784317001043937
6,8,sfa,0.0817040132991126
6,8,spartan,0.43285782751155993
7,8,sax,0.04897699772563346
7,8,sfa,0.0891891442806469
7,8,spartan,0.46649945741394916
8,8,sax,0.06253019447728829
8,8,sfa,0.09522475716417146
8,8,spartan,0.4952208561538328
