a,w,method,tlb
3,2,sax,0.005836469392137795
3,2,sfa,0.060038028524388165
3,2,spartan,0.09628203886627432
4,2,sax,0.004888899988499402
4,2,sfa,0.10513283988354856
4,2,spartan,0.1771822715506305
5,2,sax,0.039105963593671196
5,2,sfa,0.13381602419346753
5,2,spartan,0.22094768457874314
6,2,sax,0.03819183071452854
6,2,sfa,0.15679062844908626
6,2,spartan,0.2567674251369388
7,2,sax,0.05595504517316918
7,2,sfa,0.1708649152011284
7,2,spartan,0.28742734488856125
8,2,sax,0.07470162958969688
8,2,sfa,0.18230400590127918
8,2,spartan,0.3088511272257686
9,2,sax,0.08161833745607605
9,2,sfa,0.19198950580202126
9,2,spartan,0.3237160123657961
10,2,sax,0.09320778574538902
10,2,sfa,0.20051146885649868
10,2,spartan,0.33553629707564736
3,3,sax,0.044365059334153856
3,3,sfa,0.08423843322024457
3,3,spartan,0.1354492005134627
4,3,sax,0.07142684406827211
4,3,sfa,0.13840070828699869
4,3,spartan,0.2326139673908123
5,3,sax,0.12079760140152188
5,3,sfa,0.17326660819001888
5,3,spartan,0.2861932295941285
6,3,sax,0.14995405862578934
6,3,sfa,0.2005522082229149
6,3,spartan,0.32760092772602567
7,3,sax,0.17471273608726529
7,3,sfa,0.21754235387856502
7,3,spartan,0.3615909531598302
8,3,sax,0.19227877659697357
8,3,sfa,0.23071649801886307
8,3,spartan,0.38774648917322896
9,3,sax,0.20959855328223836
9,3,sfa,0.24319185739243712
9,3,spartan,0.40433747143255866
10,3,sax,0.22825014651065983
10,3,sfa,0.2533621696749443
10,3,spartan,0.4186856709970419
3,4,sax,0.08872695989370966
3,4,sfa,0.10976330194874402
3,4,spartan,0.16261690810114063
4,4,sax,0.1566932572043761
4,4,sfa,0.1740591832950751
4,4,spartan,0.27259505007970214
5,4,sax,0.20586332258537138
5,4,sfa,0.21530822155240634
5,4,spartan,0.3323275534931377
6,4,sax,0.2424515492869891
6,4,sfa,0.24795503195396107
6,4,spartan,0.37804327236500307
7,4,sax,0.2745160006255971
7,4,sfa,0.2686024763369901
7,4,spartan,0.4160677918296386
8,4,sax,0.2968202758553363
8,4,sfa,0.2834967668312325
8,4,spartan,0.44477999255038897
9,4,sax,0.31515088125480645
9,4,sfa,0.2987872741115996
9,4,spartan,0.46440718019913296
10,4,sax,0.32517209276378883
10,4,sfa,0.3104255103855794
10,4,spartan,0.4804372895824705
3,5,sax,0.1158702357613905
3,5,sfa,0.12785931004652304
3,5,spartan,0.1873276474764997
4,5,sax,0.20078690339043512
4,5,sfa,0.19889746562325245
4,5,spartan,0.30511604026433925
5,5,sax,0.2530471911946172
5,5,sfa,0.24247251105526266
5,5,spartan,0.37108607014735795
6,5,sax,0.29332115330417985
6,5,sfa,0.27812751973057015
6,5,spartan,0.42006510550706283
7,5,sax,0.3278382131499001
7,5,sfa,0.300395576889375
7,5,spartan,0.46037041212207913
8,5,sax,0.3538450999949925
8,5,sfa,0.3166192680895173
8,5,spartan,0.49118621579787747
9,5,sax,0.37503838738138073
9,5,sfa,0.3336894916495827
9,5,spartan,0.5123983484131786
10,5,sax,0.390810911062551
10,5,sfa,0.34637921706527575
10,5,spartan,0.530519827797448
3,6,sax,0.14382099186508615
3,6,sfa,0.14504982229421612
3,6,spartan,0.20367801615436737
4,6,sax,0.23499867664707763
4,6,sfa,0.22372957189507203
4,6,spartan,0.3288314541072506
5,6,sax,0.3012517342263541
5,6,sfa,0.2715462691844483
5,6,spartan,0.4000256533300519
6,6,sax,0.34365231775954286
6,6,sfa,0.3080394994241028
6,6,spartan,0.452434363987418
7,6,sax,0.38197944672453277
7,6,sfa,0.33343975965513534
7,6,spartan,0.4948404546036501
8,6,sax,0.4082341371466328
8,6,sfa,0.3516717428386649
8,6,spartan,0.5269415034684268
9,6,sax,0.4281239079950444
9,6,sfa,0.3693377143599816
9,6,spartan,0.5489006093996822
10,6,sax,0.44889684957784026
10,6,sfa,0.3836975354366698
10,6,spartan,0.5688159286485132
3,7,sax,0.16854883124338238
3,7,sfa,0.1565614867515522
3,7,spartan,0.21541135124180769
4,7,sax,0.2621370246302869
4,7,sfa,0.23956735075928282
4,7,spartan,0.3454899495377411
5,7,sax,0.32627936386332157
5,7,sfa,0.28953451958479515
5,7,spartan,0.41794620431416696
6,7,sax,0.3762044189124718
6,7,sfa,0.32781124463821665
6,7,spartan,0.4731687887466059
7,7,sax,0.41405881626108504
7,7,sfa,0.3549056519603082
7,7,spartan,0.5164777536305146
8,7,sax,0.4455662999265553
8,7,sfa,0.37365808625264446
8,7,spartan,0.5496413514521773
9,7,sax,0.46794157153758975
9,7,sfa,0.39230060029738295
9,7,spartan,0.5729317265648693
10,7,sax,0.4879093294347619
10,7,sfa,0.4074681465549207
10,7,spartan,0.593730425357107
3,8,sax,0.1844563285773345
3,8,sfa,0.16610229194540752
3,8,spartan,0.22624316995299937
4,8,sax,0.2790291223402869
4,8,sfa,0.25237355082004176
4,8,spartan,0.3580035824739965
5,8,sax,0.340698112271119
5,8,sfa,0.3046490978281321
5,8,spartan,0.43303129010105174
6,8,sax,0.39465286722407056
6,8,sfa,0.34301342630057247
6,8,spartan,0.49015618249063236
7,8,sax,0.43668936459828783
7,8,sfa,0.3710190194296042
7,8,spartan,0.5349453766732928
8,8,sax,0.4639938318134104
8,8,sfa,0.39123677385122646
