a,w,method,tlb
3,2,sax,0.002857142857142857
3,2,sfa,0.03667874027368273
3,2,spartan,0.10108981102636347
4,2,sax,0.002857142857142857
4,2,sfa,0.06348733236385302
4,2,spartan,0.1890339349991737
5,2,sax,0.002857142857142857
5,2,sfa,0.08105185162076406
5,2,spartan,0.26342104189364307
6,2,sax,0.002857142857142857
6,2,sfa,0.09803840146353815
6,2,spartan,0.3116640547362292
7,2,sax,0.0031346754518748604
7,2,sfa,0.11015004763748913
7,2,spartan,0.35974920528319887
8,2,sax,0.002857142857142857
8,2,sfa,0.12056159905325758
8,2,spartan,0.3945874089388945
9,2,sax,0.004865344336240325
9,2,sfa,0.12857000146449027
9,2,spartan,0.42348628263415516
10,2,sax,0.00419471688800554
10,2,sfa,0.136329623899005
10,2,spartan,0.4370781713549542
3,3,sax,0.002857142857142857
3,3,sfa,0.04116826777194001
3,3,spartan,0.1246088231879576
4,3,sax,0.002857142857142857
4,3,sfa,0.0667482740777855
4,3,spartan,0.22521404851641494
5,3,sax,0.002857142857142857
5,3,sfa,0.08506438233292553
5,3,spartan,0.31021594399164665
6,3,sax,0.002980971341647456
6,3,sfa,0.1004665722568807
6,3,spartan,0.3639527986294687
7,3,sax,0.002857142857142857
7,3,sfa,0.1150040263330742
7,3,spartan,0.42015377726477965
8,3,sax,0.0038913977258940003
8,3,sfa,0.12436698846507153
8,3,spartan,0.45705005776346086
9,3,sax,0.004719284123907798
9,3,sfa,0.13324622095175578
9,3,spartan,0.4882791251625423
10,3,sax,0.006878359987978993
10,3,sfa,0.1420757351075003
10,3,spartan,0.5018824725387496
3,4,sax,0.004127039903093905
3,4,sfa,0.08521299434407364
3,4,spartan,0.14494680056465442
4,4,sax,0.009962063315719577
4,4,sfa,0.1597359925840961
4,4,spartan,0.25289666613118233
5,4,sax,0.023440361550724355
5,4,sfa,0.21280905261458175
5,4,spartan,0.3410609092127876
6,4,sax,0.04265619821046086
6,4,sfa,0.24736748536187453
6,4,spartan,0.3952205816454936
7,4,sax,0.05327772977987056
7,4,sfa,0.2837764324799774
7,4,spartan,0.45250583265475713
8,4,sax,0.09393459290461238
8,4,sfa,0.3094961159790721
8,4,spartan,0.4895898295258973
9,4,sax,0.10054842831034401
9,4,sfa,0.3218876014811121
9,4,spartan,0.5211640720603646
10,4,sax,0.13175418428343158
10,4,sfa,0.3419372739236122
10,4,spartan,0.5354546144712548
3,5,sax,0.002857142857142857
3,5,sfa,0.09292331152512136
3,5,spartan,0.16015695576990116
4,5,sax,0.0033825753694761143
4,5,sfa,0.1674926772396135
4,5,spartan,0.27182067753212247
5,5,sax,0.008402047325977019
5,5,sfa,0.2217930801923833
5,5,spartan,0.36025700706528996
6,5,sax,0.012352571004612768
6,5,sfa,0.2595419353969021
6,5,spartan,0.41604290668285093
7,5,sax,0.0192360370036833
7,5,sfa,0.29986303698469735
7,5,spartan,0.4731214758217492
8,5,sax,0.032581268481959746
8,5,sfa,0.32210732819975696
8,5,spartan,0.5114184194306327
9,5,sax,0.04700319659315286
9,5,sfa,0.33491092319606036
9,5,spartan,0.5423673603296886
10,5,sax,0.06261355015667867
10,5,sfa,0.35518550573849383
10,5,spartan,0.5572129397191934
3,6,sax,0.005522615199246067
3,6,sfa,0.1132972646575355
3,6,spartan,0.17365665179233788
4,6,sax,0.015158812256910015
4,6,sfa,0.19382281973625257
4,6,spartan,0.28686598441606737
5,6,sax,0.026898362842050536
5,6,sfa,0.2513926825788907
5,6,spartan,0.37492231681150917
6,6,sax,0.04737945581549621
6,6,sfa,0.29175999155534077
6,6,spartan,0.43216257440701
7,6,sax,0.07318842319035244
7,6,sfa,0.3333137342394821
7,6,spartan,0.4884046060385728
8,6,sax,0.0885994366241189
8,6,sfa,0.35688140736044366
8,6,spartan,0.5273478664248249
9,6,sax,0.11112489622966626
9,6,sfa,0.3714055332027835
9,6,spartan,0.558790638927872
10,6,sax,0.13137283874298353
10,6,sfa,0.39281487209252464
10,6,spartan,0.5739670184437914
3,7,sax,0.011509177258704534
3,7,sfa,0.1262750865429398
3,7,spartan,0.18346819059123803
4,7,sax,0.029466537237061375
4,7,sfa,0.2109354398112803
4,7,spartan,0.29772290044831157
5,7,sax,0.0529574258421141
5,7,sfa,0.26959079574816924
5,7,spartan,0.38667573600741145
6,7,sax,0.07768687449172981
6,7,sfa,0.31374940623253184
6,7,spartan,0.4442059214536971
7,7,sax,0.09994229618928721
7,7,sfa,0.35151015824024645
7,7,spartan,0.5009046616064455
8,7,sax,0.13646854935551692
