a,w,method,tlb
3,2,sax,0.0006849769393886424
3,2,sfa,0.08035462683870008
3,2,spartan,0.20905382823052274
4,2,sax,0.002460157056818352
4,2,sfa,0.1250771101719341
4,2,spartan,0.30512557327455875
5,2,sax,0.05059379426013121
5,2,sfa,0.16031714738139324
5,2,spartan,0.3729794097168955
6,2,sax,0.02079473547389691
6,2,sfa,0.18369537833975857
6,2,spartan,0.4166708647501376
7,2,sax,0.08194153042448966
7,2,sfa,0.20070233855385863
7,2,spartan,0.44569963657203593
8,2,sax,0.10565718574884767
8,2,sfa,0.2139663910723195
8,2,spartan,0.4698044621679755
9,2,sax,0.09684386252493023
9,2,sfa,0.2264369864217692
9,2,spartan,0.48831417413894573
10,2,sax,0.13476111633724816
10,2,sfa,0.23556598871371948
10,2,spartan,0.5042834982093939
3,3,sax,0.004160237615179915
3,3,sfa,0.10323236548068371
3,3,spartan,0.24651479843106913
4,3,sax,0.08469598358624472
4,3,sfa,0.16026787310251608
4,3,spartan,0.3539324021857171
5,3,sax,0.11496141386127337
5,3,sfa,0.20222128888569926
5,3,spartan,0.42452296469313217
6,3,sax,0.09990732789641901
6,3,sfa,0.22467709724793483
6,3,spartan,0.46988320621261165
7,3,sax,0.1626924564781188
7,3,sfa,0.24375043279799963
7,3,spartan,0.49987139281957554
8,3,sax,0.21124334133135753
8,3,sfa,0.2563252008055646
8,3,spartan,0.524922158154721
9,3,sax,0.2170090143049043
9,3,sfa,0.27323754649960535
9,3,spartan,0.5447214283802965
10,3,sax,0.22810006984244482
10,3,sfa,0.28720672850240186
10,3,spartan,0.5603216551381448
3,4,sax,0.011906539927088107
3,4,sfa,0.14111191993231528
3,4,spartan,0.27351465952597354
4,4,sax,0.09913497603075394
4,4,sfa,0.21033643568631005
4,4,spartan,0.38314857440770267
5,4,sax,0.17918569687013627
5,4,sfa,0.26002411724603786
5,4,spartan,0.46179536445302255
6,4,sax,0.19288866206284552
6,4,sfa,0.28787158731265217
6,4,spartan,0.5071743953151034
7,4,sax,0.23364815244441614
7,4,sfa,0.30976215384103634
7,4,spartan,0.5371854114198206
8,4,sax,0.24516570147034025
8,4,sfa,0.32582072733631423
8,4,spartan,0.5636912680665013
9,4,sax,0.23974614376543907
9,4,sfa,0.3436195300284347
9,4,spartan,0.5836023501068296
10,4,sax,0.26957897675050985
10,4,sfa,0.3584984665181392
10,4,spartan,0.5993710070256709
3,5,sax,0.029900227924301574
3,5,sfa,0.15857305717314155
3,5,spartan,0.29014651558843735
4,5,sax,0.10928604554733494
4,5,sfa,0.2361352674089391
4,5,spartan,0.40620620506282107
5,5,sax,0.18657626286268758
5,5,sfa,0.2910716066407165
5,5,spartan,0.4860946509465185
6,5,sax,0.20828990401330028
