a,w,method,tlb
3,2,sax,0.0006719888070376372
3,2,sfa,0.08057773209176779
3,2,spartan,0.2088519426544413
4,2,sax,0.002359073274326649
4,2,sfa,0.125183958918419
4,2,spartan,0.30475909793546535
5,2,sax,0.05079854904738674
5,2,sfa,0.16084088451346185
5,2,spartan,0.3746254520370542
6,2,sax,0.0202707364359773
6,2,sfa,0.18386151088608604
6,2,spartan,0.4172183429121943
7,2,sax,0.08239464167689653
7,2,sfa,0.20021669882144608
7,2,spartan,0.4468728323878324
8,2,sax,0.10497516756569657
8,2,sfa,0.21432116930656855
8,2,spartan,0.47000788337807264
9,2,sax,0.09656621261303655
9,2,sfa,0.22609281418735525
9,2,spartan,0.4886254326995952
10,2,sax,0.134832481382777
10,2,sfa,0.23521302833672172
10,2,spartan,0.5050463520111267
3,3,sax,0.0039756097449763035
3,3,sfa,0.10321702252238255
3,3,spartan,0.245709970159484
4,3,sax,0.08495140083942623
4,3,sfa,0.16062173710426583
4,3,spartan,0.35316294274553045
5,3,sax,0.11487036150120557
5,3,sfa,0.20143771493889692
5,3,spartan,0.4259310565959765
6,3,sax,0.09971563064678358
6,3,sfa,0.2248676627378738
6,3,spartan,0.4696716087289264
7,3,sax,0.16360836628344302
7,3,sfa,0.2444953425204554
7,3,spartan,0.5006962617942661
8,3,sax,0.21156823457365473
8,3,sfa,0.2563692591549058
8,3,spartan,0.5247349372629284
9,3,sax,0.21750623539161512
9,3,sfa,0.27335591648542484
9,3,spartan,0.544616143739354
10,3,sax,0.22801062076586884
10,3,sfa,0.2844043428509124
10,3,spartan,0.5607910204796365
3,4,sax,0.0114561866805091
3,4,sfa,0.14115662686844632
3,4,spartan,0.2726185813015163
4,4,sax,0.09957224271265216
4,4,sfa,0.21102148854516511
4,4,spartan,0.38197517127845015
5,4,sax,0.17885959093887838
5,4,sfa,0.2599933536399432
5,4,spartan,0.4629670109820111
6,4,sax,0.19413891833297411
6,4,sfa,0.28825524485980664
6,4,spartan,0.506782448659347
7,4,sax,0.2341599194191116
7,4,sfa,0.3105650403714442
7,4,spartan,0.5378212883253777
8,4,sax,0.24530520824199067
8,4,sfa,0.3260649922592204
8,4,spartan,0.5632339080615796
9,4,sax,0.24008433726298684
9,4,sfa,0.3437499850527802
9,4,spartan,0.5830568506092428
10,4,sax,0.26913919131545444
10,4,sfa,0.3561848293998357
10,4,spartan,0.5997962127381659
3,5,sax,0.029325122770057284
3,5,sfa,0.15881676288242313
3,5,spartan,0.2890085776096885
4,5,sax,0.10920155038183584
4,5,sfa,0.23638027919341015
4,5,spartan,0.4050667647369638
5,5,sax,0.1860903325524592
5,5,sfa,0.29154133778732405
5,5,spartan,0.48716646885366344
6,5,sax,0.20784580620670282
6,5,sfa,0.31973445527938127
6,5,spartan,0.531162795198559
7,5,sax,0.26034984952837437
7,5,sfa,0.34331771252271487
7,5,spartan,0.5640564901722896
8,5,sax,0.2797543896876183
8,5,sfa,0.35870986289253615
8,5,spartan,0.5894897453244748
9,5,sax,0.2809751185877678
9,5,sfa,0.37833977529231533
9,5,spartan,0.6095886488384011
10,5,sax,0.3039833629838983
10,5,sfa,0.39120257303713013
10,5,spartan,0.6263077020352333
3,6,sax,0.07181516534448003
3,6,sfa,0.1672673259532664
3,6,spartan,0.29933911021348614
4,6,sax,0.13528040822823845
4,6,sfa,0.24663079677032956
4,6,spartan,0.4211209181664127
5,6,sax,0.24063645026315528
5,6,sfa,0.3067460431311999
5,6,spartan,0.5039093563795174
6,6,sax,0.2508974024621053
6,6,sfa,0.3390943447686304
6,6,spartan,0.5488642452669034
7,6,sax,0.28763118192742965
7,6,sfa,0.36326365285141743
7,6,spartan,0.5827110250349498
8,6,sax,0.326381930591052
8,6,sfa,0.37969689074532514
8,6,spartan,0.6078379345421038
9,6,sax,0.33437987683926906
9,6,sfa,0.399307173755124
9,6,spartan,0.6285391805220808
10,6,sax,0.35903291872038984
10,6,sfa,0.413159836903213
10,6,spartan,0.6453688232608581
3,7,sax,0.10276280422531073
3,7,sfa,0.19839286378870302
3,7,spartan,0.3082483201359609
4,7,sax,0.191626926228908
4,7,sfa,0.28724465642056257
4,7,spartan,0.4306206292141024
5,7,sax,0.2925465676503164
5,7,sfa,0.35057225624179056
5,7,spartan,0.5148767195177866
6,7,sax,0.3121612694914196
6,7,sfa,0.38695366409877047
6,7,spartan,0.5604598577005182
7,7,sax,0.3249933470741775
7,7,sfa,0.41266417533862954
7,7,spartan,0.594186715583903
8,7,sax,0.3674670532860688
8,7,sfa,0.4316769978874366
8,7,spartan,0.6197983122975992
9,7,sax,0.37681755674776185
9,7,sfa,0.4505051267809114
9,7,spartan,0.6405471395297218
10,7,sax,0.40194902001740523
10,7,sfa,0.46688220502990985
10,7,spartan,0.6575562896534999
3,8,sax,0.11042893306360506
3,8,sfa,0.20391093875970043
3,8,spartan,0.31200890057885466
4,8,sax,0.20699331275564767
4,8,sfa,0.29401344644564004
4,8,spartan,0.43585677671085177
5,8,sax,0.317491906657338
5,8,sfa,0.3578291897404414
5,8,spartan,0.520230873606237
6,8,sax,0.33259137596453725
6,8,sfa,0.396814824070808
6,8,spartan,0.5660194167056283
7,8,sax,0.36339385243017
7,8,sfa,0.4228991346006058
7,8,spartan,0.6003477344011533
8,8,sax,0.382931789519101
8,8,sfa,0.4421196109482153
8,8,spartan,0.625968393035374
9,8,sax,0.3883333905833797
9,8,sfa,0.46097610016933244
9,8,spartan,0.6467948934924642
10,8,sax,0.42293325399825027
10,8,sfa,0.47761105259242503
10,8,spartan,0.6642450629663358
