a,w,method,tlb
3,2,sax,0.02533937369888972
3,2,sfa,0.04032466388658573
3,2,spartan,0.1458016153728699
4,2,sax,0.004901960784313725
4,2,sfa,0.09167315577853724
4,2,spartan,0.2527662951887516
5,2,sax,0.056188440266122484
5,2,sfa,0.11715337425005397
5,2,spartan,0.3046104810191534
6,2,sax,0.08643575613791987
6,2,sfa,0.13427944838385109
6,2,spartan,0.3416663206886457
7,2,sax,0.05936802556632239
7,2,sfa,0.14652837525949883
7,2,spartan,0.35942542934388433
8,2,sax,0.11374530924342786
8,2,sfa,0.15798850478600476
8,2,spartan,0.38764835321089647
9,2,sax,0.1268269628106413
9,2,sfa,0.16662517837775792
9,2,spartan,0.4125397110924843
10,2,sax,0.11068279727762102
10,2,sfa,0.1723766236084165
10,2,spartan,0.4154439373215971
3,3,sax,0.049281501686456286
3,3,sfa,0.06277983220489086
3,3,spartan,0.19093275020006617
4,3,sax,0.028314552107824097
4,3,sfa,0.11642368886981055
4,3,spartan,0.30991450422110906
5,3,sax,0.09199525903920218
5,3,sfa,0.15286711193389116
5,3,spartan,0.3667882161536804
6,3,sax,0.09512000641047208
6,3,sfa,0.17870825551617436
6,3,spartan,0.41553860401998044
7,3,sax,0.10196814884868
7,3,sfa,0.1896017967702158
7,3,spartan,0.43966542779642126
8,3,sax,0.12032775230371551
8,3,sfa,0.21445157661733333
8,3,spartan,0.48260722242095583
9,3,sax,0.12618467270220776
9,3,sfa,0.22118784101396224
9,3,spartan,0.5060535453674243
10,3,sax,0.1272284132633398
10,3,sfa,0.22824155376989497
10,3,spartan,0.5088282590513891
3,4,sax,0.07450041342882412
3,4,sfa,0.08324199791433753
3,4,spartan,0.22286699371585317
4,4,sax,0.11626411859595191
4,4,sfa,0.14482482698257435
4,4,spartan,0.3525104955971323
5,4,sax,0.1874921211909146
5,4,sfa,0.18163919624988445
5,4,spartan,0.4189997445352777
6,4,sax,0.18125446689574706
6,4,sfa,0.20978931532265466
6,4,spartan,0.467170819552155
7,4,sax,0.22610815077107388
7,4,sfa,0.22219515959659855
7,4,spartan,0.4909795625950657
8,4,sax,0.24919612428713442
8,4,sfa,0.24788433864493167
8,4,spartan,0.5343889028369849
9,4,sax,0.25048123966122077
9,4,sfa,0.2559655805560833
9,4,spartan,0.559998208594268
10,4,sax,0.27807334962129787
10,4,sfa,0.26375329615080795
10,4,spartan,0.5638780425404565
3,5,sax,0.07242556627397623
3,5,sfa,0.0946088578948116
3,5,spartan,0.23725329041267978
4,5,sax,0.12228184756470999
4,5,sfa,0.15721438280947392
4,5,spartan,0.3781425205600228
5,5,sax,0.17138840301683064
5,5,sfa,0.19336543224885583
5,5,spartan,0.44877375954210535
6,5,sax,0.2039076938319665
6,5,sfa,0.22061757673352547
6,5,spartan,0.49765670884400215
7,5,sax,0.1830923720828866
7,5,sfa,0.23460696127535227
7,5,spartan,0.524009401152354
8,5,sax,0.23320554654015363
8,5,sfa,0.2565437526418162
8,5,spartan,0.5732060296795678
9,5,sax,0.2444802992670483
9,5,sfa,0.2687474300066519
9,5,spartan,0.5982294266707983
10,5,sax,0.24625623912069763
10,5,sfa,0.2759050532773302
10,5,spartan,0.6086584241307654
3,6,sax,0.07533484227296187
3,6,sfa,0.11425901550984846
3,6,spartan,0.2492562621376434
4,6,sax,0.16844616444111343
4,6,sfa,0.18284871138540046
4,6,spartan,0.395368330688105
5,6,sax,0.24737718332609093
5,6,sfa,0.22238804394691009
5,6,spartan,0.46500261476129706
6,6,sax,0.2776671044346446
6,6,sfa,0.2511950082520201
6,6,spartan,0.5138951526094265
7,6,sax,0.308256210408983
7,6,sfa,0.26741535712116665
7,6,spartan,0.5426196405610623
8,6,sax,0.3299345867227973
8,6,sfa,0.28917302750619267
8,6,spartan,0.5957325040272655
9,6,sax,0.3287318675826116
9,6,sfa,0.3050912144939081
9,6,spartan,0.6196997265033707
10,6,sax,0.3332913008698623
10,6,sfa,0.31242695271639737
10,6,spartan,0.6298607276256466
3,7,sax,0.07224509090613508
3,7,sfa,0.1276300331702601
3,7,spartan,0.2600978984001953
4,7,sax,0.143696593975522
4,7,sfa,0.19505026728933428
4,7,spartan,0.4089883496852447
5,7,sax,0.23107441019580655
5,7,sfa,0.2422595724795767
5,7,spartan,0.48019200610885754
6,7,sax,0.2529748973038884
6,7,sfa,0.275926722541158
6,7,spartan,0.5294755116003408
7,7,sax,0.27418261066662436
7,7,sfa,0.29114320118272696
7,7,spartan,0.5601665621918711
8,7,sax,0.30870556842425373
8,7,sfa,0.3183694449265408
8,7,spartan,0.6128642927856803
9,7,sax,0.3236658823603915
9,7,sfa,0.33395332008846695
9,7,spartan,0.6376110786741226
10,7,sax,0.34283043304326
10,7,sfa,0.3438357378587295
10,7,spartan,0.6493061095540669
3,8,sax,0.08172939958446368
3,8,sfa,0.14117687341319113
3,8,spartan,0.26800101510769786
4,8,sax,0.1695697963950284
4,8,sfa,0.21539459398093885
4,8,spartan,0.4166133645506176
5,8,sax,0.23216142312061422
5,8,sfa,0.26249331712404655
5,8,spartan,0.4925981906355831
6,8,sax,0.2656651825215312
6,8,sfa,0.29869309037626746
6,8,spartan,0.54331892094321
7,8,sax,0.30011070212211743
7,8,sfa,0.31523962677571826
7,8,spartan,0.5760675704061841
8,8,sax,0.32965735184345685
8,8,sfa,0.3428330026874566
8,8,spartan,0.6285633549088895
9,8,sax,0.3519440302568935
9,8,sfa,0.3576942712591013
9,8,spartan,0.6552777923798178
10,8,sax,0.36602927736895047
10,8,sfa,0.3686771065126157
10,8,spartan,0.6665923896539786
