a,w,method,tlb
3,2,sax,0.098913455965555
3,2,sfa,0.11403091682873237
3,2,spartan,0.16196138864141266
4,2,sax,0.16286843997793238
4,2,sfa,0.198415073866878
4,2,spartan,0.2808018522619584
5,2,sax,0.18057372208616132
5,2,sfa,0.25297807823423246
5,2,spartan,0.34783107260614643
6,2,sax,0.16615197771746915
6,2,sfa,0.2911132085796156
6,2,spartan,0.4072131472497728
7,2,sax,0.2274726723712789
7,2,sfa,0.31550217126818497
7,2,spartan,0.44797450025360197
8,2,sax,0.2599076201552237
8,2,sfa,0.3392066361658411
8,2,spartan,0.48518056293046263
9,2,sax,0.29305206364656916
9,2,sfa,0.36366094176928726
9,2,spartan,0.5136994072014622
10,2,sax,0.30453850681688727
10,2,sfa,0.37194215774461326
10,2,spartan,0.5334737209287926
3,3,sax,0.1690802042145134
3,3,sfa,0.13851150767013676
3,3,spartan,0.2025536560681618
4,3,sax,0.2688222452643486
4,3,sfa,0.23956702708372035
4,3,spartan,0.3380208067584281
5,3,sax,0.3365343055856069
5,3,sfa,0.3005574427185086
5,3,spartan,0.4123546781099327
6,3,sax,0.37981389509750846
6,3,sfa,0.34086104907512177
6,3,spartan,0.4776251086323321
7,3,sax,0.4257684690917658
7,3,sfa,0.36691795322332366
7,3,spartan,0.5193964679556146
8,3,sax,0.4370221030099613
8,3,sfa,0.39722191288412734
8,3,spartan,0.5597886957908774
9,3,sax,0.4466690365732739
9,3,sfa,0.4229465552343201
9,3,spartan,0.594372513622436
10,3,sax,0.45673679676605305
10,3,sfa,0.437584386970507
10,3,spartan,0.6140849845520223
3,4,sax,0.21004944148400523
3,4,sfa,0.15901895533915855
3,4,spartan,0.21489784365662734
4,4,sax,0.31713756330144854
4,4,sfa,0.2683721003311817
4,4,spartan,0.35443025778309084
5,4,sax,0.37373313366612565
5,4,sfa,0.33359319960870776
5,4,spartan,0.42942253022291754
6,4,sax,0.4264829354416258
6,4,sfa,0.37564312086520674
6,4,spartan,0.49578982149541584
7,4,sax,0.47346693684920393
7,4,sfa,0.40454211854726085
7,4,spartan,0.5374581568177589
8,4,sax,0.5048549131492788
8,4,sfa,0.4348201708967295
8,4,spartan,0.5779641074963197
9,4,sax,0.5314926059828342
9,4,sfa,0.4618304825331386
9,4,spartan,0.6125680207296568
10,4,sax,0.5438365001384124
10,4,sfa,0.4762630516012209
10,4,spartan,0.6344293941640751
3,5,sax,0.2274623850528553
3,5,sfa,0.1713753633614223
3,5,spartan,0.2309809683202228
4,5,sax,0.33979909031920513
4,5,sfa,0.28201994811772846
4,5,spartan,0.3751491487618772
5,5,sax,0.41293295333968894
5,5,sfa,0.3484781494954489
5,5,spartan,0.45457122802915945
6,5,sax,0.46590723189620814
6,5,sfa,0.39017707569006743
6,5,spartan,0.5199240134689851
7,5,sax,0.49800596381732176
7,5,sfa,0.42244836771465977
7,5,spartan,0.5616240139579997
8,5,sax,0.5247687612580505
8,5,sfa,0.4514901478472636
8,5,spartan,0.6026601010778507
9,5,sax,0.5543630579995377
9,5,sfa,0.47998373362131963
9,5,spartan,0.6389258746755018
10,5,sax,0.5845669936154899
10,5,sfa,0.49129665464838057
10,5,spartan,0.6617158516278007
3,6,sax,0.25324910749573876
3,6,sfa,0.17911577012335592
3,6,spartan,0.2393937292644017
4,6,sax,0.3680975329062712
4,6,sfa,0.29301001743246285
4,6,spartan,0.3833032929034494
5,6,sax,0.43314518552930353
5,6,sfa,0.3606684221183632
5,6,spartan,0.4633101886727207
6,6,sax,0.48943922503758797
6,6,sfa,0.4021624077947086
6,6,spartan,0.5288893558499653
7,6,sax,0.5354921690645811
7,6,sfa,0.4348589582041129
7,6,spartan,0.5712536903197298
8,6,sax,0.5617817925646577
8,6,sfa,0.46388316263000157
8,6,spartan,0.6125850931943972
9,6,sax,0.5854498842993167
9,6,sfa,0.49245598064917195
9,6,spartan,0.6490041310144717
10,6,sax,0.6050496935421315
10,6,sfa,0.5040969291226182
10,6,spartan,0.6722298183033248
3,7,sax,0.25653384386055444
3,7,sfa,0.18383709560258057
3,7,spartan,0.2425057616537488
4,7,sax,0.3820701727009085
4,7,sfa,0.2986591634257545
4,7,spartan,0.3865276958094746
5,7,sax,0.45137485155246293
5,7,sfa,0.36214074750938346
5,7,spartan,0.46683780637338423
6,7,sax,0.498883607053338
6,7,sfa,0.40599652019311383
6,7,spartan,0.5325430643771988
7,7,sax,0.5426985027259239
7,7,sfa,0.43958393247088745
7,7,spartan,0.575114288008025
8,7,sax,0.5731656647053192
8,7,sfa,0.4691198192684064
8,7,spartan,0.6165425021729275
9,7,sax,0.5965153272695684
9,7,sfa,0.49685544623876404
9,7,spartan,0.6531975856936839
10,7,sax,0.6191267745327603
10,7,sfa,0.5083859452532845
10,7,spartan,0.6766565869230149
3,8,sax,0.2704569523083869
3,8,sfa,0.18936248178554946
3,8,spartan,0.24589193070125867
4,8,sax,0.39085826057334083
4,8,sfa,0.3047666959140313
4,8,spartan,0.3903794441313674
5,8,sax,0.46526682260152963
5,8,sfa,0.36883009198158534
5,8,spartan,0.4703157524746354
6,8,sax,0.5188682128816169
6,8,sfa,0.4126431936292785
6,8,spartan,0.53665278722411
7,8,sax,0.5581976697026823
7,8,sfa,0.4459152240026892
7,8,spartan,0.5794739646011806
8,8,sax,0.5862959729000605
8,8,sfa,0.47542547519958217
8,8,spartan,0.6210643529776739
9,8,sax,0.6159896157767956
9,8,sfa,0.5031187127437354
9,8,spartan,0.6576924351113423
10,8,sax,0.6371899278944984
10,8,sfa,0.514829364513989
10,8,spartan,0.6812300617971458
