a,w,method,tlb
3,2,sax,0.005692154307497476
3,2,sfa,0.05249613279103998
3,2,spartan,0.12815107510472487
4,2,sax,0.015043927685762588
4,2,sfa,0.09169289060565242
4,2,spartan,0.20208624420419324
5,2,sax,0.02109416851365216
5,2,sfa,0.11225228274625898
5,2,spartan,0.24228791021568252
6,2,sax,0.07667997033885333
6,2,sfa,0.1338836051901026
6,2,spartan,0.28024486859322906
7,2,sax,0.08057851397992682
7,2,sfa,0.14732720397723875
7,2,spartan,0.30361424090677813
8,2,sax,0.09109333271612693
8,2,sfa,0.1582102737551497
8,2,spartan,0.3294937229069792
9,2,sax,0.10782596562907588
9,2,sfa,0.1691747154346919
9,2,spartan,0.346405194767207
10,2,sax,0.11744846567063272
10,2,sfa,0.1737753025663109
10,2,spartan,0.3580246111788933
3,3,sax,0.02458931519997833
3,3,sfa,0.07562423559935805
3,3,spartan,0.16285991361623411
4,3,sax,0.05173936369559156
4,3,sfa,0.12177364230907814
4,3,spartan,0.2502943782261838
5,3,sax,0.09676083125413656
5,3,sfa,0.14647485035570687
5,3,spartan,0.30385554838101597
6,3,sax,0.1101789092244388
6,3,sfa,0.1724379855275251
6,3,spartan,0.3460149073510298
7,3,sax,0.13550546545321193
7,3,sfa,0.18700623552308374
7,3,spartan,0.3731535017343147
8,3,sax,0.15059627678121754
8,3,sfa,0.2012816601069023
8,3,spartan,0.3996865118038637
9,3,sax,0.17012488728727063
9,3,sfa,0.21421069384877295
9,3,spartan,0.4178920679646566
10,3,sax,0.184822696029677
10,3,sfa,0.22263484192080296
10,3,spartan,0.4324547386572075
3,4,sax,0.040571569374726855
3,4,sfa,0.09262588090546728
3,4,spartan,0.18824207236010415
4,4,sax,0.11131992875402491
4,4,sfa,0.1451593602352385
4,4,spartan,0.28809361384583276
5,4,sax,0.17372775315225386
5,4,sfa,0.17405380734672615
5,4,spartan,0.34875370405500833
6,4,sax,0.1824495528181094
6,4,sfa,0.20288932315598826
6,4,spartan,0.39349902780378315
7,4,sax,0.22198464965540451
7,4,sfa,0.21833375879622052
7,4,spartan,0.4242900010364238
8,4,sax,0.2363861422373177
8,4,sfa,0.23380261196551647
8,4,spartan,0.45107392613147057
9,4,sax,0.2597481052907653
9,4,sfa,0.24923537240719051
