a,w,method,tlb
3,2,sax,0.017139982339507445
3,2,sfa,0.05529837146243046
3,2,spartan,0.12964411867712536
4,2,sax,0.013992385289702338
4,2,sfa,0.12220238116904071
4,2,spartan,0.2509239646788631
5,2,sax,0.04301908122513462
5,2,sfa,0.16819320223676545
5,2,spartan,0.318072460328024
6,2,sax,0.06439292687655027
6,2,sfa,0.19895304554357418
6,2,spartan,0.36897603335767876
7,2,sax,0.10370132820167732
7,2,sfa,0.2215587927002999
7,2,spartan,0.41309904632913347
8,2,sax,0.09887534018492201
8,2,sfa,0.25280811688870536
8,2,spartan,0.4622221652367479
9,2,sax,0.12763583582171306
9,2,sfa,0.26510592007403616
9,2,spartan,0.48217532078313524
10,2,sax,0.1439008458084649
10,2,sfa,0.2774543291452371
10,2,spartan,0.49672780359574087
3,3,sax,0.061678062431184566
3,3,sfa,0.08748331187662411
3,3,spartan,0.17068359309156736
4,3,sax,0.10740193256645489
4,3,sfa,0.1673634055509315
4,3,spartan,0.30336326615996356
5,3,sax,0.14890723889183594
5,3,sfa,0.2214599875105786
5,3,spartan,0.3772557950007751
6,3,sax,0.18203363213283716
6,3,sfa,0.26880392565711503
6,3,spartan,0.43243513815480605
7,3,sax,0.21597558421211138
7,3,sfa,0.3150679622677079
7,3,spartan,0.47791157473039003
8,3,sax,0.22757038367421398
8,3,sfa,0.3569918467033412
8,3,spartan,0.5269808094912486
9,3,sax,0.23701445696657858
9,3,sfa,0.3784116789414678
9,3,spartan,0.550331067215217
10,3,sax,0.2618105819159861
10,3,sfa,0.3921073232975554
10,3,spartan,0.5656631822853222
3,4,sax,0.0904132879636755
3,4,sfa,0.10623864839491204
3,4,spartan,0.19319938549652238
4,4,sax,0.12829077788391613
4,4,sfa,0.1900829800828008
4,4,spartan,0.33136055758597793
5,4,sax,0.1633072290100692
5,4,sfa,0.2480005523805889
5,4,spartan,0.4104744645134694
6,4,sax,0.22980182951113545
6,4,sfa,0.29771686021314897
6,4,spartan,0.4705033749273018
7,4,sax,0.267186004490431
7,4,sfa,0.34249687330795686
7,4,spartan,0.5182216314729573
8,4,sax,0.2869505504124062
8,4,sfa,0.38627900542709614
8,4,spartan,0.5683192549252478
9,4,sax,0.3107368907129066
9,4,sfa,0.4091366666979806
9,4,spartan,0.5931249493883137
10,4,sax,0.33530671910255205
10,4,sfa,0.4243349111709651
10,4,spartan,0.609694672462736
3,5,sax,0.11622921588728957
3,5,sfa,0.13040522540571778
3,5,spartan,0.2125333918823503
4,5,sax,0.14672433208879657
4,5,sfa,0.22966453504072434
4,5,spartan,0.35387467522007904
5,5,sax,0.23465793426673878
5,5,sfa,0.29514274742314356
5,5,spartan,0.4345555020069162
6,5,sax,0.2822217883768009
6,5,sfa,0.34383660554974554
6,5,spartan,0.4954250821315059
7,5,sax,0.3117457138710098
7,5,sfa,0.39015835722833037
