a,w,method,tlb
3,2,sax,0.017139982339507448
3,2,sfa,0.05529837146243046
3,2,spartan,0.12964411867712536
4,2,sax,0.013992385289702336
4,2,sfa,0.12220238116904071
4,2,spartan,0.2509239646788631
5,2,sax,0.04301908122513462
5,2,sfa,0.16819320223676548
5,2,spartan,0.3180724603280239
6,2,sax,0.06439292687655025
6,2,sfa,0.19895304554357424
6,2,spartan,0.3689760333576787
7,2,sax,0.10370132820167728
7,2,sfa,0.22155879270029993
7,2,spartan,0.4130990463291335
8,2,sax,0.09887534018492201
8,2,sfa,0.25280811688870536
8,2,spartan,0.4622221652367479
9,2,sax,0.1276358358217131
9,2,sfa,0.2651059200740361
9,2,spartan,0.4821753207831351
10,2,sax,0.1439008458084649
10,2,sfa,0.2774543291452371
10,2,spartan,0.4967278035957409
3,3,sax,0.06167806243118457
3,3,sfa,0.08748331187662413
3,3,spartan,0.1706835930915674
4,3,sax,0.1074019325664549
4,3,sfa,0.16736340555093152
4,3,spartan,0.30336326615996356
5,3,sax,0.1489072388918359
5,3,sfa,0.22145998751057863
5,3,spartan,0.37725579500077505
6,3,sax,0.1820336321328372
6,3,sfa,0.268803925657115
6,3,spartan,0.43243513815480605
7,3,sax,0.21597558421211133
7,3,sfa,0.31506796226770784
7,3,spartan,0.4779115747303902
8,3,sax,0.22757038367421398
8,3,sfa,0.35699184670334116
8,3,spartan,0.5269808094912485
9,3,sax,0.23701445696657858
9,3,sfa,0.3784116789414677
9,3,spartan,0.5503310672152172
10,3,sax,0.26181058191598616
10,3,sfa,0.3921073232975554
10,3,spartan,0.5656631822853223
3,4,sax,0.09041328796367548
3,4,sfa,0.10623864839491204
3,4,spartan,0.19319938549652235
4,4,sax,0.12829077788391607
4,4,sfa,0.19008298008280083
4,4,spartan,0.33136055758597793
5,4,sax,0.16330722901006914
5,4,sfa,0.2480005523805889
5,4,spartan,0.4104744645134695
6,4,sax,0.2298018295111354
6,4,sfa,0.29771686021314897
6,4,spartan,0.4705033749273018
7,4,sax,0.2671860044904311
7,4,sfa,0.34249687330795686
7,4,spartan,0.5182216314729573
8,4,sax,0.2869505504124062
8,4,sfa,0.38627900542709614
8,4,spartan,0.568319254925248
9,4,sax,0.3107368907129066
9,4,sfa,0.4091366666979806
9,4,spartan,0.5931249493883138
10,4,sax,0.33530671910255205
10,4,sfa,0.42433491117096533
10,4,spartan,0.609694672462736
3,5,sax,0.11622921588728954
3,5,sfa,0.13040522540571778
3,5,spartan,0.21253339188235032
4,5,sax,0.1467243320887965
4,5,sfa,0.22966453504072437
4,5,spartan,0.3538746752200791
5,5,sax,0.23465793426673884
5,5,sfa,0.2951427474231435
5,5,spartan,0.43455550200691634
6,5,sax,0.28222178837680084
6,5,sfa,0.34383660554974554
6,5,spartan,0.4954250821315058
7,5,sax,0.3117457138710097
7,5,sfa,0.3901583572283304
7,5,spartan,0.5435960227056259
8,5,sax,0.32904167845668625
8,5,sfa,0.4271815233498466
8,5,spartan,0.5945531308290521
9,5,sax,0.364747834018068
9,5,sfa,0.44873478303780945
9,5,spartan,0.619756627603597
10,5,sax,0.3941700592174234
10,5,sfa,0.4638921760900636
10,5,spartan,0.6366004875278762
3,6,sax,0.1218806831827694
3,6,sfa,0.1463736324665565
3,6,spartan,0.21818155438142814
4,6,sax,0.18086923913264297
4,6,sfa,0.24979973650174594
4,6,spartan,0.3611378437333925
5,6,sax,0.2637701289132821
5,6,sfa,0.3170633165497826
5,6,spartan,0.44236055619265635
6,6,sax,0.3423997115599959
6,6,sfa,0.3688170628994132
6,6,spartan,0.504057977032201
7,6,sax,0.3789629855677065
7,6,sfa,0.41435823627557516
7,6,spartan,0.5531521399299933
8,6,sax,0.39151002886024155
8,6,sfa,0.45241386453792454
8,6,spartan,0.604439696224331
9,6,sax,0.4182037894761224
9,6,sfa,0.4737823307129051
9,6,spartan,0.630425815170945
10,6,sax,0.45291125318317377
10,6,sfa,0.48942446284982344
10,6,spartan,0.647469692000183
3,7,sax,0.1814571595365598
3,7,sfa,0.16647684264664658
3,7,spartan,0.22666402212391806
4,7,sax,0.23283641098544783
4,7,sfa,0.28719460199787966
4,7,spartan,0.3706423072816668
5,7,sax,0.3193765338125599
5,7,sfa,0.3633846577294008
5,7,spartan,0.452046324041402
6,7,sax,0.3779552745026158
6,7,sfa,0.4178804329712221
6,7,spartan,0.5142024135213752
7,7,sax,0.4178353564950741
7,7,sfa,0.47085772028975065
7,7,spartan,0.5630359640069456
8,7,sax,0.42828103188504524
8,7,sfa,0.515483934770554
8,7,spartan,0.6143533354171111
9,7,sax,0.46468124677765466
9,7,sfa,0.5385326703147891
9,7,spartan,0.6404127673460696
10,7,sax,0.49740064648746013
10,7,sfa,0.557656408438284
10,7,spartan,0.6579036366815669
3,8,sax,0.2025054000848039
3,8,sfa,0.16907324861807127
3,8,spartan,0.23356910045883367
4,8,sax,0.25715517171830693
4,8,sfa,0.28993351274043677
4,8,spartan,0.37889545500035327
5,8,sax,0.33478740537663143
5,8,sfa,0.36620627571230135
5,8,spartan,0.4605917562891176
6,8,sax,0.3946157869785542
6,8,sfa,0.4211053867085045
6,8,spartan,0.5235073489879399
7,8,sax,0.45692010266677563
7,8,sfa,0.4744515247893863
7,8,spartan,0.5728710125984905
8,8,sax,0.46545115896391814
8,8,sfa,0.5192605219852514
8,8,spartan,0.6243291857489852
9,8,sax,0.49017231928868077
9,8,sfa,0.5422643788480643
9,8,spartan,0.6505689079987169
10,8,sax,0.5306336336430616
10,8,sfa,0.5616076827197742
10,8,spartan,0.6681989702128329
