a,w,method,tlb
3,2,sax,0.017139982339507448
3,2,sfa,0.05529837146243047
3,2,spartan,0.1296441186771254
4,2,sax,0.013992385289702338
4,2,sfa,0.12220238116904067
4,2,spartan,0.25092396467886313
5,2,sax,0.04301908122513463
5,2,sfa,0.16819320223676545
5,2,spartan,0.3180724603280239
6,2,sax,0.06439292687655027
6,2,sfa,0.19895304554357418
6,2,spartan,0.36897603335767876
7,2,sax,0.10370132820167728
7,2,sfa,0.2215587927002999
7,2,spartan,0.41309904632913347
8,2,sax,0.09887534018492204
8,2,sfa,0.2528081168887053
8,2,spartan,0.462222165236748
9,2,sax,0.12763583582171303
9,2,sfa,0.26510592007403616
9,2,spartan,0.48217532078313524
10,2,sax,0.14390084580846496
10,2,sfa,0.27745432914523704
10,2,spartan,0.49672780359574087
3,3,sax,0.06167806243118457
3,3,sfa,0.08748331187662411
3,3,spartan,0.17068359309156736
4,3,sax,0.10740193256645489
4,3,sfa,0.16736340555093146
4,3,spartan,0.30336326615996356
5,3,sax,0.14890723889183596
5,3,sfa,0.2214599875105786
5,3,spartan,0.37725579500077505
6,3,sax,0.18203363213283716
6,3,sfa,0.2688039256571151
6,3,spartan,0.43243513815480605
7,3,sax,0.2159755842121114
7,3,sfa,0.3150679622677078
7,3,spartan,0.47791157473039003
8,3,sax,0.22757038367421403
8,3,sfa,0.35699184670334116
8,3,spartan,0.5269808094912486
9,3,sax,0.23701445696657852
9,3,sfa,0.37841167894146777
9,3,spartan,0.5503310672152172
10,3,sax,0.26181058191598616
10,3,sfa,0.39210732329755543
10,3,spartan,0.5656631822853222
3,4,sax,0.0904132879636755
3,4,sfa,0.10623864839491202
3,4,spartan,0.1931993854965223
4,4,sax,0.12829077788391613
4,4,sfa,0.1900829800828008
4,4,spartan,0.331360557585978
5,4,sax,0.1633072290100692
5,4,sfa,0.24800055238058896
5,4,spartan,0.4104744645134695
6,4,sax,0.22980182951113545
6,4,sfa,0.29771686021314897
6,4,spartan,0.4705033749273019
7,4,sax,0.2671860044904311
7,4,sfa,0.342496873307957
7,4,spartan,0.5182216314729573
8,4,sax,0.2869505504124062
8,4,sfa,0.386279005427096
8,4,spartan,0.5683192549252479
9,4,sax,0.3107368907129067
9,4,sfa,0.40913666669798077
9,4,spartan,0.593124949388314
10,4,sax,0.3353067191025521
10,4,sfa,0.4243349111709653
10,4,spartan,0.609694672462736
3,5,sax,0.11622921588728957
3,5,sfa,0.1304052254057178
3,5,spartan,0.21253339188235026
4,5,sax,0.14672433208879657
4,5,sfa,0.22966453504072434
4,5,spartan,0.35387467522007915
5,5,sax,0.2346579342667388
5,5,sfa,0.2951427474231435
5,5,spartan,0.4345555020069163
6,5,sax,0.2822217883768009
6,5,sfa,0.34383660554974554
6,5,spartan,0.4954250821315058
7,5,sax,0.3117457138710098
7,5,sfa,0.3901583572283304
7,5,spartan,0.543596022705626
8,5,sax,0.32904167845668625
8,5,sfa,0.4271815233498467
8,5,spartan,0.5945531308290524
9,5,sax,0.364747834018068
9,5,sfa,0.4487347830378096
9,5,spartan,0.6197566276035972
10,5,sax,0.39417005921742326
10,5,sfa,0.4638921760900636
10,5,spartan,0.6366004875278762
3,6,sax,0.1218806831827694
3,6,sfa,0.14637363246655646
3,6,spartan,0.21818155438142814
4,6,sax,0.180869239132643
4,6,sfa,0.24979973650174597
4,6,spartan,0.3611378437333925
5,6,sax,0.26377012891328205
5,6,sfa,0.3170633165497826
5,6,spartan,0.4423605561926564
6,6,sax,0.34239971155999593
6,6,sfa,0.3688170628994132
6,6,spartan,0.5040579770322009
7,6,sax,0.37896298556770663
7,6,sfa,0.41435823627557516
7,6,spartan,0.5531521399299932
8,6,sax,0.3915100288602417
8,6,sfa,0.45241386453792454
8,6,spartan,0.6044396962243311
9,6,sax,0.4182037894761225
9,6,sfa,0.4737823307129051
9,6,spartan,0.6304258151709448
10,6,sax,0.45291125318317366
10,6,sfa,0.4894244628498236
10,6,spartan,0.647469692000183
3,7,sax,0.1814571595365598
3,7,sfa,0.16647684264664653
3,7,spartan,0.22666402212391792
4,7,sax,0.2328364109854478
4,7,sfa,0.28719460199787966
4,7,spartan,0.37064230728166686
5,7,sax,0.3193765338125599
5,7,sfa,0.36338465772940076
5,7,spartan,0.452046324041402
6,7,sax,0.3779552745026158
6,7,sfa,0.4178804329712223
6,7,spartan,0.5142024135213754
7,7,sax,0.4178353564950739
7,7,sfa,0.47085772028975065
7,7,spartan,0.5630359640069457
8,7,sax,0.42828103188504524
8,7,sfa,0.5154839347705541
8,7,spartan,0.6143533354171111
9,7,sax,0.46468124677765466
9,7,sfa,0.5385326703147891
9,7,spartan,0.6404127673460697
10,7,sax,0.4974006464874601
10,7,sfa,0.5576564084382841
10,7,spartan,0.6579036366815666
3,8,sax,0.2025054000848038
3,8,sfa,0.16907324861807127
3,8,spartan,0.2335691004588335
4,8,sax,0.25715517171830704
4,8,sfa,0.2899335127404368
4,8,spartan,0.37889545500035327
5,8,sax,0.33478740537663126
5,8,sfa,0.3662062757123013
5,8,spartan,0.46059175628911764
6,8,sax,0.3946157869785542
6,8,sfa,0.4211053867085044
6,8,spartan,0.5235073489879398
7,8,sax,0.4569201026667756
7,8,sfa,0.4744515247893864
7,8,spartan,0.5728710125984905
8,8,sax,0.4654511589639181
8,8,sfa,0.5192605219852514
8,8,spartan,0.6243291857489853
9,8,sax,0.4901723192886809
9,8,sfa,0.5422643788480644
9,8,spartan,0.6505689079987168
10,8,sax,0.5306336336430615
10,8,sfa,0.5616076827197741
10,8,spartan,0.668198970212833
