a,w,method,tlb
3,2,sax,0.005511661065045899
3,2,sfa,0.044763847671302315
3,2,spartan,0.1644503033203215
4,2,sax,0.006888658202269604
4,2,sfa,0.08530422256451475
4,2,spartan,0.23825309516504198
5,2,sax,0.010448183992621839
5,2,sfa,0.10390421043698325
5,2,spartan,0.3113585624886048
6,2,sax,0.020504582544235317
6,2,sfa,0.12613444020601725
6,2,spartan,0.35174701756878624
7,2,sax,0.021910840623384123
7,2,sfa,0.1523239219537633
7,2,spartan,0.4105489659101452
8,2,sax,0.04103323624566236
8,2,sfa,0.16882631648059868
8,2,spartan,0.4416904316144392
9,2,sax,0.04803072412496831
9,2,sfa,0.17835782514110626
9,2,spartan,0.46670859870367576
10,2,sax,0.05366575449641434
10,2,sfa,0.18906979704902716
10,2,spartan,0.4853935380531764
3,3,sax,0.005
3,3,sfa,0.13025449333366163
3,3,spartan,0.2015166216914663
4,3,sax,0.027666355871432177
4,3,sfa,0.1874730456803586
4,3,spartan,0.28787068213360545
5,3,sax,0.02726344166182715
5,3,sfa,0.24563768951534226
5,3,spartan,0.3716659947856317
6,3,sax,0.057853551403036885
6,3,sfa,0.2822889962158662
6,3,spartan,0.4161330586619888
7,3,sax,0.07372977701266006
7,3,sfa,0.32160096850749126
7,3,spartan,0.4791968828212419
8,3,sax,0.082787825002007
8,3,sfa,0.3465745887604902
8,3,spartan,0.5144174581427343
9,3,sax,0.0907209237829653
9,3,sfa,0.37583626269659115
9,3,spartan,0.5419083019660217
10,3,sax,0.11575627667252475
10,3,sfa,0.3892591319842317
10,3,spartan,0.5633199881575357
3,4,sax,0.012551345535904443
3,4,sfa,0.1441682120067981
3,4,spartan,0.23583599121234242
4,4,sax,0.02677047488681921
4,4,sfa,0.20562979003876136
4,4,spartan,0.3345818688936559
5,4,sax,0.05032799041326429
5,4,sfa,0.267803169372189
5,4,spartan,0.4206396251684674
6,4,sax,0.054258460274027934
6,4,sfa,0.3052351604522242
6,4,spartan,0.46898240483074544
7,4,sax,0.07261903334463997
7,4,sfa,0.3465198769066004
7,4,spartan,0.5318077193047182
8,4,sax,0.09641499994992474
8,4,sfa,0.3704598358933619
8,4,spartan,0.5678606027885729
9,4,sax,0.09915010391797546
9,4,sfa,0.4014953242868509
9,4,spartan,0.5961670274501244
10,4,sax,0.13047498011691186
10,4,sfa,0.41561974793758427
10,4,spartan,0.6164561682319056
3,5,sax,0.03292414913525934
3,5,sfa,0.1744994372166662
3,5,spartan,0.24518190292203562
4,5,sax,0.13461826732244517
4,5,sfa,0.2559032037755854
4,5,spartan,0.3477558747841449
5,5,sax,0.16246729119847947
5,5,sfa,0.3190565376729445
5,5,spartan,0.4362060026202658
6,5,sax,0.20131234734059877
6,5,sfa,0.3578703782045765
6,5,spartan,0.48563827659163583
7,5,sax,0.23771720243421632
7,5,sfa,0.40629073731667925
7,5,spartan,0.5496242479647955
8,5,sax,0.28211147201932024
8,5,sfa,0.4339056299869504
8,5,spartan,0.5851114881025505
9,5,sax,0.29147202686666224
9,5,sfa,0.4585353641939865
9,5,spartan,0.6137156334292073
10,5,sax,0.3200550013617214
10,5,sfa,0.4809892181984168
10,5,spartan,0.6345883480990675
3,6,sax,0.13796630478630753
3,6,sfa,0.18280909381908625
3,6,spartan,0.25179201902514076
4,6,sax,0.114194367025734
4,6,sfa,0.2695063098390794
4,6,spartan,0.35559842211996845
5,6,sax,0.1799554463440451
5,6,sfa,0.33408579389445103
5,6,spartan,0.44552542467218753
6,6,sax,0.2555178423877439
6,6,sfa,0.3751409939137954
6,6,spartan,0.49548655204499226
7,6,sax,0.27366714738441816
7,6,sfa,0.42638425647460754
7,6,spartan,0.5600028585046969
8,6,sax,0.27035458680165975
8,6,sfa,0.455438522570169
8,6,spartan,0.5965856458572238
9,6,sax,0.31730939162850114
9,6,sfa,0.4827401752249456
9,6,spartan,0.625778571846562
10,6,sax,0.34939283032298174
10,6,sfa,0.5075966302642989
10,6,spartan,0.6467679353648317
3,7,sax,0.11688132149666283
3,7,sfa,0.1892169079838433
3,7,spartan,0.2585059034975366
4,7,sax,0.14341523109257506
4,7,sfa,0.274272093743784
4,7,spartan,0.36236407141433385
5,7,sax,0.19817651059163305
5,7,sfa,0.3406121804848678
5,7,spartan,0.4524845330819362
6,7,sax,0.26338115639148707
6,7,sfa,0.3778349038707703
6,7,spartan,0.502924616364313
7,7,sax,0.31338934980271504
7,7,sfa,0.4275544296514567
7,7,spartan,0.5680756676099888
8,7,sax,0.32215647525521773
8,7,sfa,0.4550629596316606
8,7,spartan,0.6045865918547931
9,7,sax,0.35348946006981885
9,7,sfa,0.4928462568300127
9,7,spartan,0.6345399388129481
10,7,sax,0.3828866566126377
10,7,sfa,0.5158078565539673
10,7,spartan,0.6556819792137789
3,8,sax,0.1476918380993788
3,8,sfa,0.190417263147271
3,8,spartan,0.2623110407279083
4,8,sax,0.22890662045158583
4,8,sfa,0.27635091893706193
4,8,spartan,0.3665960154977561
5,8,sax,0.2890306225614557
5,8,sfa,0.3437494556926719
5,8,spartan,0.4571337388819995
6,8,sax,0.319274984526577
6,8,sfa,0.38116806657879637
6,8,spartan,0.5080397735120636
7,8,sax,0.3643203577663986
7,8,sfa,0.43125161960868197
7,8,spartan,0.5727724954750723
8,8,sax,0.3960511824655435
8,8,sfa,0.4592753708962959
8,8,spartan,0.6092509039433679
9,8,sax,0.4135707406865312
9,8,sfa,0.49754537161775514
9,8,spartan,0.6398867056986776
10,8,sax,0.4518923784546223
10,8,sfa,0.5205704650203861
10,8,spartan,0.6607468328960344
