a,w,method,tlb
3,2,sax,0.004672897196261682
3,2,sfa,0.03847509392059687
3,2,spartan,0.10048958355895875
4,2,sax,0.004672897196261682
4,2,sfa,0.06701348250901618
4,2,spartan,0.17766752923961773
5,2,sax,0.004672897196261682
5,2,sfa,0.08446131638818971
5,2,spartan,0.22173598797082356
6,2,sax,0.00519067328812413
6,2,sfa,0.10087884515611106
6,2,spartan,0.259611260864058
7,2,sax,0.006303167446512983
7,2,sfa,0.11332168426785448
7,2,spartan,0.2822752162986489
8,2,sax,0.007426113261147907
8,2,sfa,0.12570066575846028
8,2,spartan,0.3061290414945266
9,2,sax,0.009139298934341221
9,2,sfa,0.1300533255790578
9,2,spartan,0.322122146528224
10,2,sax,0.013691373219608633
10,2,sfa,0.13476400941753872
10,2,spartan,0.3314279794905129
3,3,sax,0.004672897196261682
3,3,sfa,0.048338057460908544
3,3,spartan,0.13792207306227494
4,3,sax,0.005200463557554832
4,3,sfa,0.08161178822491919
4,3,spartan,0.2302463143970522
5,3,sax,0.00516508848675446
5,3,sfa,0.10301680868119797
5,3,spartan,0.2812385057695565
6,3,sax,0.010399362591106232
6,3,sfa,0.1203322585638688
6,3,spartan,0.3268602734152964
7,3,sax,0.019089388648002043
7,3,sfa,0.1325495707360606
7,3,spartan,0.35466971976679457
8,3,sax,0.02836651418494872
8,3,sfa,0.14607848722928568
8,3,spartan,0.3798833793704537
9,3,sax,0.027107204869077393
9,3,sfa,0.1510054031902911
9,3,spartan,0.3989010131102067
10,3,sax,0.040539585524332254
10,3,sfa,0.15744113454267003
10,3,spartan,0.4103308443137466
3,4,sax,0.004906770213675792
3,4,sfa,0.06002373296124254
3,4,spartan,0.16648989574932752
4,4,sax,0.0060404792860166
4,4,sfa,0.09608733952630416
4,4,spartan,0.2651089485329503
5,4,sax,0.012131158414822128
5,4,sfa,0.12077663812847687
5,4,spartan,0.32818371613088543
6,4,sax,0.017916353447770546
6,4,sfa,0.14144714383927404
6,4,spartan,0.37919349063035257
7,4,sax,0.03585132195701774
7,4,sfa,0.15387862383941778
7,4,spartan,0.40965409695883165
8,4,sax,0.04836989464910766
8,4,sfa,0.16809732457413723
8,4,spartan,0.43289122741094993
9,4,sax,0.0637806835958471
9,4,sfa,0.17403646502244327
9,4,spartan,0.4559827081238346
10,4,sax,0.07148857685775054
10,4,sfa,0.17993465103274367
10,4,spartan,0.46832786811184873
3,5,sax,0.005492785391117138
3,5,sfa,0.06542713031657614
3,5,spartan,0.18857487158932065
4,5,sax,0.005101258025042172
4,5,sfa,0.10178299975443049
4,5,spartan,0.2895295697822317
5,5,sax,0.016456686415925324
5,5,sfa,0.126817471118361
5,5,spartan,0.3577586494639485
6,5,sax,0.029310870484758948
6,5,sfa,0.15005915705895448
6,5,spartan,0.40700349392067636
7,5,sax,0.03672201963781139
7,5,sfa,0.16073643227448214
7,5,spartan,0.44026452920621717
8,5,sax,0.05936470944872103
8,5,sfa,0.175051896624811
8,5,spartan,0.4664636077350674
9,5,sax,0.07688531654388275
9,5,sfa,0.18130545568285805
9,5,spartan,0.4918550042011345
10,5,sax,0.09225588424403712
10,5,sfa,0.18812374643748497
10,5,spartan,0.5053382579435725
3,6,sax,0.006549379639824041
3,6,sfa,0.07851002477336898
3,6,spartan,0.2010084224484248
4,6,sax,0.006973851347845249
4,6,sfa,0.1188271880941421
4,6,spartan,0.3040931908309028
5,6,sax,0.02338195728021813
5,6,sfa,0.14647264224395024
5,6,spartan,0.37456786768914413
6,6,sax,0.04866517576520507
6,6,sfa,0.1698001171429981
6,6,spartan,0.4244738823292668
7,6,sax,0.06212301022721
7,6,sfa,0.1841317230093707
7,6,spartan,0.46021083397098794
8,6,sax,0.08827064593855605
8,6,sfa,0.19752079655527371
8,6,spartan,0.4876048024284387
9,6,sax,0.11570055820189357
9,6,sfa,0.204812806867359
9,6,spartan,0.5133657838378995
10,6,sax,0.12728549519255272
10,6,sfa,0.21226598904975244
10,6,spartan,0.5274532223707369
3,7,sax,0.0069088331716982004
3,7,sfa,0.08365712557112952
3,7,spartan,0.20769060247833313
4,7,sax,0.016386492529571625
4,7,sfa,0.1248594471721978
4,7,spartan,0.3136397398194799
5,7,sax,0.03110494803495496
5,7,sfa,0.15406021759705996
5,7,spartan,0.3856261613549023
6,7,sax,0.05550727466301888
6,7,sfa,0.1775724108981133
6,7,spartan,0.4372795232399954
7,7,sax,0.08139907809425369
7,7,sfa,0.19181078068208113
7,7,spartan,0.4732584417351147
8,7,sax,0.10778029658605537
8,7,sfa,0.20652995812373973
8,7,spartan,0.5019215627921756
9,7,sax,0.12837252408325864
9,7,sfa,0.21454473194624854
9,7,spartan,0.528542762618462
10,7,sax,0.15063290455149453
10,7,sfa,0.22275422412404583
10,7,spartan,0.542802920992892
3,8,sax,0.00741753269222112
3,8,sfa,0.08862782521279396
3,8,spartan,0.21679728122233563
4,8,sax,0.01700637293452011
4,8,sfa,0.13131745221994812
4,8,spartan,0.32570903621049846
5,8,sax,0.038185720933309825
5,8,sfa,0.16135949872039204
5,8,spartan,0.3982931664795893
