a,w,method,tlb
3,2,sax,0.0021598272138228943
3,2,sfa,0.03801959617668674
3,2,spartan,0.12312658795975379
4,2,sax,0.0023313842294131466
4,2,sfa,0.06569937626156037
4,2,spartan,0.22539293195383348
5,2,sax,0.0021598272138228943
5,2,sfa,0.08609540564225782
5,2,spartan,0.27720961818350076
6,2,sax,0.0032099282292639493
6,2,sfa,0.10446292904343443
6,2,spartan,0.3250459699766336
7,2,sax,0.0048690761392837035
7,2,sfa,0.11752698435922643
7,2,spartan,0.36417379720812193
8,2,sax,0.004659525302532488
8,2,sfa,0.1309199285932768
8,2,spartan,0.3974107612017506
9,2,sax,0.0059884261689737575
9,2,sfa,0.13900994841222652
9,2,spartan,0.41619418812381526
10,2,sax,0.00840475037936076
10,2,sfa,0.14467294366838465
10,2,spartan,0.43302699970820424
3,3,sax,0.007593392775532007
3,3,sfa,0.061006136212552076
3,3,spartan,0.14071557397836637
4,3,sax,0.030848723970408637
4,3,sfa,0.10249169149947872
4,3,spartan,0.2529871146996842
5,3,sax,0.03675210514615309
5,3,sfa,0.1300149485720912
5,3,spartan,0.31017689474440074
6,3,sax,0.05103344112778503
6,3,sfa,0.15275093309269552
6,3,spartan,0.3593181936578464
7,3,sax,0.06573645764578714
7,3,sfa,0.16968867444472324
7,3,spartan,0.39931049003057556
8,3,sax,0.08818299780293237
8,3,sfa,0.1843514906900807
8,3,spartan,0.43402891615538397
9,3,sax,0.10434539196021812
9,3,sfa,0.19463618764059404
9,3,spartan,0.45412469691250607
10,3,sax,0.12242710508112795
10,3,sfa,0.20085874940087747
10,3,spartan,0.4717739035786738
3,4,sax,0.005387857936274326
3,4,sfa,0.06549920378505897
3,4,spartan,0.16577943544903068
4,4,sax,0.02533001715232733
4,4,sfa,0.10905316812266758
4,4,spartan,0.29103788294440713
5,4,sax,0.026947814304197976
5,4,sfa,0.13822439954454913
5,4,spartan,0.35465543946617034
6,4,sax,0.047124682412769826
6,4,sfa,0.1622910138628103
6,4,spartan,0.40706194304230814
7,4,sax,0.06223018899194801
7,4,sfa,0.1796408833514097
