a,w,method,tlb
3,2,sax,0.0078125
3,2,sfa,0.0585023501394485
3,2,spartan,0.1333965845786273
4,2,sax,0.0078125
4,2,sfa,0.09627144669913545
4,2,spartan,0.22331722476966068
5,2,sax,0.0078125
5,2,sfa,0.13363981919252163
5,2,spartan,0.2756668414778542
6,2,sax,0.0078125
6,2,sfa,0.15181442276343468
6,2,spartan,0.3212622966972678
7,2,sax,0.0078125
7,2,sfa,0.17292703080383653
7,2,spartan,0.38358109066885737
8,2,sax,0.008834298095171528
8,2,sfa,0.18928971636528197
8,2,spartan,0.4206544640015245
9,2,sax,0.010030926209922564
9,2,sfa,0.2054561916644953
9,2,spartan,0.4488583394497631
10,2,sax,0.015451486474825783
10,2,sfa,0.21400815231672915
10,2,spartan,0.4747870939893491
3,3,sax,0.0078125
3,3,sfa,0.06369905038218342
3,3,spartan,0.1624172553004563
4,3,sax,0.0078125
4,3,sfa,0.10603243052092312
4,3,spartan,0.2699350192384605
5,3,sax,0.0078125
5,3,sfa,0.14004650878229274
5,3,spartan,0.3284219433256979
6,3,sax,0.0078125
6,3,sfa,0.16256180277712756
6,3,spartan,0.37173951143167583
7,3,sax,0.0078125
7,3,sfa,0.18591879063921032
7,3,spartan,0.4351828786053846
8,3,sax,0.0078125
8,3,sfa,0.2095999023522992
8,3,spartan,0.473364087147665
9,3,sax,0.007899941030725973
9,3,sfa,0.2233892623165744
9,3,spartan,0.5015470551076415
10,3,sax,0.009166745189069769
10,3,sfa,0.2306781752608008
10,3,spartan,0.5306929417946802
3,4,sax,0.0078125
3,4,sfa,0.09877858633262879
3,4,spartan,0.17882623680092952
4,4,sax,0.008504310765845517
4,4,sfa,0.152560139050249
4,4,spartan,0.29314362288806434
5,4,sax,0.011889344299767918
5,4,sfa,0.19481875858237505
5,4,spartan,0.355311732169871
6,4,sax,0.022333990424449994
6,4,sfa,0.22594207475553102
6,4,spartan,0.40251212513254386
7,4,sax,0.03303761868716226
7,4,sfa,0.25448064513714486
7,4,spartan,0.46419325606742357
8,4,sax,0.038832342225017816
8,4,sfa,0.2789743343437119
8,4,spartan,0.5013313496871763
9,4,sax,0.05765309230008872
9,4,sfa,0.2923215287696872
9,4,spartan,0.5317245170705891
10,4,sax,0.07197851162375285
10,4,sfa,0.30727127399704585
10,4,spartan,0.5614838279196581
3,5,sax,0.0078125
3,5,sfa,0.11028470969377939
3,5,spartan,0.19695306174776442
4,5,sax,0.010258577639032332
4,5,sfa,0.1662448804894108
4,5,spartan,0.3119446805902722
5,5,sax,0.017584083516954053
5,5,sfa,0.21181566931592188
5,5,spartan,0.37956114263173235
6,5,sax,0.01626039453461784
6,5,sfa,0.24640669026860257
6,5,spartan,0.42756496637417307
7,5,sax,0.02992418179632638
7,5,sfa,0.2765177963491029
7,5,spartan,0.4894420672062083
8,5,sax,0.05790017435954006
8,5,sfa,0.2964033425984256
8,5,spartan,0.5269108987982373
9,5,sax,0.05712053158668608
9,5,sfa,0.313046514490093
9,5,spartan,0.558689652082106
10,5,sax,0.09258256858585145
10,5,sfa,0.328486953700579
10,5,spartan,0.5875612407148376
3,6,sax,0.0078125
3,6,sfa,0.12251421425608658
3,6,spartan,0.20993475675052664
4,6,sax,0.0078125
4,6,sfa,0.18586753149324048
4,6,spartan,0.3266684610608329
5,6,sax,0.012819647386069697
5,6,sfa,0.23153013398637548
5,6,spartan,0.3983093846069612
6,6,sax,0.014103424117447153
6,6,sfa,0.26777481123339875
6,6,spartan,0.44572658493643125
7,6,sax,0.031889814694307274
7,6,sfa,0.3010312394176392
7,6,spartan,0.5093493550420894
8,6,sax,0.034960837657585356
8,6,sfa,0.32230399453903824
8,6,spartan,0.5481870270855667
9,6,sax,0.05495162705612608
9,6,sfa,0.33774782090263744
9,6,spartan,0.5800444865966725
10,6,sax,0.06794716794314822
10,6,sfa,0.353229541527719
10,6,spartan,0.610220824028992
3,7,sax,0.012443403604277922
3,7,sfa,0.13788651467866814
3,7,spartan,0.21691588379848542
4,7,sax,0.012525516624425397
4,7,sfa,0.20736573787696522
4,7,spartan,0.33718766565643005
5,7,sax,0.0375496210652703
5,7,sfa,0.25771721565681405
5,7,spartan,0.4103054213437366
6,7,sax,0.06647473322022507
6,7,sfa,0.29186601301851767
6,7,spartan,0.45816311246704094
7,7,sax,0.07833753623087603
7,7,sfa,0.3267652748108142
7,7,spartan,0.5239825482338603
8,7,sax,0.10772967434287756
8,7,sfa,0.3483924977358319
8,7,spartan,0.564476436323532
9,7,sax,0.12746523001074
9,7,sfa,0.36778413687253864
9,7,spartan,0.5971536723605562
10,7,sax,0.16075929872514555
10,7,sfa,0.3823016212396598
10,7,spartan,0.6269535148547626
3,8,sax,0.0078125
3,8,sfa,0.14625231553387102
3,8,spartan,0.22367686594544783
4,8,sax,0.01158316557543634
4,8,sfa,0.21833881972159871
4,8,spartan,0.3455031331337215
5,8,sax,0.018688313610216417
5,8,sfa,0.2682295826752329
5,8,spartan,0.4184474655923988
6,8,sax,0.02480020735804755
6,8,sfa,0.30351548953325014
6,8,spartan,0.4668408293448194
7,8,sax,0.054038731446654414
7,8,sfa,0.3393605503634837
7,8,spartan,0.5333433624978196
8,8,sax,0.05842511718400027
8,8,sfa,0.36267175742438573
8,8,spartan,0.5741909189355958
9,8,sax,0.08329246429949558
9,8,sfa,0.38232781186405174
9,8,spartan,0.6075956191806359
10,8,sax,0.10001132161496026
10,8,sfa,0.39646637708642607
10,8,spartan,0.6373395949021771
