a,w,method,tlb
3,2,sax,0.007835417490243062
3,2,sfa,0.056485182383016454
3,2,spartan,0.10315453919360332
4,2,sax,0.006289308176100629
4,2,sfa,0.09008650788468925
4,2,spartan,0.15975577753353318
5,2,sax,0.029274570457179745
5,2,sfa,0.11585293314071667
5,2,spartan,0.2029718421848023
6,2,sax,0.03184178240705261
6,2,sfa,0.12986238412591694
6,2,spartan,0.23986203787694055
7,2,sax,0.05876106915433874
7,2,sfa,0.1398214953485577
7,2,spartan,0.2607919247550368
8,2,sax,0.051843202387109835
8,2,sfa,0.14918500462473352
8,2,spartan,0.2741088500991743
9,2,sax,0.07207646527184386
9,2,sfa,0.15788080983904781
9,2,spartan,0.29729815076318783
10,2,sax,0.07720382428360908
10,2,sfa,0.16654947253967556
10,2,spartan,0.3100472250888057
3,3,sax,0.029149983884117204
3,3,sfa,0.0837736328573767
3,3,spartan,0.12723395413923502
4,3,sax,0.04924774152507928
4,3,sfa,0.13150540972002536
4,3,spartan,0.1975396642606643
5,3,sax,0.09466264445860179
5,3,sfa,0.16182102080061267
5,3,spartan,0.2460506699926844
6,3,sax,0.10345044633924518
6,3,sfa,0.17891705141053887
6,3,spartan,0.2960951172818893
7,3,sax,0.13348944048979286
7,3,sfa,0.19535284874076192
7,3,spartan,0.31665804582679585
8,3,sax,0.14478623104872157
8,3,sfa,0.2070987259612949
8,3,spartan,0.33227689263378385
9,3,sax,0.1626610291486579
9,3,sfa,0.2157545640418807
9,3,spartan,0.3550829450791582
10,3,sax,0.18035432309514143
10,3,sfa,0.22476420871050204
10,3,spartan,0.36987183441808147
3,4,sax,0.05203883671692649
3,4,sfa,0.09422481119851046
3,4,spartan,0.14630136606830194
4,4,sax,0.09708713124948472
4,4,sfa,0.15130417957342027
4,4,spartan,0.22512906149869988
5,4,sax,0.1547575748612159
5,4,sfa,0.18551759495375858
5,4,spartan,0.2757837727687536
6,4,sax,0.15576309099435218
6,4,sfa,0.20502874893490317
6,4,spartan,0.3265876181339267
7,4,sax,0.19344424686426026
7,4,sfa,0.22239221505577766
7,4,spartan,0.3528899919998164
8,4,sax,0.21209256653839134
8,4,sfa,0.23773276198333876
8,4,spartan,0.3695817926193809
9,4,sax,0.23221843969885114
9,4,sfa,0.24693841814163137
9,4,spartan,0.39185802790356467
10,4,sax,0.24646479401227323
10,4,sfa,0.25694157126082545
10,4,spartan,0.4070646500513531
3,5,sax,0.09356415774209954
3,5,sfa,0.10579888175244646
3,5,spartan,0.1578283375673374
4,5,sax,0.14037504930561936
4,5,sfa,0.16687039970203266
4,5,spartan,0.24166334067633402
5,5,sax,0.2138407167950945
5,5,sfa,0.20104749362376292
5,5,spartan,0.294457637127276
6,5,sax,0.23305651512297537
6,5,sfa,0.2223574284112807
6,5,spartan,0.34470721159233797
7,5,sax,0.25558167744652255
7,5,sfa,0.2429056948107033
7,5,spartan,0.3717828008751127
8,5,sax,0.2812020748830639
8,5,sfa,0.25722400230801834
8,5,spartan,0.39031892870139845
9,5,sax,0.2868966480497526
9,5,sfa,0.26632764644625373
9,5,spartan,0.4148923888915029
10,5,sax,0.30080353189633996
10,5,sfa,0.27702639928994877
10,5,spartan,0.4320518222317957
3,6,sax,0.1044248337912234
3,6,sfa,0.1122643012154673
3,6,spartan,0.17438895804699112
4,6,sax,0.16796233992523626
4,6,sfa,0.1774871696122188
4,6,spartan,0.26238164974130723
5,6,sax,0.23543232667849065
5,6,sfa,0.21441888283841942
5,6,spartan,0.3170359963969601
6,6,sax,0.2596617482413886
6,6,sfa,0.23657175608559267
6,6,spartan,0.3643821825569307
7,6,sax,0.28637385908597207
7,6,sfa,0.2584302372145805
7,6,spartan,0.3936056090076506
8,6,sax,0.3137117004214777
8,6,sfa,0.27371378719681927
8,6,spartan,0.4140546272780354
9,6,sax,0.3200853360802706
9,6,sfa,0.2824893051788067
9,6,spartan,0.4384998409805653
10,6,sax,0.3367138098205987
10,6,sfa,0.2944884753806435
10,6,spartan,0.4569341627960358
3,7,sax,0.12503714896257956
3,7,sfa,0.12122588960736504
3,7,spartan,0.1825918312607683
4,7,sax,0.17627352167914215
4,7,sfa,0.18626057815099936
4,7,spartan,0.27693521918867964
5,7,sax,0.2551727091886564
5,7,sfa,0.2237990776710974
5,7,spartan,0.33077792572205555
6,7,sax,0.2880788682759818
6,7,sfa,0.24723876119974297
6,7,spartan,0.38074998491644574
7,7,sax,0.3136918720537015
7,7,sfa,0.27095642485902577
7,7,spartan,0.4112038019373918
8,7,sax,0.3341387537677154
8,7,sfa,0.28481418052717034
8,7,spartan,0.43175305780375145
9,7,sax,0.3531875011974622
9,7,sfa,0.29427692005710304
9,7,spartan,0.45760296320985555
10,7,sax,0.36621286102175254
10,7,sfa,0.30609522637562064
10,7,spartan,0.4775191283223845
3,8,sax,0.1388183153883724
3,8,sfa,0.12637178811240604
3,8,spartan,0.19352082940489188
4,8,sax,0.2016293237975474
4,8,sfa,0.19181386293062647
4,8,spartan,0.2893822877181335
5,8,sax,0.2766555635853459
5,8,sfa,0.23070746052739052
5,8,spartan,0.3437756664803657
6,8,sax,0.301478919264758
6,8,sfa,0.25462017685691707
6,8,spartan,0.3957002018597593
7,8,sax,0.3324690920191887
7,8,sfa,0.2781783218423314
7,8,spartan,0.42683914848960264
8,8,sax,0.3598502134568852
8,8,sfa,0.2924420326865213
8,8,spartan,0.44929614555974434
9,8,sax,0.37232592748025556
9,8,sfa,0.30288196277889384
9,8,spartan,0.4741358878854108
10,8,sax,0.3842984013894865
10,8,sfa,0.3148913046496946
10,8,spartan,0.4934633054724485
