a,w,method,tlb
3,2,sax,0.005240896989303427
3,2,sfa,0.060526726808998794
3,2,spartan,0.09763656569897215
4,2,sax,0.00669955214041388
4,2,sfa,0.1006117557608056
4,2,spartan,0.19923074091349435
5,2,sax,0.006377247372201078
5,2,sfa,0.13847881429005449
5,2,spartan,0.2661773589108832
6,2,sax,0.013845837837279298
6,2,sfa,0.16935049408210914
6,2,spartan,0.32613003900277426
7,2,sax,0.01987259970332766
7,2,sfa,0.18945951196147176
7,2,spartan,0.3616532261091447
8,2,sax,0.01774461934306727
8,2,sfa,0.2111625735195148
8,2,spartan,0.40202822613250555
9,2,sax,0.02091706361667317
9,2,sfa,0.2202971003780076
9,2,spartan,0.4229360720139619
10,2,sax,0.028800152142348157
10,2,sfa,0.23156207028881318
10,2,spartan,0.4396467290175902
3,3,sax,0.023693033068289147
3,3,sfa,0.08142578063514448
3,3,spartan,0.1501915816790613
4,3,sax,0.041994609145100954
4,3,sfa,0.13646192643076446
4,3,spartan,0.2709380882644155
5,3,sax,0.07157224858894617
5,3,sfa,0.18126000811553605
5,3,spartan,0.34560878297243997
6,3,sax,0.10467125049744964
6,3,sfa,0.21541530987432786
6,3,spartan,0.4140291860808718
7,3,sax,0.1292818379038394
7,3,sfa,0.23754884505151694
7,3,spartan,0.45438805384428504
8,3,sax,0.14867965400202504
8,3,sfa,0.25802641023381934
8,3,spartan,0.4967284757490088
9,3,sax,0.17220455987203478
9,3,sfa,0.2702433899659831
9,3,spartan,0.5225893417621705
10,3,sax,0.19106358586949493
10,3,sfa,0.2852481668270637
10,3,spartan,0.541932548428257
3,4,sax,0.05806156887136722
3,4,sfa,0.09653692815366832
3,4,spartan,0.18027327232452298
4,4,sax,0.10365057654431753
4,4,sfa,0.16088199189340982
4,4,spartan,0.31365417929902784
5,4,sax,0.13917205293659837
5,4,sfa,0.21532446156889337
5,4,spartan,0.39582105749685287
6,4,sax,0.1839128998234079
6,4,sfa,0.2553384876334285
6,4,spartan,0.46633802301225463
7,4,sax,0.21196114511318975
7,4,sfa,0.2832844412171216
7,4,spartan,0.5111676353297041
8,4,sax,0.2326821173769399
8,4,sfa,0.308499945451621
8,4,spartan,0.5533560474092842
9,4,sax,0.2520576120848422
9,4,sfa,0.32615104849821147
9,4,spartan,0.5806563172334125
10,4,sax,0.27402612478425276
10,4,sfa,0.3420585668569515
10,4,spartan,0.6023620303039304
3,5,sax,0.06140236073914957
3,5,sfa,0.11145027568557837
