a,w,method,tlb
3,2,sax,0.04289140375529823
3,2,sfa,0.08342835474242803
3,2,spartan,0.12020887294842064
4,2,sax,0.08877801043130301
4,2,sfa,0.14338995329096568
4,2,spartan,0.22656705839047261
5,2,sax,0.12476093674620575
5,2,sfa,0.1882426893905785
5,2,spartan,0.3063474339045792
6,2,sax,0.10497697617488458
6,2,sfa,0.22841802701494335
6,2,spartan,0.3513675027444087
7,2,sax,0.14763558021346404
7,2,sfa,0.25779947453907553
7,2,spartan,0.3914747307633872
8,2,sax,0.18430212716044894
8,2,sfa,0.2751787461491463
8,2,spartan,0.4188387563975708
9,2,sax,0.2009439369473475
9,2,sfa,0.28987999038234286
9,2,spartan,0.43713267551037754
10,2,sax,0.22171674633658844
10,2,sfa,0.3029026997905016
10,2,spartan,0.45876774860113245
3,3,sax,0.09404338352501693
3,3,sfa,0.10802637585253135
3,3,spartan,0.17090707742930755
4,3,sax,0.1499492249619238
4,3,sfa,0.18342758823906932
4,3,spartan,0.29602741424589984
5,3,sax,0.19452273533152417
5,3,sfa,0.2326183640889971
5,3,spartan,0.38416857908129276
6,3,sax,0.2383837501470195
6,3,sfa,0.27208847672840464
6,3,spartan,0.4342133047362762
7,3,sax,0.27042063738985295
7,3,sfa,0.3033354548741655
7,3,spartan,0.47999574967392855
8,3,sax,0.30040830946674235
8,3,sfa,0.3179960345925537
8,3,spartan,0.5099159607760678
9,3,sax,0.31575492146140993
9,3,sfa,0.3341938692764132
9,3,spartan,0.5333440571681044
10,3,sax,0.333746791774998
10,3,sfa,0.3478472800001201
10,3,spartan,0.5544199457356029
3,4,sax,0.13420516497736729
3,4,sfa,0.13159112058617983
3,4,spartan,0.18546804258072994
4,4,sax,0.22950318252294202
4,4,sfa,0.2139404617661532
4,4,spartan,0.31911824012705386
5,4,sax,0.2821243483059494
5,4,sfa,0.2685777101012737
5,4,spartan,0.41024559509078856
6,4,sax,0.32526163898529986
6,4,sfa,0.31347361101833254
6,4,spartan,0.46248143260853236
7,4,sax,0.3645781838962225
7,4,sfa,0.3469207848321774
7,4,spartan,0.5071937139304206
8,4,sax,0.3952328540582761
8,4,sfa,0.3633086994155941
8,4,spartan,0.5392756993089259
9,4,sax,0.4276033637466823
9,4,sfa,0.38233672694423193
9,4,spartan,0.564193835230266
10,4,sax,0.4371658446933119
10,4,sfa,0.39610257299579743
10,4,spartan,0.5852485396433571
3,5,sax,0.16582464449914497
3,5,sfa,0.14028238476631835
3,5,spartan,0.1987383220210135
4,5,sax,0.2602957088742572
4,5,sfa,0.23193415306474088
4,5,spartan,0.33683780177047085
5,5,sax,0.31579218183175556
5,5,sfa,0.29070966737195103
5,5,spartan,0.43076001415824156
6,5,sax,0.36364493543596155
6,5,sfa,0.33909781977313536
6,5,spartan,0.4837396151671564
7,5,sax,0.4025328239564119
7,5,sfa,0.3742097564326138
7,5,spartan,0.529725873777693
8,5,sax,0.4333613267837497
8,5,sfa,0.3912747491727079
8,5,spartan,0.5626968307269529
9,5,sax,0.46071422612692337
9,5,sfa,0.41103820034012584
9,5,spartan,0.5891940262861715
10,5,sax,0.4812064156318971
10,5,sfa,0.4269568697464818
10,5,spartan,0.6109970461863574
3,6,sax,0.1720865231053664
3,6,sfa,0.14712270707303313
3,6,spartan,0.2082454539562596
4,6,sax,0.29301827530734287
4,6,sfa,0.24025969690882676
4,6,spartan,0.34754780589710976
5,6,sax,0.3457849985188801
5,6,sfa,0.301740615709402
5,6,spartan,0.44129770710030863
6,6,sax,0.3920267335719004
6,6,sfa,0.3512369848943601
6,6,spartan,0.49684337672771295
7,6,sax,0.43364226755203317
7,6,sfa,0.3864389224196492
7,6,spartan,0.5430245838075699
8,6,sax,0.47093920433573067
8,6,sfa,0.40371074955357833
8,6,spartan,0.5769414307708842
9,6,sax,0.4948992816865902
9,6,sfa,0.4242277611535639
9,6,spartan,0.6032350599244313
10,6,sax,0.5112716075742532
10,6,sfa,0.44024862546707855
10,6,spartan,0.6254375955607826
3,7,sax,0.19132858341876238
3,7,sfa,0.15897412709232264
3,7,spartan,0.21477256478971204
4,7,sax,0.3066856631712928
4,7,sfa,0.2534066498822806
4,7,spartan,0.35518336567542697
5,7,sax,0.36178861851609995
5,7,sfa,0.31550333834976824
5,7,spartan,0.4509973074117134
6,7,sax,0.4059912872093254
6,7,sfa,0.3669823885321363
6,7,spartan,0.5065437197535996
7,7,sax,0.45222860013852245
7,7,sfa,0.40133154230347995
7,7,spartan,0.5537614660105933
8,7,sax,0.48594316694315104
8,7,sfa,0.42125417293456136
8,7,spartan,0.5877271535401308
9,7,sax,0.5133274653297951
9,7,sfa,0.44031959637113693
9,7,spartan,0.6148029296417135
10,7,sax,0.5344006209099308
10,7,sfa,0.45612729113931444
10,7,spartan,0.6369953151148721
3,8,sax,0.19563159540334704
3,8,sfa,0.16360779760756783
3,8,spartan,0.2194621252660178
4,8,sax,0.3167077279217608
4,8,sfa,0.2584979738606087
4,8,spartan,0.36002672911672956
5,8,sax,0.37362946932511204
5,8,sfa,0.3221235459175036
5,8,spartan,0.456727503730112
6,8,sax,0.4247054951725366
6,8,sfa,0.3736257953709233
6,8,spartan,0.5125631936946703
7,8,sax,0.4692755785029409
7,8,sfa,0.4079190603261942
7,8,spartan,0.5601183664504871
8,8,sax,0.5011680006801635
8,8,sfa,0.4284459882063739
8,8,spartan,0.5948200346877939
9,8,sax,0.5306487079907186
9,8,sfa,0.4482243276684277
9,8,spartan,0.6219839057655051
10,8,sax,0.5542247855213398
10,8,sfa,0.4642860035634057
10,8,spartan,0.6443678346072176
