a,w,method,tlb
3,2,sax,0.050989733707037625
3,2,sfa,0.0829498464785595
3,2,spartan,0.12433226635850246
4,2,sax,0.08819396808639418
4,2,sfa,0.14192205373005137
4,2,spartan,0.22917736933354943
5,2,sax,0.1297521361397024
5,2,sfa,0.1893539776697063
5,2,spartan,0.3044630960485925
6,2,sax,0.11047284657337952
6,2,sfa,0.2374356901290375
6,2,spartan,0.3614491533843058
7,2,sax,0.15437675548129076
7,2,sfa,0.2604922256066598
7,2,spartan,0.393072978604769
8,2,sax,0.18677795415468945
8,2,sfa,0.27814065190923665
8,2,spartan,0.42338212157662564
9,2,sax,0.20904443205728618
9,2,sfa,0.2981866395925965
9,2,spartan,0.4414751048746018
10,2,sax,0.2262467474025305
10,2,sfa,0.31127446674627846
10,2,spartan,0.459417347580681
3,3,sax,0.10349425178824369
3,3,sfa,0.11108100592602244
3,3,spartan,0.16743805743569062
4,3,sax,0.15384584371728136
4,3,sfa,0.18438536152462928
4,3,spartan,0.2960652128650809
5,3,sax,0.2020677539525501
5,3,sfa,0.2368631229467653
5,3,spartan,0.376822545845003
6,3,sax,0.24850528124410773
6,3,sfa,0.2814989586661009
6,3,spartan,0.44094364998729707
7,3,sax,0.2778136246206393
7,3,sfa,0.3044714157542249
7,3,spartan,0.4829208774630253
8,3,sax,0.3081276119018663
8,3,sfa,0.3207791211575816
8,3,spartan,0.5153873509798411
9,3,sax,0.3270398765931435
9,3,sfa,0.3452855267179166
9,3,spartan,0.5355047524857226
10,3,sax,0.3413293083879075
10,3,sfa,0.3539667381272334
10,3,spartan,0.5547351367006627
3,4,sax,0.13749318983604136
3,4,sfa,0.12840017069620915
3,4,spartan,0.18117483237899687
4,4,sax,0.22959094456137993
4,4,sfa,0.21182267162375162
4,4,spartan,0.31578526595116096
5,4,sax,0.2799602304889925
5,4,sfa,0.26816987158762823
5,4,spartan,0.4017573694769029
6,4,sax,0.3257503082597827
6,4,sfa,0.31774492573847885
6,4,spartan,0.466754014400451
7,4,sax,0.36359659969986874
7,4,sfa,0.34481822291081604
7,4,spartan,0.5132077606013047
8,4,sax,0.3968303130599837
8,4,sfa,0.3623807613984545
8,4,spartan,0.5448493308144047
9,4,sax,0.42990604013421174
9,4,sfa,0.3876886168538558
9,4,spartan,0.5646480501276006
10,4,sax,0.43903166117400383
10,4,sfa,0.3993152509132238
10,4,spartan,0.5853956131203284
3,5,sax,0.17064694010205625
3,5,sfa,0.14040011061411606
3,5,spartan,0.1948052594086775
4,5,sax,0.26496454807510567
4,5,sfa,0.23261568041794134
4,5,spartan,0.33341665231154316
5,5,sax,0.31902043093453664
5,5,sfa,0.2911684928095599
5,5,spartan,0.4227643638668548
6,5,sax,0.37089786142614384
6,5,sfa,0.3481519277205907
6,5,spartan,0.48812639259545276
7,5,sax,0.41260092104695695
7,5,sfa,0.3741857142245963
7,5,spartan,0.5340499347674323
8,5,sax,0.4443048963073864
8,5,sfa,0.39705497893980446
8,5,spartan,0.5676787933141569
9,5,sax,0.4723096391252577
9,5,sfa,0.41995672780182397
9,5,spartan,0.5895520940135972
