a,w,method,tlb
3,2,sax,0.0006545059935035548
3,2,sfa,0.029950510800098362
3,2,spartan,0.1277954918476343
4,2,sax,0.0019109401094521002
4,2,sfa,0.05168636777778151
4,2,spartan,0.2193207158611121
5,2,sax,0.002646983293281092
5,2,sfa,0.06780758778328778
5,2,spartan,0.27053701532690133
6,2,sax,0.01155457729794582
6,2,sfa,0.08016806298776738
6,2,spartan,0.30818056524245807
7,2,sax,0.015316771551413148
7,2,sfa,0.0888277055034766
7,2,spartan,0.33559869771634254
8,2,sax,0.021629529360052326
8,2,sfa,0.09558788572656048
8,2,spartan,0.3583205570830442
9,2,sax,0.02635698000847386
9,2,sfa,0.10109510760780271
9,2,spartan,0.3749317282859984
10,2,sax,0.03543282696886636
10,2,sfa,0.10612601864241017
10,2,spartan,0.3882692348463777
3,3,sax,0.0015732248203063157
3,3,sfa,0.03994403511858396
3,3,spartan,0.1853860449118558
4,3,sax,0.013986488185064646
4,3,sfa,0.06968799259824261
4,3,spartan,0.28203979970912973
5,3,sax,0.029426976945958305
5,3,sfa,0.09015281828488582
5,3,spartan,0.33920912485175997
6,3,sax,0.03491464825627686
6,3,sfa,0.1053300091673992
6,3,spartan,0.38001901735206656
7,3,sax,0.050144690049099376
7,3,sfa,0.1159243272657236
7,3,spartan,0.409637495768508
8,3,sax,0.06407417785957745
8,3,sfa,0.12443290959709799
8,3,spartan,0.43554480066453277
9,3,sax,0.07350520438966794
9,3,sfa,0.1312785649685918
9,3,spartan,0.45386084695614487
10,3,sax,0.08637725472889568
10,3,sfa,0.13684574484362177
10,3,spartan,0.4686447162335518
3,4,sax,0.00854611329569701
3,4,sfa,0.048376506004651695
3,4,spartan,0.21236536340175782
4,4,sax,0.047085440659221836
4,4,sfa,0.08185304842589705
4,4,spartan,0.31891356132278137
5,4,sax,0.07801197590096443
5,4,sfa,0.10425941304004029
5,4,spartan,0.3828543803878322
6,4,sax,0.09503776576941937
6,4,sfa,0.12151711602366909
6,4,spartan,0.4275473026500511
7,4,sax,0.11907445013388535
7,4,sfa,0.133541356632359
7,4,spartan,0.4600191958128644
8,4,sax,0.1329766789042728
8,4,sfa,0.14311604430376637
8,4,spartan,0.4867492339565812
9,4,sax,0.1466143211575386
9,4,sfa,0.1506825381496588
9,4,spartan,0.5071832321347559
10,4,sax,0.16133802975276826
10,4,sfa,0.15682606423172046
10,4,spartan,0.5236320374381475
3,5,sax,0.022973860484852913
3,5,sfa,0.0645414091094785
3,5,spartan,0.23665810762134185
4,5,sax,0.08401040839159038
4,5,sfa,0.10600313106547007
4,5,spartan,0.35014774984423286
5,5,sax,0.12719641607659646
5,5,sfa,0.13422910925313108
5,5,spartan,0.41846007933702456
6,5,sax,0.1398259853864711
6,5,sfa,0.15634460281208143
6,5,spartan,0.4665105681396213
7,5,sax,0.16653719546070955
7,5,sfa,0.17326414708242585
7,5,spartan,0.5016785746701258
8,5,sax,0.18533776244681516
8,5,sfa,0.18590469829872422
8,5,spartan,0.5311853403445095
9,5,sax,0.20037818222506237
9,5,sfa,0.19479712690767118
9,5,spartan,0.5531470038663848
10,5,sax,0.21486777029168175
10,5,sfa,0.20227505275606725
10,5,spartan,0.5706427738383413
3,6,sax,0.03578342792759428
3,6,sfa,0.07708024572296734
3,6,spartan,0.25133859779393575
4,6,sax,0.10779614100278401
4,6,sfa,0.13144642937629444
4,6,spartan,0.3687014893588433
5,6,sax,0.1616048969272069
5,6,sfa,0.16603506435095647
5,6,spartan,0.4396766752062645
6,6,sax,0.18626171911437978
6,6,sfa,0.19149032252823633
6,6,spartan,0.489711583139841
7,6,sax,0.21183468170763498
7,6,sfa,0.21030706967051696
7,6,spartan,0.526554725973736
8,6,sax,0.23392715317905896
8,6,sfa,0.22553448597041997
8,6,spartan,0.5575201642840135
9,6,sax,0.2498688877410624
9,6,sfa,0.2361226989487603
9,6,spartan,0.5805144535960942
10,6,sax,0.26239873048808343
10,6,sfa,0.24446867935115396
10,6,spartan,0.5988961272457085
3,7,sax,0.03750797715588988
3,7,sfa,0.09296445568924397
3,7,spartan,0.25947624971930605
4,7,sax,0.12076604470085893
4,7,sfa,0.15624751235935574
4,7,spartan,0.3793086171255986
5,7,sax,0.18559836250482137
5,7,sfa,0.19381938964048948
5,7,spartan,0.45251950390649187
6,7,sax,0.20984539065448962
6,7,sfa,0.2223878770370543
6,7,spartan,0.5040839307982657
7,7,sax,0.23794916411831207
7,7,sfa,0.2435508101715909
7,7,spartan,0.5421838857581295
8,7,sax,0.26511964681972117
8,7,sfa,0.2611246758693831
8,7,spartan,0.5738070596485414
9,7,sax,0.2801223177324292
9,7,sfa,0.27352792060403186
9,7,spartan,0.597319411568521
10,7,sax,0.29453601479420594
10,7,sfa,0.28307115497186125
10,7,spartan,0.616486933315771
3,8,sax,0.05315076968413851
3,8,sfa,0.09879891048759855
3,8,spartan,0.2672772321781439
4,8,sax,0.1377553512681412
4,8,sfa,0.1643002007839802
4,8,spartan,0.38897034670439895
5,8,sax,0.21011632088400098
5,8,sfa,0.2038685144236072
5,8,spartan,0.46354753820783046
6,8,sax,0.2374736232645752
6,8,sfa,0.23364854367984764
6,8,spartan,0.5160548444090246
7,8,sax,0.2704805654406938
7,8,sfa,0.2558101341633853
7,8,spartan,0.5549783504977752
8,8,sax,0.2999954375704114
8,8,sfa,0.2741386784309758
8,8,spartan,0.5870012390655053
9,8,sax,0.3162599516207286
9,8,sfa,0.28738812205050734
9,8,spartan,0.6110552892386293
10,8,sax,0.33235572523949886
10,8,sfa,0.29763713773398975
10,8,spartan,0.6307723438979503
