a,w,method,tlb
3,2,sax,0.0009124087591240876
3,2,sfa,0.04249911253821674
3,2,spartan,0.12423684701193005
4,2,sax,0.0010023362852369004
4,2,sfa,0.10066639810934419
4,2,spartan,0.22745437105128039
5,2,sax,0.0009124087591240876
5,2,sfa,0.13512120290839347
5,2,spartan,0.2923847164193052
6,2,sax,0.0024618527192935592
6,2,sfa,0.20237469870770888
6,2,spartan,0.33738954613215044
7,2,sax,0.004080534328850548
7,2,sfa,0.23172443286785965
7,2,spartan,0.3907404299965521
8,2,sax,0.004310423648427237
8,2,sfa,0.2486352959785651
8,2,spartan,0.4243529490144554
9,2,sax,0.011458210067189584
9,2,sfa,0.25793518246535346
9,2,spartan,0.4483716427422623
10,2,sax,0.011640261616676105
10,2,sfa,0.2737829864223007
10,2,spartan,0.4765893174627145
3,3,sax,0.0053197761304340395
3,3,sfa,0.08767129908487659
3,3,spartan,0.1567918429151175
4,3,sax,0.03039538445819421
4,3,sfa,0.15313051944436717
4,3,spartan,0.27001114653441877
5,3,sax,0.0547044352638357
5,3,sfa,0.20320134866089995
5,3,spartan,0.34348334189338964
6,3,sax,0.05072660323106138
6,3,sfa,0.26942540049048974
6,3,spartan,0.3947187671762231
7,3,sax,0.0685959117293596
7,3,sfa,0.31218888986954335
7,3,spartan,0.4506822052118422
8,3,sax,0.08980583849278598
8,3,sfa,0.3371958635337699
8,3,spartan,0.48854470528336136
9,3,sax,0.11089535673354882
9,3,sfa,0.3595547509436412
9,3,spartan,0.513662721615348
10,3,sax,0.1174246967280639
10,3,sfa,0.37311155589305833
10,3,spartan,0.5434286042362203
3,4,sax,0.021801382595223597
3,4,sfa,0.0986616531093135
3,4,spartan,0.18040068564511932
4,4,sax,0.047033601060843366
4,4,sfa,0.1693416722209279
4,4,spartan,0.2996446967616226
5,4,sax,0.08831184567304298
5,4,sfa,0.22250756951279263
5,4,spartan,0.3766166288948133
6,4,sax,0.1290200637801055
6,4,sfa,0.29147448265895803
6,4,spartan,0.43131770678109926
7,4,sax,0.16159873471962066
7,4,sfa,0.33762013133173613
7,4,spartan,0.48873659939347625
8,4,sax,0.18369852572720516
8,4,sfa,0.3637120721087315
8,4,spartan,0.5273125879115111
9,4,sax,0.21088286522284783
9,4,sfa,0.38766409446867167
9,4,spartan,0.5539217797363466
10,4,sax,0.2302756268173239
10,4,sfa,0.40300053746293446
10,4,spartan,0.5840816570658425
3,5,sax,0.025225665828568618
3,5,sfa,0.11079711050946695
3,5,spartan,0.19356155585786305
4,5,sax,0.07633885307160233
4,5,sfa,0.18864438837393294
4,5,spartan,0.31517275291783275
5,5,sax,0.13532434596683138
5,5,sfa,0.2431899130898457
5,5,spartan,0.39290651053127074
6,5,sax,0.15414615325458367
6,5,sfa,0.31053006831998287
6,5,spartan,0.44837707169795743
7,5,sax,0.17319761515131787
7,5,sfa,0.3547221424803742
7,5,spartan,0.5061485420916696
8,5,sax,0.19278043808815878
8,5,sfa,0.3735367994054746
8,5,spartan,0.5451803516916235
9,5,sax,0.23154408381217542
9,5,sfa,0.3967760834219617
9,5,spartan,0.5720918681451626
10,5,sax,0.26419014409097313
10,5,sfa,0.4102745695187683
10,5,spartan,0.6022886324334873
3,6,sax,0.023277895180481695
3,6,sfa,0.11680950284267966
3,6,spartan,0.2017834571875679
4,6,sax,0.08149831386136713
4,6,sfa,0.19748002302687476
4,6,spartan,0.32612051687185145
5,6,sax,0.14714056031724768
5,6,sfa,0.25346932849450526
5,6,spartan,0.40466294606276915
6,6,sax,0.17201626537577136
6,6,sfa,0.3208031711194245
6,6,spartan,0.46083980982568806
7,6,sax,0.19946540368510618
7,6,sfa,0.36539153091487786
