a,w,method,tlb
3,2,sax,0.0013670815056630453
3,2,sfa,0.038140466420775884
3,2,spartan,0.03963463498999708
4,2,sax,0.0020494254742217583
4,2,sfa,0.06025273985281166
4,2,spartan,0.07646812957571826
5,2,sax,0.003175321217605429
5,2,sfa,0.07339055274782698
5,2,spartan,0.11009935615099907
6,2,sax,0.004616760498564174
6,2,sfa,0.08364524832223579
6,2,spartan,0.12811947288549397
7,2,sax,0.011215453852224114
7,2,sfa,0.09167740154891281
7,2,spartan,0.14111902037095425
8,2,sax,0.009451421023226929
8,2,sfa,0.09646418059760806
8,2,spartan,0.1505550104169377
9,2,sax,0.03323915709284318
9,2,sfa,0.10069299236488272
9,2,spartan,0.1623995737368959
10,2,sax,0.017147615871898052
10,2,sfa,0.10482821634987245
10,2,spartan,0.17037537921337098
3,3,sax,0.0015914526638463506
3,3,sfa,0.04966473017028059
3,3,spartan,0.04911535518810248
4,3,sax,0.007086639538283643
4,3,sfa,0.07672666942351059
4,3,spartan,0.09412911622178785
5,3,sax,0.012459827827044835
5,3,sfa,0.09234615793608585
5,3,spartan,0.13297905024498483
6,3,sax,0.022370061649225326
6,3,sfa,0.10434103710084336
6,3,spartan,0.15415603588821813
7,3,sax,0.04429097329282257
7,3,sfa,0.1132301067602412
7,3,spartan,0.17272031710842567
8,3,sax,0.06218422223218613
8,3,sfa,0.11939391290978854
8,3,spartan,0.18338187237018175
9,3,sax,0.0758065877177851
9,3,sfa,0.12387613696874901
9,3,spartan,0.19561595573988774
10,3,sax,0.07427016036661686
10,3,sfa,0.1289313216541615
10,3,spartan,0.2053971562395605
3,4,sax,0.003134566016019142
3,4,sfa,0.06261265743407386
3,4,spartan,0.059837891289095044
4,4,sax,0.027466100674301355
4,4,sfa,0.09462446943875112
4,4,spartan,0.1079744351598293
5,4,sax,0.024230783194489597
5,4,sfa,0.1133375601285396
5,4,spartan,0.14893246561576742
6,4,sax,0.09101293601981963
6,4,sfa,0.12686924634552785
6,4,spartan,0.17254959750104415
7,4,sax,0.07128286400407709
7,4,sfa,0.1365355109091963
7,4,spartan,0.19240714804746895
8,4,sax,0.10829257152769722
8,4,sfa,0.14407048694092978
8,4,spartan,0.20684088537324974
9,4,sax,0.12943127085460365
9,4,sfa,0.14950066064148596
9,4,spartan,0.22063867643294646
10,4,sax,0.12267443951219796
10,4,sfa,0.15561835394663942
10,4,spartan,0.2320786394122765
3,5,sax,0.0045035446111024065
3,5,sfa,0.07369714360977114
3,5,spartan,0.07532945191772629
4,5,sax,0.07351694092440643
4,5,sfa,0.10983093005679076
4,5,spartan,0.12776331606205366
5,5,sax,0.037638699385832926
5,5,sfa,0.12976032640271115
5,5,spartan,0.17383278331015747
6,5,sax,0.1215610919412725
6,5,sfa,0.1442902146223774
6,5,spartan,0.19863309086112615
7,5,sax,0.11521305521550682
7,5,sfa,0.15508993273855298
7,5,spartan,0.220402779420307
8,5,sax,0.1412312888092372
8,5,sfa,0.16265129058188915
8,5,spartan,0.23443115775090115
9,5,sax,0.1605653623120661
9,5,sfa,0.169290546555336
9,5,spartan,0.25001377366148936
10,5,sax,0.15888074217100082
10,5,sfa,0.17550724423212616
10,5,spartan,0.2624497652646551
3,6,sax,0.0045904579453008385
3,6,sfa,0.08246327620722954
3,6,spartan,0.08682614300780671
4,6,sax,0.1259891459259752
4,6,sfa,0.12111723545148927
4,6,spartan,0.14235115789022584
5,6,sax,0.08557510120601837
5,6,sfa,0.14326604078698432
5,6,spartan,0.19009057855858072
6,6,sax,0.14951054851693374
6,6,sfa,0.15831873076956324
6,6,spartan,0.21717685434424047
7,6,sax,0.14857539659190488
7,6,sfa,0.1703051984400411
7,6,spartan,0.23967490835813998
8,6,sax,0.17806245469299498
8,6,sfa,0.17875405915730352
8,6,spartan,0.25548873943752076
9,6,sax,0.20059217982546673
9,6,sfa,0.18584157394445733
9,6,spartan,0.2713071381764851
10,6,sax,0.19883945272601306
10,6,sfa,0.19218932599089844
10,6,spartan,0.28478517347603904
3,7,sax,0.0057675986790543
3,7,sfa,0.08986057425811284
3,7,spartan,0.09638157037834831
4,7,sax,0.15015134804366764
4,7,sfa,0.13198350126052308
4,7,spartan,0.15513179901470578
5,7,sax,0.11638789504443803
5,7,sfa,0.1557486451325136
5,7,spartan,0.20389143269909374
6,7,sax,0.1899524188878708
6,7,sfa,0.17187993249188938
6,7,spartan,0.2337798083661671
7,7,sax,0.17330457280021544
7,7,sfa,0.18428889486965022
7,7,spartan,0.25692466139637005
8,7,sax,0.20537987621768222
8,7,sfa,0.19327838128187388
8,7,spartan,0.27300206404962535
9,7,sax,0.22956601118990952
9,7,sfa,0.20091675317270413
9,7,spartan,0.2902945266724693
10,7,sax,0.22530327233365177
10,7,sfa,0.20780534239880544
10,7,spartan,0.30463016916546787
3,8,sax,0.0049741146213841785
3,8,sfa,0.0959387283776595
3,8,spartan,0.10677921438153955
4,8,sax,0.15789656469497063
4,8,sfa,0.13985908563215566
4,8,spartan,0.1691069767456754
5,8,sax,0.12792271094900448
5,8,sfa,0.1651000899247106
5,8,spartan,0.21995641944824246
6,8,sax,0.2015609975484385
6,8,sfa,0.1821897676375669
6,8,spartan,0.2509692849943152
7,8,sax,0.1998540679562476
7,8,sfa,0.1955188393631408
7,8,spartan,0.27569234336455667
8,8,sax,0.2270741774331218
8,8,sfa,0.20480956458042704
8,8,spartan,0.29239912279329217
9,8,sax,0.2455430984766607
9,8,sfa,0.2128010491117421
9,8,spartan,0.309582001256501
10,8,sax,0.24178339722408215
10,8,sfa,0.2199481586057295
10,8,spartan,0.323900160344873
