a,w,method,tlb
3,2,sax,0.006993006993006993
3,2,sfa,0.0576813567825371
3,2,spartan,0.1314367624610767
4,2,sax,0.013719202379961895
4,2,sfa,0.09036532831633903
4,2,spartan,0.19899077051350605
5,2,sax,0.025527780311334663
5,2,sfa,0.12483616592803501
5,2,spartan,0.25406860008862264
6,2,sax,0.041819813405677614
6,2,sfa,0.14328168190618198
6,2,spartan,0.2982009336380436
7,2,sax,0.06391657438676163
7,2,sfa,0.15327259974626284
7,2,spartan,0.321157936622146
8,2,sax,0.0554241535140413
8,2,sfa,0.1632844578002053
8,2,spartan,0.3390829951089122
9,2,sax,0.07006884329021103
9,2,sfa,0.17515532372548953
9,2,spartan,0.36758928214574915
10,2,sax,0.08383079015802579
10,2,sfa,0.1963821114984053
10,2,spartan,0.37742441607061067
3,3,sax,0.026984464057732346
3,3,sfa,0.07336750702945016
3,3,spartan,0.1637927220969187
4,3,sax,0.06553469758509858
4,3,sfa,0.11913348519028213
4,3,spartan,0.24133029068429282
5,3,sax,0.10237651052672653
5,3,sfa,0.15857502117695493
5,3,spartan,0.3031203396839532
6,3,sax,0.1256675088337411
6,3,sfa,0.18016291775986107
6,3,spartan,0.35153721998121007
7,3,sax,0.13743287752850764
7,3,sfa,0.1956442370507295
7,3,spartan,0.37712112499048506
8,3,sax,0.1534161234931079
8,3,sfa,0.20786216128929455
8,3,spartan,0.39683401158601495
9,3,sax,0.1772960964179351
9,3,sfa,0.22199399343042753
9,3,spartan,0.426688363084802
10,3,sax,0.19064027017007504
10,3,sfa,0.24465900639509816
10,3,spartan,0.43637405445779043
3,4,sax,0.03284439313492663
3,4,sfa,0.0966828198766373
3,4,spartan,0.18055307706928864
4,4,sax,0.09790154584833545
4,4,sfa,0.14833994507106893
4,4,spartan,0.2643664338206844
5,4,sax,0.14750840064289816
5,4,sfa,0.18989158180998705
5,4,spartan,0.32906545847208835
6,4,sax,0.18390143420724706
6,4,sfa,0.21289101185803735
6,4,spartan,0.383742779220725
7,4,sax,0.21014549330845225
