a,w,method,tlb
3,2,sax,0.0004166666666666667
3,2,sfa,0.04614230733766656
3,2,spartan,0.151864558889118
4,2,sax,0.0004166666666666667
4,2,sfa,0.08344808160021404
4,2,spartan,0.2852662207230141
5,2,sax,0.0004166666666666667
5,2,sfa,0.10803146226195377
5,2,spartan,0.3719241368386215
6,2,sax,0.0004166666666666667
6,2,sfa,0.1245802452908641
6,2,spartan,0.3983649291040514
7,2,sax,0.0004166666666666667
7,2,sfa,0.13697229578085088
7,2,spartan,0.4324128574699198
8,2,sax,0.0004307581023566772
8,2,sfa,0.14718097757486448
8,2,spartan,0.4655748608202718
9,2,sax,0.0004166666666666667
9,2,sfa,0.15690671929649233
9,2,spartan,0.4913487028514626
10,2,sax,0.001048979117506415
10,2,sfa,0.16181136377673339
10,2,spartan,0.5044279293931377
3,3,sax,0.0004166666666666667
3,3,sfa,0.05798510673058892
3,3,spartan,0.19561830441741476
4,3,sax,0.0004166666666666667
4,3,sfa,0.09893715190780573
4,3,spartan,0.3412764685632744
5,3,sax,0.0004166666666666667
5,3,sfa,0.12962648476507063
5,3,spartan,0.4323999262995369
6,3,sax,0.0004166666666666667
6,3,sfa,0.1479335522377641
6,3,spartan,0.4607897447246115
7,3,sax,0.0012645813021954627
7,3,sfa,0.16315784851609325
7,3,spartan,0.4962577542697709
8,3,sax,0.0005930269670662888
8,3,sfa,0.17532174567215
8,3,spartan,0.5312453262992646
9,3,sax,0.0006772665630994925
9,3,sfa,0.18552460466206866
9,3,spartan,0.5627824746946668
10,3,sax,0.02279822237966089
10,3,sfa,0.1917626854727664
10,3,spartan,0.575476115150992
3,4,sax,0.0004166666666666667
3,4,sfa,0.07630548074499297
3,4,spartan,0.20995643026887878
4,4,sax,0.0004166666666666667
4,4,sfa,0.12124895671348634
4,4,spartan,0.3632946613208648
5,4,sax,0.0004166666666666667
5,4,sfa,0.1551497923497665
5,4,spartan,0.4559845913007982
6,4,sax,0.0004166666666666667
6,4,sfa,0.17611488749239992
6,4,spartan,0.4850380507675989
7,4,sax,0.002835520452436228
7,4,sfa,0.1925861101998935
7,4,spartan,0.5210848880039455
8,4,sax,0.0006825394153533468
8,4,sfa,0.2055986910615147
8,4,spartan,0.5561374890966665
9,4,sax,0.002298020508915644
9,4,sfa,0.21704935740264228
9,4,spartan,0.588251271173301
10,4,sax,0.01282897276353545
10,4,sfa,0.22362667370624834
10,4,spartan,0.6006709898557465
3,5,sax,0.0004166666666666667
3,5,sfa,0.08383411450385758
3,5,spartan,0.2202545333415382
4,5,sax,0.0004166666666666667
4,5,sfa,0.13245306455162728
4,5,spartan,0.37586954371709136
5,5,sax,0.003361318608665222
5,5,sfa,0.16524418068056343
5,5,spartan,0.4696627477368362
6,5,sax,0.0031869880603787835
6,5,sfa,0.18640743312524666
6,5,spartan,0.5000307967679086
7,5,sax,0.023086838444882577
7,5,sfa,0.2027293796052782
7,5,spartan,0.5370428822951532
8,5,sax,0.06579234986682102
8,5,sfa,0.21645890569921425
8,5,spartan,0.572798184430934
9,5,sax,0.03525678904794671
9,5,sfa,0.2277262714727737
9,5,spartan,0.6052672976000614
10,5,sax,0.08372004072846086
10,5,sfa,0.23523377103054283
10,5,spartan,0.6177146884931903
3,6,sax,0.0004166666666666667
3,6,sfa,0.10377251499072809
3,6,spartan,0.23002317296858774
4,6,sax,0.009258829100253172
4,6,sfa,0.16419126883101895
4,6,spartan,0.38725149755019433
5,6,sax,0.01184454577365431
5,6,sfa,0.20246121378121565
5,6,spartan,0.48217721875640174
6,6,sax,0.013931436396677828
6,6,sfa,0.2295787902480269
6,6,spartan,0.5142561172735695
7,6,sax,0.0862617026136637
7,6,sfa,0.2488380513238031
7,6,spartan,0.5517147900565169
8,6,sax,0.07293617122565611
8,6,sfa,0.26621169573257136
8,6,spartan,0.5881818170035222
9,6,sax,0.12505819601301926
9,6,sfa,0.2840877426266122
9,6,spartan,0.6207823214206057
10,6,sax,0.10444112368645866
10,6,sfa,0.29218851029566134
10,6,spartan,0.6334631124086186
3,7,sax,0.0004166666666666667
3,7,sfa,0.11548159328724082
3,7,spartan,0.2361493647393407
4,7,sax,0.0004166666666666667
4,7,sfa,0.17943005460704373
4,7,spartan,0.395728018867841
5,7,sax,0.0010503151287166949
5,7,sfa,0.22045236055643885
5,7,spartan,0.49178273676225304
6,7,sax,0.001962721713689526
6,7,sfa,0.2499434897300585
6,7,spartan,0.5243605995719046
7,7,sax,0.004727879247726542
7,7,sfa,0.27049413302620245
7,7,spartan,0.5624210254338937
8,7,sax,0.0572077850399848
8,7,sfa,0.28717348532662357
8,7,spartan,0.5994839557241363
