a,w,method,tlb
3,2,sax,0.008333333333333333
3,2,sfa,0.08524355286395685
3,2,spartan,0.14730346713342618
4,2,sax,0.008333333333333333
4,2,sfa,0.15066239030650855
4,2,spartan,0.2876315626704584
5,2,sax,0.008333333333333333
5,2,sfa,0.19141790326161082
5,2,spartan,0.35127164329753224
6,2,sax,0.008333333333333333
6,2,sfa,0.22660873575895105
6,2,spartan,0.4092253546224075
7,2,sax,0.008333333333333333
7,2,sfa,0.24279383266154222
7,2,spartan,0.485559980920078
8,2,sax,0.008333333333333333
8,2,sfa,0.26187799157370584
8,2,spartan,0.49839830852939054
9,2,sax,0.008333333333333333
9,2,sfa,0.27182753794514924
9,2,spartan,0.5291395799563331
10,2,sax,0.008333333333333333
10,2,sfa,0.29455150571544264
10,2,spartan,0.551760167173809
3,3,sax,0.008333333333333333
3,3,sfa,0.07817889528708968
3,3,spartan,0.18165831778389693
4,3,sax,0.008333333333333333
4,3,sfa,0.15009883482549577
4,3,spartan,0.333117807542244
5,3,sax,0.008333333333333333
5,3,sfa,0.19709357396346483
5,3,spartan,0.40006149918746875
6,3,sax,0.008333333333333333
6,3,sfa,0.20894680442235308
6,3,spartan,0.457283817073101
7,3,sax,0.008333333333333333
7,3,sfa,0.24996902518892974
7,3,spartan,0.5397013034080232
8,3,sax,0.008333333333333333
8,3,sfa,0.25755257945325194
8,3,spartan,0.5566060942755363
9,3,sax,0.008333333333333333
9,3,sfa,0.27035056578850963
9,3,spartan,0.5905996242709819
10,3,sax,0.008333333333333333
10,3,sfa,0.2944230834211759
10,3,spartan,0.6150134978002149
3,4,sax,0.008333333333333333
3,4,sfa,0.08714965118876228
3,4,spartan,0.19366329813037483
4,4,sax,0.008333333333333333
4,4,sfa,0.1581400998021488
4,4,spartan,0.34787393073133743
5,4,sax,0.008333333333333333
5,4,sfa,0.2065920776032416
5,4,spartan,0.41806458932866236
6,4,sax,0.008333333333333333
6,4,sfa,0.22012818933758851
6,4,spartan,0.4778569651287636
7,4,sax,0.008333333333333333
7,4,sfa,0.26024296467024555
7,4,spartan,0.5617741966827372
8,4,sax,0.008333333333333333
8,4,sfa,0.26987016256996005
8,4,spartan,0.5788008046439821
9,4,sax,0.008333333333333333
9,4,sfa,0.28348640975960604
9,4,spartan,0.6148343379139852
10,4,sax,0.008333333333333333
10,4,sfa,0.30651107610493555
10,4,spartan,0.6366372764708916
3,5,sax,0.008333333333333333
3,5,sfa,0.1063176963928515
3,5,spartan,0.20200657904416977
4,5,sax,0.008333333333333333
4,5,sfa,0.18460902082051986
4,5,spartan,0.35831542190649157
5,5,sax,0.008333333333333333
5,5,sfa,0.23191130903083715
5,5,spartan,0.4283215168959606
6,5,sax,0.008333333333333333
6,5,sfa,0.2704099461058968
6,5,spartan,0.48897989250193435
7,5,sax,0.008333333333333333
7,5,sfa,0.29737028887303085
7,5,spartan,0.5724220399200501
8,5,sax,0.008333333333333333
8,5,sfa,0.32182023105096424
8,5,spartan,0.5899916068127021
9,5,sax,0.008333333333333333
9,5,sfa,0.33662375884116424
9,5,spartan,0.6251000985573274
10,5,sax,0.008333333333333333
10,5,sfa,0.3533359550887727
10,5,spartan,0.6466669606410916
3,6,sax,0.008333333333333333
3,6,sfa,0.11861836621598187
3,6,spartan,0.20683943002382743
4,6,sax,0.008333333333333333
4,6,sfa,0.21975836005259142
4,6,spartan,0.3640068450859902
5,6,sax,0.008333333333333333
5,6,sfa,0.28206752175316613
5,6,spartan,0.4337434787408645
6,6,sax,0.008333333333333333
6,6,sfa,0.3171168009256433
6,6,spartan,0.4939942406503695
7,6,sax,0.008333333333333333
7,6,sfa,0.3582488546209248
7,6,spartan,0.5768721537108263
8,6,sax,0.008333333333333333
8,6,sfa,0.3810100007540138
8,6,spartan,0.594764784026071
9,6,sax,0.008333333333333333
9,6,sfa,0.3967675201876337
9,6,spartan,0.6296018662474995
10,6,sax,0.008333333333333333
10,6,sfa,0.4210316541675138
10,6,spartan,0.651521769307983
3,7,sax,0.008333333333333333
3,7,sfa,0.13317621160483342
3,7,spartan,0.21083760458890743
4,7,sax,0.008333333333333333
4,7,sfa,0.28747063660750405
4,7,spartan,0.3697073818203676
5,7,sax,0.008333333333333333
5,7,sfa,0.3585851621901471
5,7,spartan,0.4395780198298952
6,7,sax,0.008333333333333333
6,7,sfa,0.43106464134832345
6,7,spartan,0.49943335067752703
7,7,sax,0.008333333333333333
7,7,sfa,0.45005572173565667
7,7,spartan,0.582275438021344
8,7,sax,0.008333333333333333
8,7,sfa,0.4456894157965442
8,7,spartan,0.6000370232971933
9,7,sax,0.008333333333333333
9,7,sfa,0.45762258764047964
9,7,spartan,0.6345684832364087
10,7,sax,0.008333333333333333
10,7,sfa,0.4961170370319037
10,7,spartan,0.6565705050519073
3,8,sax,0.008333333333333333
3,8,sfa,0.13423946233258519
3,8,spartan,0.2148403214914264
4,8,sax,0.008333333333333333
4,8,sfa,0.28962164304072857
4,8,spartan,0.3744111460082219
5,8,sax,0.008333333333333333
5,8,sfa,0.36118124796069984
5,8,spartan,0.4437859528024815
6,8,sax,0.008333333333333333
6,8,sfa,0.4336141033610398
6,8,spartan,0.5039690403894752
7,8,sax,0.008333333333333333
7,8,sfa,0.45366402418391183
7,8,spartan,0.5863254991230009
8,8,sax,0.008333333333333333
8,8,sfa,0.4491815569834532
8,8,spartan,0.6042897511340322
9,8,sax,0.008333333333333333
9,8,sfa,0.46059083456864414
9,8,spartan,0.638852557304478
10,8,sax,0.008333333333333333
10,8,sfa,0.49958074328309426
10,8,spartan,0.6607279633689419
