a,w,method,tlb
3,2,sax,0.000877960428026832
3,2,sfa,0.05662434594998763
3,2,spartan,0.13252592220149137
4,2,sax,0.002037563306579217
4,2,sfa,0.09213932357146407
4,2,spartan,0.22533847794466602
5,2,sax,0.0029032313095720985
5,2,sfa,0.12019892147981288
5,2,spartan,0.30309032666685887
6,2,sax,0.003417726263831722
6,2,sfa,0.14393836333536172
6,2,spartan,0.3472262788798008
7,2,sax,0.009568981893801098
7,2,sfa,0.1569492047291118
7,2,spartan,0.3798987538980744
8,2,sax,0.01896000357173541
8,2,sfa,0.17007963239183518
8,2,spartan,0.407944323745469
9,2,sax,0.029386377738052496
9,2,sfa,0.18174731053455545
9,2,spartan,0.42996855579882837
10,2,sax,0.024705619575945702
10,2,sfa,0.1900331161615606
10,2,spartan,0.4501580107574536
3,3,sax,0.004276643500556457
3,3,sfa,0.06568321606779394
3,3,spartan,0.1650367362464344
4,3,sax,0.01350389559378181
4,3,sfa,0.10739722337269383
4,3,spartan,0.2705413097246987
5,3,sax,0.047032592118645876
5,3,sfa,0.13965796802931502
5,3,spartan,0.35584164359186793
6,3,sax,0.061439425785690595
6,3,sfa,0.16568105123775853
6,3,spartan,0.40379383483584513
7,3,sax,0.08523467860724457
7,3,sfa,0.1832170072996196
7,3,spartan,0.43943936563804237
8,3,sax,0.0943350291806927
8,3,sfa,0.19954842985765328
8,3,spartan,0.47065008617570503
9,3,sax,0.10109364743130117
9,3,sfa,0.21314590499720631
9,3,spartan,0.4953913704242255
10,3,sax,0.11681890024313589
10,3,sfa,0.22247767316910633
10,3,spartan,0.5177235887777902
3,4,sax,0.008813493646605232
3,4,sfa,0.0829146168312744
3,4,spartan,0.19404252859129414
4,4,sax,0.041646653479948184
4,4,sfa,0.13384170628572442
4,4,spartan,0.31109321419885577
5,4,sax,0.07900555842322168
5,4,sfa,0.17245945750458472
5,4,spartan,0.4002960983047339
6,4,sax,0.101844540703628
6,4,sfa,0.20060162322748112
6,4,spartan,0.45170992324448056
7,4,sax,0.14135914509261835
7,4,sfa,0.221629802006763
7,4,spartan,0.4909840353798377
8,4,sax,0.14166166890505405
8,4,sfa,0.23932211310509227
8,4,spartan,0.5245058094292133
9,4,sax,0.1697502476106509
9,4,sfa,0.2548370874104837
9,4,spartan,0.5498816868387495
10,4,sax,0.1831727147797961
10,4,sfa,0.2672800297145812
10,4,spartan,0.5730452475673575
3,5,sax,0.020299925383807947
3,5,sfa,0.09336121580161025
3,5,spartan,0.20578772154170324
4,5,sax,0.08061007164210815
4,5,sfa,0.14795164536765054
4,5,spartan,0.32554879159389266
5,5,sax,0.12211172271967842
5,5,sfa,0.18908067789403005
5,5,spartan,0.41563761619349093
