a,w,method,tlb
3,2,sax,0.0018050541516245488
3,2,sfa,0.050630165033215456
3,2,spartan,0.2082541154242558
4,2,sax,0.0018050541516245488
4,2,sfa,0.077858912275215
4,2,spartan,0.2907400817181579
5,2,sax,0.0018050541516245488
5,2,sfa,0.09789331350166092
5,2,spartan,0.3456433050165417
6,2,sax,0.0018050541516245488
6,2,sfa,0.1164432328608311
6,2,spartan,0.43569031046778056
7,2,sax,0.0018050541516245488
7,2,sfa,0.12914102495720572
7,2,spartan,0.45899503617795223
8,2,sax,0.0018050541516245488
8,2,sfa,0.13825886340499868
8,2,spartan,0.5065522740418278
9,2,sax,0.0018050541516245488
9,2,sfa,0.14697413263899536
9,2,spartan,0.5310801241417983
10,2,sax,0.0018050541516245488
10,2,sfa,0.15509166057459262
10,2,spartan,0.5461454592735482
3,3,sax,0.0018050541516245488
3,3,sfa,0.05869250240286894
3,3,spartan,0.2295771602180314
4,3,sax,0.0018050541516245488
4,3,sfa,0.09532887953674066
4,3,spartan,0.3223181298124071
5,3,sax,0.0018050541516245488
5,3,sfa,0.1201003079273507
5,3,spartan,0.3821726352476118
6,3,sax,0.0018050541516245488
6,3,sfa,0.14057115694749467
6,3,spartan,0.47569436338214954
7,3,sax,0.0018050541516245488
7,3,sfa,0.154472288912461
7,3,spartan,0.50080401388265
8,3,sax,0.00258779275371876
8,3,sfa,0.16667950912978466
8,3,spartan,0.5488713046116418
9,3,sax,0.002541279461745498
9,3,sfa,0.1770367349573091
9,3,spartan,0.5739646122016254
10,3,sax,0.0028143483565799595
10,3,sfa,0.1862237678428572
10,3,spartan,0.5885819506141471
3,4,sax,0.0018050541516245488
3,4,sfa,0.07099985601289428
3,4,spartan,0.23368563540160128
4,4,sax,0.0018050541516245488
4,4,sfa,0.11606657500179784
4,4,spartan,0.3292308774019406
5,4,sax,0.0018050541516245488
5,4,sfa,0.14437137706761957
5,4,spartan,0.3918991461170124
6,4,sax,0.0018075084161946228
6,4,sfa,0.1694841804618566
6,4,spartan,0.4854681870935784
7,4,sax,0.0018050541516245488
7,4,sfa,0.1865181842735522
7,4,spartan,0.5112847509952634
8,4,sax,0.0018050541516245488
8,4,sfa,0.20269297411343382
8,4,spartan,0.5609070871921354
9,4,sax,0.0023010407569799924
9,4,sfa,0.21576139495515426
9,4,spartan,0.586631979648755
10,4,sax,0.002100513153664505
10,4,sfa,0.2250663151294715
10,4,spartan,0.6014351696931185
3,5,sax,0.0018050541516245488
3,5,sfa,0.08533759101855899
3,5,spartan,0.23632901379205437
4,5,sax,0.0018050541516245488
4,5,sfa,0.12904572011567306
4,5,spartan,0.3334363635819583
5,5,sax,0.0018050541516245488
