a,w,method,tlb
3,2,sax,0.0018083182640144665
3,2,sfa,0.050632484059214215
3,2,spartan,0.20831995189256317
4,2,sax,0.0018083182640144665
4,2,sfa,0.07784477176501065
4,2,spartan,0.29184612225270584
5,2,sax,0.0018083182640144665
5,2,sfa,0.09801131101238483
5,2,spartan,0.3456923664177873
6,2,sax,0.0018083182640144665
6,2,sfa,0.11654320260781788
6,2,spartan,0.43323710142844934
7,2,sax,0.0018083182640144665
7,2,sfa,0.12893949457397208
7,2,spartan,0.4591197743512391
8,2,sax,0.0018083182640144665
8,2,sfa,0.13836461398982008
8,2,spartan,0.5055928028341957
9,2,sax,0.0018083182640144665
9,2,sfa,0.1470694719944282
9,2,spartan,0.5278398665965751
10,2,sax,0.0018083182640144665
10,2,sfa,0.15524886839002017
10,2,spartan,0.5436476087678874
3,3,sax,0.0018083182640144665
3,3,sfa,0.058764002345081646
3,3,spartan,0.22971001902419363
4,3,sax,0.0018083182640144665
4,3,sfa,0.09544200463451404
4,3,spartan,0.3232554837830935
5,3,sax,0.0018083182640144665
5,3,sfa,0.12021252664722153
5,3,spartan,0.3823316220172232
6,3,sax,0.0018083182640144665
6,3,sfa,0.1407027001143663
6,3,spartan,0.47337604415520024
7,3,sax,0.0018083182640144665
7,3,sfa,0.15407921576177713
7,3,spartan,0.5007241385761626
8,3,sax,0.002591691753455481
8,3,sfa,0.16681521458088375
8,3,spartan,0.5479286608538458
9,3,sax,0.0025451451950212205
9,3,sfa,0.17758974717736886
9,3,spartan,0.5706514799540648
10,3,sax,0.00281930613239122
10,3,sfa,0.1854230263028237
10,3,spartan,0.5863897151789561
3,4,sax,0.0018083182640144665
3,4,sfa,0.07032243974416431
3,4,spartan,0.23369391998628847
4,4,sax,0.0018083182640144665
4,4,sfa,0.11616896197820507
4,4,spartan,0.3301332524086593
5,4,sax,0.0018083182640144665
5,4,sfa,0.1445294764516216
5,4,spartan,0.3918796997702954
6,4,sax,0.001810781412792916
6,4,sfa,0.1692686471505945
6,4,spartan,0.48323113043284954
7,4,sax,0.0018083182640144665
7,4,sfa,0.18619962482835942
7,4,spartan,0.5111138349692024
8,4,sax,0.0018083182640144665
8,4,sfa,0.20287391643150476
8,4,spartan,0.5599152643542928
9,4,sax,0.002306100294527863
9,4,sfa,0.2161100926455212
9,4,spartan,0.5831574815547087
10,4,sax,0.002104846800029087
10,4,sfa,0.22443183589826826
10,4,spartan,0.5990945039152383
3,5,sax,0.0018083182640144665
3,5,sfa,0.0848382624917087
3,5,spartan,0.23617645373275636
4,5,sax,0.0018083182640144665
4,5,sfa,0.12903206678007645
4,5,spartan,0.33424602258784575
5,5,sax,0.0018083182640144665
5,5,sfa,0.16927446404153543
5,5,spartan,0.3982811744368694
6,5,sax,0.0018900497412965794
6,5,sfa,0.19709006607279642
6,5,spartan,0.49078205645740763
7,5,sax,0.0018083182640144665
7,5,sfa,0.22080957889210562
7,5,spartan,0.5198937415975039
8,5,sax,0.0020971281208539056
8,5,sfa,0.23839929392548045
8,5,spartan,0.5689904083400164
9,5,sax,0.0027820277990054164
9,5,sfa,0.24987528646545554
9,5,spartan,0.5923862128138753
10,5,sax,0.004887703285244809
10,5,sfa,0.2664476127556408
10,5,spartan,0.6084198288609036
3,6,sax,0.0018083182640144665
3,6,sfa,0.09527792704607795
3,6,spartan,0.24812073929423514
4,6,sax,0.0018147897040808128
4,6,sfa,0.1466627847933803
4,6,spartan,0.34967491583245114
5,6,sax,0.0022882766475896456
5,6,sfa,0.18828467264471238
5,6,spartan,0.4148926724070579
6,6,sax,0.003601749808569893
6,6,sfa,0.21845462853486144
6,6,spartan,0.5076635960405752
7,6,sax,0.004915345146404678
7,6,sfa,0.24476099372612897
7,6,spartan,0.5365101267047243
8,6,sax,0.004641468527468644
8,6,sfa,0.2638027902946231
8,6,spartan,0.5854994433454271
9,6,sax,0.014610780063853088
9,6,sfa,0.27578997472412137
9,6,spartan,0.6091875700508437
10,6,sax,0.015172566376080662
10,6,sfa,0.29168658627429805
10,6,spartan,0.6253399059466371
3,7,sax,0.0018083182640144665
3,7,sfa,0.10399515330707629
3,7,spartan,0.2578932497794193
4,7,sax,0.002335100502251273
4,7,sfa,0.16291527820201998
4,7,spartan,0.3608506846935701
5,7,sax,0.0018083182640144665
5,7,sfa,0.2023473403748545
5,7,spartan,0.42624913501119
6,7,sax,0.012969332960835816
6,7,sfa,0.23612654526248053
6,7,spartan,0.5197318572975967
7,7,sax,0.011740175290813604
7,7,sfa,0.26365561752246436
7,7,spartan,0.5487222533112521
8,7,sax,0.027619437248301393
8,7,sfa,0.2795004544606249
8,7,spartan,0.5979762407250229
9,7,sax,0.03307451114205425
9,7,sfa,0.2971749181015236
9,7,spartan,0.62191871447971
10,7,sax,0.056068594344700205
10,7,sfa,0.3098014518777704
10,7,spartan,0.6380702157524423
3,8,sax,0.0018471664526526293
3,8,sfa,0.10909059507569857
3,8,spartan,0.26396580010177284
4,8,sax,0.0018083182640144665
4,8,sfa,0.17190608945695438
4,8,spartan,0.3682313204085983
5,8,sax,0.0024566576663931617
5,8,sfa,0.21486327107753433
5,8,spartan,0.4333492179243102
6,8,sax,0.004139405733413889
6,8,sfa,0.25075794312301725
6,8,spartan,0.5275187436937406
7,8,sax,0.005476494924089736
7,8,sfa,0.28002459276852404
7,8,spartan,0.5571775287369322
8,8,sax,0.011694616078110011
8,8,sfa,0.29797398108706385
8,8,spartan,0.606241409008961
9,8,sax,0.014627678229536816
9,8,sfa,0.31731697865092506
9,8,spartan,0.6302914747143746
10,8,sax,0.013915993787309724
10,8,sfa,0.33102318933852704
10,8,spartan,0.6462979180175623
