a,w,method,tlb
3,2,sax,0.0007926279679741323
3,2,sfa,0.030942021049535452
3,2,spartan,0.15075972417871175
4,2,sax,0.0022478898796667933
4,2,sfa,0.059727685737714815
4,2,spartan,0.2401358451743124
5,2,sax,0.011503051343976143
5,2,sfa,0.08197235392023824
5,2,spartan,0.3041037094236906
6,2,sax,0.017144049969040537
6,2,sfa,0.09785503786707218
6,2,spartan,0.3427055008488778
7,2,sax,0.0306016518123521
7,2,sfa,0.11065034622730284
7,2,spartan,0.3716832334332868
8,2,sax,0.042833967350556404
8,2,sfa,0.12067993947824686
8,2,spartan,0.40168321177727007
9,2,sax,0.04593163383017043
9,2,sfa,0.12939295920653707
9,2,spartan,0.42767797395959883
10,2,sax,0.057919872782516035
10,2,sfa,0.13715723556544954
10,2,spartan,0.44438543425113775
3,3,sax,0.01654049174979429
3,3,sfa,0.07590738075982305
3,3,spartan,0.18188951159814043
4,3,sax,0.028457661176943563
4,3,sfa,0.12755103624011904
4,3,spartan,0.2884218280826995
5,3,sax,0.05301305288799386
5,3,sfa,0.1638634047104762
5,3,spartan,0.3635998513082733
6,3,sax,0.09141052603834604
6,3,sfa,0.18949581804472962
6,3,spartan,0.41177602651795786
7,3,sax,0.10586962677765208
7,3,sfa,0.20912937466217996
7,3,spartan,0.4461674641496183
8,3,sax,0.12769691687282936
8,3,sfa,0.22368724929618417
8,3,spartan,0.4796036301991464
9,3,sax,0.1477273876069976
9,3,sfa,0.23560960213312576
9,3,spartan,0.5087488262551565
10,3,sax,0.15761254091951554
10,3,sfa,0.24695477078443426
10,3,spartan,0.5271000918981678
3,4,sax,0.0572322597566099
3,4,sfa,0.11652890648305905
3,4,spartan,0.2025525237619112
4,4,sax,0.10036727471259496
4,4,sfa,0.18878700479370367
4,4,spartan,0.317582681650471
5,4,sax,0.1528596888053559
5,4,sfa,0.23465892968722832
5,4,spartan,0.39625011437917396
6,4,sax,0.18270322931871938
6,4,sfa,0.2660048232820039
6,4,spartan,0.4467680300562228
7,4,sax,0.20716192409955886
7,4,sfa,0.2896588630609176
7,4,spartan,0.4837633474972595
8,4,sax,0.23318307487185322
8,4,sfa,0.3078011617375929
8,4,spartan,0.5197618751569442
9,4,sax,0.25485771502397825
9,4,sfa,0.3222089280582091
9,4,spartan,0.5497329141861111
10,4,sax,0.2747667334491385
10,4,sfa,0.3360559623431116
10,4,spartan,0.5698235796072357
3,5,sax,0.1282078727086418
3,5,sfa,0.1342719267989077
3,5,spartan,0.2250239886441663
4,5,sax,0.19376435266317182
4,5,sfa,0.21191524319633964
4,5,spartan,0.345716481735071
5,5,sax,0.24863831391008723
5,5,sfa,0.2619066785110839
5,5,spartan,0.4278243329327229
6,5,sax,0.27985425450775714
6,5,sfa,0.29495779940213157
6,5,spartan,0.481744666749477
7,5,sax,0.30650055399281095
7,5,sfa,0.3208013839492658
7,5,spartan,0.5203668909271695
8,5,sax,0.3347256286993648
8,5,sfa,0.3402121788393971
8,5,spartan,0.5571768171896625
9,5,sax,0.3576497888257506
9,5,sfa,0.3548348502279935
9,5,spartan,0.5887075411395835
10,5,sax,0.3791862219204895
10,5,sfa,0.36881918845704825
10,5,spartan,0.6093219980714699
3,6,sax,0.14320601821477738
3,6,sfa,0.14422456903617878
3,6,spartan,0.2351114300975635
4,6,sax,0.2297485166842602
4,6,sfa,0.22898960548263372
4,6,spartan,0.3586968208625413
5,6,sax,0.29755031713379465
5,6,sfa,0.283410597819691
5,6,spartan,0.4428936978095793
6,6,sax,0.344172184449179
6,6,sfa,0.319877742591737
6,6,spartan,0.4981877962030424
7,6,sax,0.3714010492271278
7,6,sfa,0.34720169006648194
7,6,spartan,0.5377941662529739
8,6,sax,0.395595051989299
8,6,sfa,0.36821491048427263
8,6,spartan,0.575921679075322
9,6,sax,0.4183025990903862
9,6,sfa,0.3843006629566667
9,6,spartan,0.6083503259589844
10,6,sax,0.4363987006041059
10,6,sfa,0.4003833332728482
10,6,spartan,0.6301443412279899
3,7,sax,0.13753391215065644
3,7,sfa,0.15914071543612196
3,7,spartan,0.24740774696054382
4,7,sax,0.2546364375802795
4,7,sfa,0.24887852388110665
4,7,spartan,0.3745633584729233
5,7,sax,0.32942778719610977
5,7,sfa,0.30889168770356207
5,7,spartan,0.4605614983570773
6,7,sax,0.3715270812925477
6,7,sfa,0.34858310071267606
6,7,spartan,0.5170244752789365
7,7,sax,0.4089052239049443
7,7,sfa,0.37930739408257813
7,7,spartan,0.5574631882269026
8,7,sax,0.43563811017891513
8,7,sfa,0.40199642766576354
8,7,spartan,0.596746253402266
9,7,sax,0.45860824091129077
9,7,sfa,0.4202462378012262
9,7,spartan,0.6301383234515476
10,7,sax,0.4780489376564042
10,7,sfa,0.4375238163474933
10,7,spartan,0.652502952890911
3,8,sax,0.1782694367413512
3,8,sfa,0.17180897193912076
3,8,spartan,0.25206806941909327
4,8,sax,0.2928345832390531
4,8,sfa,0.2658704680442126
4,8,spartan,0.379828254937164
5,8,sax,0.3624507116074587
5,8,sfa,0.33062978472719284
5,8,spartan,0.4663528887792174
6,8,sax,0.40831557714351974
6,8,sfa,0.372730918757649
6,8,spartan,0.5232615348777476
7,8,sax,0.44194391214535705
7,8,sfa,0.4049223240821571
7,8,spartan,0.564144958590073
8,8,sax,0.47197507392660015
8,8,sfa,0.4287241704796622
8,8,spartan,0.6038239414312855
9,8,sax,0.4948469471207285
9,8,sfa,0.448064653331359
9,8,spartan,0.6376589254892068
10,8,sax,0.5151760187981693
10,8,sfa,0.4660660228291169
10,8,spartan,0.6603382096763203
