a,w,method,tlb
3,2,sax,0.0007861635220125787
3,2,sfa,0.04813886054017597
3,2,spartan,0.10345485443039286
4,2,sax,0.003187176264321593
4,2,sfa,0.07959242070484908
4,2,spartan,0.17983321054404117
5,2,sax,0.0071360729524178775
5,2,sfa,0.10435542892544114
5,2,spartan,0.2270744936967851
6,2,sax,0.007133680274298316
6,2,sfa,0.12113830250910913
6,2,spartan,0.259819110623686
7,2,sax,0.020348986592473476
7,2,sfa,0.1344484754258552
7,2,spartan,0.290707705452815
8,2,sax,0.03128369454340241
8,2,sfa,0.1445649587326364
8,2,spartan,0.31078476282920575
9,2,sax,0.04360204671300949
9,2,sfa,0.1544422110543016
9,2,spartan,0.3271470587089395
10,2,sax,0.04778659971021335
10,2,sfa,0.16149015504741324
10,2,spartan,0.34484552220594644
3,3,sax,0.0024887873481973426
3,3,sfa,0.06737226127323301
3,3,spartan,0.12988881076268471
4,3,sax,0.025705948085975136
4,3,sfa,0.11006268782208678
4,3,spartan,0.21630284872091218
5,3,sax,0.05511676061521777
5,3,sfa,0.14151913432984278
5,3,spartan,0.2717859828593054
6,3,sax,0.07826775206621986
6,3,sfa,0.16432864949009335
6,3,spartan,0.3102634182567218
7,3,sax,0.10134988067814463
7,3,sfa,0.18071420881037004
7,3,spartan,0.34298172484674094
8,3,sax,0.11753161416736223
8,3,sfa,0.19387896070338723
8,3,spartan,0.36641962868938954
9,3,sax,0.1434069787620997
9,3,sfa,0.20631689742015294
9,3,spartan,0.3849900945976886
10,3,sax,0.15946160650987812
10,3,sfa,0.21574369208107175
10,3,spartan,0.40431942789610276
3,4,sax,0.03692227272569417
3,4,sfa,0.09943418339832885
3,4,spartan,0.15197023842075563
4,4,sax,0.0675646186241494
4,4,sfa,0.1559872400176322
4,4,spartan,0.24831510026512205
5,4,sax,0.11165953729720225
5,4,sfa,0.19598124912556217
5,4,spartan,0.308293518214082
6,4,sax,0.15476278918975422
6,4,sfa,0.22376772143409887
6,4,spartan,0.3495966315144122
7,4,sax,0.1895349516470523
7,4,sfa,0.24397024080388793
7,4,spartan,0.3839752841856404
8,4,sax,0.22160576277160726
8,4,sfa,0.26059596898714626
8,4,spartan,0.4098546751406172
9,4,sax,0.24073351206042523
9,4,sfa,0.2750215352927163
9,4,spartan,0.43056751132551274
10,4,sax,0.25772774584945435
10,4,sfa,0.286583568430272
10,4,spartan,0.45051478610333273
3,5,sax,0.0442526705748696
3,5,sfa,0.11448305066381663
3,5,spartan,0.16743238271442035
4,5,sax,0.10053042593555049
4,5,sfa,0.17733943754831127
4,5,spartan,0.26935361870960206
5,5,sax,0.15211806346319923
5,5,sfa,0.2202455094565753
5,5,spartan,0.3322038909012702
6,5,sax,0.18877475591841394
6,5,sfa,0.24973257832904064
6,5,spartan,0.3762001289743864
7,5,sax,0.22429059128867646
7,5,sfa,0.2717190605436956
7,5,spartan,0.41268203453627417
8,5,sax,0.2531690921710585
8,5,sfa,0.28967331292846304
8,5,spartan,0.44006604741292527
9,5,sax,0.2805311918640143
9,5,sfa,0.3051431974224235
