a,w,method,tlb
3,2,sax,0.002273218033663178
3,2,sfa,0.028224182489640575
3,2,spartan,0.10075081139626164
4,2,sax,0.0022624434389140274
4,2,sfa,0.047784409718353446
4,2,spartan,0.16909052622441764
5,2,sax,0.0034698274277992027
5,2,sfa,0.06040072007273085
5,2,spartan,0.22524340960249373
6,2,sax,0.004509893242634547
6,2,sfa,0.06867388522381136
6,2,spartan,0.2674608182412736
7,2,sax,0.006704288798549307
7,2,sfa,0.07579999719664424
7,2,spartan,0.3004850340596343
8,2,sax,0.011952193962297167
8,2,sfa,0.08262808648756087
8,2,spartan,0.32200944472092563
9,2,sax,0.014433416431568483
9,2,sfa,0.08725284055020928
9,2,spartan,0.34220353348537985
10,2,sax,0.01751831139023459
10,2,sfa,0.09169273624805463
10,2,spartan,0.3591923388509404
3,3,sax,0.011913049018212616
3,3,sfa,0.07211847309934032
3,3,spartan,0.13182490870348465
4,3,sax,0.011112791612135482
4,3,sfa,0.11691197738224214
4,3,spartan,0.21089602593049514
5,3,sax,0.04237517688075144
5,3,sfa,0.1554463166864949
5,3,spartan,0.2779524281871125
6,3,sax,0.06588060392389418
6,3,sfa,0.1799545365434003
6,3,spartan,0.3250615632989658
7,3,sax,0.07899960645731256
7,3,sfa,0.19605255651172107
7,3,spartan,0.36007224168622676
8,3,sax,0.09510996893247371
8,3,sfa,0.20868921478968464
8,3,spartan,0.38266782579626973
9,3,sax,0.10983929056285324
9,3,sfa,0.22642766235280687
9,3,spartan,0.4050078849937627
10,3,sax,0.12041994304442259
10,3,sfa,0.23562686031206667
10,3,spartan,0.42470716278281534
3,4,sax,0.025723421267628253
3,4,sfa,0.08904274869986994
3,4,spartan,0.15466577988197042
4,4,sax,0.054184258326087496
4,4,sfa,0.13861813916956808
4,4,spartan,0.24355331930212784
5,4,sax,0.09036208262586327
5,4,sfa,0.179947239602564
5,4,spartan,0.3156888898197153
6,4,sax,0.10839983429906427
6,4,sfa,0.20888686934397582
6,4,spartan,0.36580473451999235
7,4,sax,0.14096545919131334
7,4,sfa,0.22758957835304458
7,4,spartan,0.4026233792609968
8,4,sax,0.16029113347324792
8,4,sfa,0.2423554926664055
8,4,spartan,0.42860704033961516
9,4,sax,0.17933133608951504
9,4,sfa,0.2620781581329592
9,4,spartan,0.45321697248039944
10,4,sax,0.19256029150865261
10,4,sfa,0.2755568335401504
10,4,spartan,0.47355280348491713
3,5,sax,0.08508503336522788
3,5,sfa,0.09876234473310769
3,5,spartan,0.16988080738460368
4,5,sax,0.1589952233177242
4,5,sfa,0.15363402308956753
4,5,spartan,0.2695214826313677
5,5,sax,0.20181554113300368
5,5,sfa,0.19673456752552299
5,5,spartan,0.3453469160454032
6,5,sax,0.2227272673799801
6,5,sfa,0.22672104317378808
6,5,spartan,0.397910464862897
7,5,sax,0.2531578652870757
7,5,sfa,0.24840328494880023
7,5,spartan,0.43819032606411296
8,5,sax,0.2760460920507027
8,5,sfa,0.26450200969346227
8,5,spartan,0.46439892414347844
9,5,sax,0.293203009273569
9,5,sfa,0.2841608894785651
9,5,spartan,0.4901377746825697
10,5,sax,0.316733663603437
10,5,sfa,0.2966634535021379
10,5,spartan,0.5127379301002979
3,6,sax,0.10883698487869907
3,6,sfa,0.1066635885081093
3,6,spartan,0.18509549321468322
4,6,sax,0.1947650155794867
4,6,sfa,0.16307722227048585
4,6,spartan,0.2896905001081806
5,6,sax,0.2418821367647052
5,6,sfa,0.20818783335306992
5,6,spartan,0.36802845796677547
6,6,sax,0.2701885046821011
6,6,sfa,0.23967159111841757
6,6,spartan,0.4221305407260124
7,6,sax,0.30226875450742563
7,6,sfa,0.2619944740925381
7,6,spartan,0.4630304057323162
8,6,sax,0.32269846189694973
8,6,sfa,0.2786231485170486
8,6,spartan,0.49064519842109333
9,6,sax,0.3427814838825751
9,6,sfa,0.29912416257016566
9,6,spartan,0.5170665635213785
10,6,sax,0.360043521257106
10,6,sfa,0.3126912135137904
10,6,spartan,0.539783352659984
3,7,sax,0.16014948895207262
3,7,sfa,0.1191134406855998
3,7,spartan,0.19775806527328868
4,7,sax,0.2498698415720322
4,7,sfa,0.18502162112038248
4,7,spartan,0.30663768501911404
5,7,sax,0.2945126265390126
5,7,sfa,0.23656034850130236
5,7,spartan,0.3864417108641622
6,7,sax,0.33810514732255015
6,7,sfa,0.27022918680553126
6,7,spartan,0.44330317554363696
7,7,sax,0.36928082520412325
7,7,sfa,0.29599683039314206
7,7,spartan,0.48594938514724073
8,7,sax,0.3937080459314101
8,7,sfa,0.3135948253782122
8,7,spartan,0.5141950943252612
9,7,sax,0.4108542561154356
9,7,sfa,0.33453351233609874
9,7,spartan,0.5408009387790266
10,7,sax,0.4264566968278226
10,7,sfa,0.3517068335362325
10,7,spartan,0.5640278643298542
3,8,sax,0.19328431416071
3,8,sfa,0.12871930133168735
3,8,spartan,0.20764989175452517
