a,w,method,tlb
3,2,sax,0.016666666666666666
3,2,sfa,0.060528912017222436
3,2,spartan,0.15533197757652115
4,2,sax,0.016666666666666666
4,2,sfa,0.04503026310829387
4,2,spartan,0.25221468691282173
5,2,sax,0.016666666666666666
5,2,sfa,0.06541432316345692
5,2,spartan,0.31780951304582283
6,2,sax,0.016666666666666666
6,2,sfa,0.08597362190975713
6,2,spartan,0.3529052661187145
7,2,sax,0.016666666666666666
7,2,sfa,0.08242770431516246
7,2,spartan,0.3968777397308842
8,2,sax,0.016666666666666666
8,2,sfa,0.09996722747825894
8,2,spartan,0.42159998494345063
9,2,sax,0.016666666666666666
9,2,sfa,0.10240546938211782
9,2,spartan,0.44261423347910167
10,2,sax,0.016666666666666666
10,2,sfa,0.10240546938211782
10,2,spartan,0.4694501506111924
3,3,sax,0.016666666666666666
3,3,sfa,0.050888902930407744
3,3,spartan,0.1783542813052044
4,3,sax,0.016666666666666666
4,3,sfa,0.08350165613873688
4,3,spartan,0.2902051712403106
5,3,sax,0.016666666666666666
5,3,sfa,0.10029962645136424
5,3,spartan,0.35927226385433286
6,3,sax,0.016666666666666666
6,3,sfa,0.11201726659622094
6,3,spartan,0.3976558960609864
7,3,sax,0.016666666666666666
7,3,sfa,0.1162819071070949
7,3,spartan,0.4419498593492887
8,3,sax,0.016666666666666666
8,3,sfa,0.13741459651603408
8,3,spartan,0.46917477284181525
9,3,sax,0.016666666666666666
9,3,sfa,0.1357128650377134
9,3,spartan,0.487559718015725
10,3,sax,0.016666666666666666
10,3,sfa,0.1530311321571163
10,3,spartan,0.5152141330103267
3,4,sax,0.016666666666666666
3,4,sfa,0.08372134415852024
3,4,spartan,0.20472160494934455
4,4,sax,0.016666666666666666
4,4,sfa,0.09155937612342237
4,4,spartan,0.3275109323369892
5,4,sax,0.016666666666666666
5,4,sfa,0.1343697632229738
5,4,spartan,0.40026475537056033
6,4,sax,0.016666666666666666
6,4,sfa,0.14690857064656607
6,4,spartan,0.44186842879753574
7,4,sax,0.016666666666666666
7,4,sfa,0.16553565091114555
7,4,spartan,0.4855025302009527
8,4,sax,0.016666666666666666
8,4,sfa,0.17618809241121963
8,4,spartan,0.5182638279156412
9,4,sax,0.016666666666666666
9,4,sfa,0.17842023726239056
9,4,spartan,0.5355939500066864
10,4,sax,0.016666666666666666
10,4,sfa,0.20323803328231516
10,4,spartan,0.5653289566330381
3,5,sax,0.016666666666666666
